,task,INPUT:dataset_name,OUTPUT:quality,homogenity,true,model_extracted,classification_metric
323,bill clinton fire batf stratus scott compound waco distribution modem company child today agent warrant,20newsgroups,"['bad', 'rather_bad', 'bad', 'rather_bad', 'rather_bad']",0.6,-1,0,0.5
324,bill clinton fire koresh batf scott child compound stratus waco tear cult distribution agent watch,20newsgroups,"['rather_bad', 'bad', 'rather_bad', 'bad', 'rather_bad']",0.6,-1,1,0.75
325,bill clinton modem batf stratus fire waco scott compound distribution company country warrant today agent,20newsgroups,"['rather_bad', 'rather_bad', 'bad', 'rather_bad', 'rather_bad']",0.8,-1,2,1.0
326,bill clinton modem stratus batf fire waco scott compound company distribution country washington packet handheld,20newsgroups,"['good', 'bad', 'rather_bad', 'rather_bad', 'rather_bad']",0.6,-1,2,1.0
327,bill distribution port modem serial stratus connect special packet several william rocket keywords interrupt baud,20newsgroups,"['bad', 'good', 'rather_bad', 'bad', 'rather_bad']",0.4,-1,0,0.5
328,bill distribution port modem serial stratus connect special several packet keywords william rocket interrupt baud,20newsgroups,"['good', 'rather_good', 'bad', 'rather_good', 'rather_good']",0.6,1,-1,0.25
329,bill fire koresh clinton scott child batf compound stratus waco cult tear agent burn today,20newsgroups,"['bad', 'good', 'rather_bad', 'bad', 'bad', 'bad', 'rather_bad', 'bad', 'rather_bad', 'bad']",0.6,-2,0,0.5
330,bill modem scott folks stratus batf distribution fire company compound special speak packet warrant today,20newsgroups,"['bad', 'rather_bad', 'rather_bad', 'bad', 'rather_bad']",0.6,-1,-2,0.0
331,bill modem scott stratus batf distribution folks company fire serial compound special waco port speak,20newsgroups,"['rather_bad', 'rather_bad', 'bad', 'bad', 'good']",0.4,-1,1,0.75
332,bill modem stratus company batf scott serial distribution port fire packet waco folks compound special,20newsgroups,"['bad', 'bad', 'bad', 'bad', 'good', 'bad', 'bad', 'bad', 'bad', 'rather_bad']",0.8,-2,-2,0.0
333,bill modem stratus scott batf company distribution serial folks fire port waco special compound packet,20newsgroups,"['rather_bad', 'bad', 'bad', 'good', 'good']",0.4,0,0,0.5
334,bit almost especially type tiny remember learn interest require honestly class indian perhaps term second,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,2,1.0
335,bit almost type three especially two tiny remember learn second interest could fair require still,amazon_food,"['rather_bad', 'bad', 'bad']",0.7,-2,1,0.75
336,bit almost type three especially two tiny remember second learn could interest fair require still,amazon_food,"['bad', 'bad', 'rather_bad']",0.7,-2,0,0.5
337,bit almost type three two especially tiny remember learn second interest could fair require still,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,-1,0.25
338,bit almost type two three especially tiny remember learn second interest could fair require still,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,0,0.5
339,bit cream bold extra tiny ice second remember three two blend type way people almost,amazon_food,"['rather_bad', 'bad', 'rather_bad']",0.7,-1,-1,0.25
340,bit cream extra bold ice tiny three second remember type two blend single people way,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,2,1.0
341,bit extra cream bold ice three tiny second type remember two single people way require,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,-1,0.25
342,bit extra cream three bold ice type second tiny remember two single people honestly require,amazon_food,"['good', 'bad', 'bad']",0.7,-2,-2,0.0
343,bit extra three cream bold type ice second tiny remember two single honestly require people,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,-2,0.0
344,bit hot buying sauce serve per save cost cheaper red spicy pepper ounce pay subscribe,amazon_food,"['rather_bad', 'bad', 'bad']",0.7,-2,-2,0.0
345,bit hot buying sauce serve per save cost cheaper red spicy pepper ounce subscribe heat,amazon_food,"['good', 'bad', 'rather_good']",0.3,0,-2,0.0
346,bit hot buying sauce serve per save cost cheaper red spicy pepper pay ounce subscribe,amazon_food,"['good', 'rather_bad', 'bad']",0.3,0,-2,0.0
347,bit long roast half dark full away rich flavorful miss extremely person lover steep double,amazon_food,"['bad', 'rather_bad', 'rather_bad']",0.7,-1,-1,0.25
348,bit lot long roast half dark away full run rich flavorful miss ground person stay,amazon_food,"['bad', 'bad', 'rather_bad']",0.7,-2,-2,0.0
349,bit roast dark full away long half rich flavorful miss extremely person lover ground steep,amazon_food,"['rather_good', 'rather_bad', 'bad']",0.3,0,1,0.75
350,bit roast dark full away long rich half flavorful miss person extremely lover ground noodle,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,-1,0.25
351,bit sauce regular serve per save hot red spicy pepper ounce subscribe heat option chili,amazon_food,"['good', 'bad', 'good']",0.7,2,2,1.0
352,bit type three extra second cream ice bold tiny remember single two honestly require mistake,amazon_food,"['rather_bad', 'bad', 'rather_bad']",0.7,-1,-1,0.25
353,bit work seem thing easy way quite vanilla expect recipe bread probably n't cream bowl,amazon_food,"['rather_bad', 'rather_bad', 'bad']",0.7,-1,0,0.5
354,bit work seem thing way n't quite vanilla expect i'd probably recipe bread wish cream,amazon_food,"['bad', 'rather_bad', 'bad']",0.7,-2,2,1.0
355,bitter almond blue cocoa iced magnesium wait grey diamond earl beat rda bowel nutrient blood,amazon_food,"['rather_bad', 'rather_bad', 'good']",0.7,-1,-2,0.0
356,bitter brew bold starbucks instant decaf strong via weak smooth mocha drinker peppermint magic yet,amazon_food,"['good', 'bad', 'good']",0.7,2,-2,0.0
357,black white pick straight homosexual male rose sexual harris weaver johnson cooper partner hulman gold,20newsgroups,"['bad', 'bad', 'bad', 'rather_bad', 'good']",0.6,-2,0,0.5
358,black white pick straight male rose homosexual harris nothing sexual johnson showing partner handling hulman,20newsgroups,"['rather_bad', 'rather_bad', 'bad', 'rather_bad', 'rather_bad']",0.8,-1,-2,0.0
359,black white pick straight male rose homosexual sexual johnson harris nothing partner handling hulman showing,20newsgroups,"['rather_bad', 'good', 'bad', 'rather_good', 'bad']",0.4,-2,2,1.0
360,blend morning breakfast packet brew indiv mild wrap stevia ual convenient afternoon liqu ually pour,amazon_food,"['good', 'rather_bad', 'rather_bad']",0.7,-1,2,1.0
361,blend morning breakfast packet indiv mild wrap stevia ual liqu pour afternoon convenient ually brew,amazon_food,"['good', 'rather_good', 'bad']",0.3,1,2,1.0
362,blend morning usually light brew breakfast packet mild indiv pour convenient wrap stevia brewing ual,amazon_food,"['bad', 'good', 'good']",0.7,2,-1,0.25
363,body almond blue smooth cause magnesium diamond increase reminds blood peppermint nutrient bowel rda source,amazon_food,"['rather_bad', 'bad', 'bad']",0.7,-2,-1,0.25
364,body dead town duke kill child mountain shot azeri azerbaijan soviet massacre road force azerbaijani,20newsgroups,"['good', 'good', 'rather_good', 'good', 'rather_good']",0.6,2,2,1.0
365,body town dead duke kill mountain azeri azerbaijan soviet massacre child shot road azerbaijani force,20newsgroups,"['good', 'rather_good', 'bad', 'bad', 'rather_bad']",0.4,-2,-1,0.25
366,bone bubble rawh oat gum chewer miso slim china steel mushroom bulldog dubble chew groat,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,-1,0.25
367,bone bubble rawh slim gum chewer steel mushroom miso noodle oat shrimp bulldog dubble reply,amazon_food,"['rather_bad', 'rather_bad', 'bad', 'rather_bad', 'bad', 'bad']",0.5,-1,1,0.75
368,bone teeth difficult okay combination msg pea spent rawh produce what's glutamate monosodium europe potential,amazon_food,"['bad', 'rather_bad', 'bad']",0.7,-2,-1,0.25
369,bottle delivery hazelnut cappuccino peach wine squeeze kit cost sparkle selection mio cola carbonate squirt,amazon_food,"['bad', 'good', 'rather_bad']",0.3,0,1,0.75
370,bottle delivery hazelnut peach wine squeeze kit sparkle cost selection mio cola carbonate squirt san,amazon_food,"['rather_bad', 'rather_bad', 'bad', 'rather_bad', 'rather_bad', 'rather_good']",0.7,-1,1,0.75
371,bottle excellent available everyone plastic delivery glass pleased lemon mint offer sample travel clear lime,amazon_food,"['good', 'bad', 'good']",0.7,2,-1,0.25
372,bottle excellent available everyone plastic delivery glass pleased lemon mint offer sample travel clear seller,amazon_food,"['rather_bad', 'rather_good', 'rather_bad']",0.7,-1,-1,0.25
373,bottle excellent available everyone plastic delivery pleased glass lemon mint sample offer travel clear lime,amazon_food,"['bad', 'bad', 'good']",0.7,-2,-1,0.25
374,bottle excellent available everyone plastic pleased delivery glass lemon mint offer sample travel clear lime,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,-2,0.0
375,bottle excellent available plastic everyone pleased delivery glass lemon mint travel clear lime sample peach,amazon_food,"['bad', 'rather_bad', 'rather_bad']",0.7,-1,1,0.75
376,bottle excellent available plastic everyone pleased delivery glass lemon offer mint sample travel clear lime,amazon_food,"['bad', 'rather_bad', 'good']",0.3,-1,-2,0.0
377,bottle excellent available plastic everyone pleased delivery glass offer lemon mint sample travel clear lime,amazon_food,"['bad', 'rather_good', 'good']",0.3,0,2,1.0
378,bottle excellent available plastic everyone pleased delivery glass offer lemon mint sample travel clear refresh,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,-1,0.25
379,bottle glass lemon delivery mint sale peach broken forward usually plastic offer prov half mio,amazon_food,"['bad', 'bad', 'good']",0.7,-2,2,1.0
380,bottle glass lemon delivery mint sale peach broken usually forward offer plastic half prov mio,amazon_food,"['bad', 'good', 'bad']",0.7,-2,-2,0.0
381,bottle glass lemon delivery mint sale peach usually broken forward offer plastic half prov mio,amazon_food,"['bad', 'bad', 'good']",0.7,-2,1,0.75
382,bottle glass lemon delivery sale mint usually broken peach offer forward plastic half prov mio,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,0,0.5
383,bottle glass lemon mint prov plastic peach sparkle mio tip squirt half tap iced grab,amazon_food,"['good', 'rather_bad', 'rather_bad', 'good', 'good', 'good']",0.7,2,-1,0.25
384,bottle glass lemon mint prov plastic peach sparkle mio tip squirt half tap usually electrolyte,amazon_food,"['bad', 'bad', 'good']",0.7,-2,2,1.0
385,bottle glass lemon plastic prov mint peach sparkle mio tip squirt tap grab iced electrolyte,amazon_food,"['good', 'rather_good', 'bad']",0.3,1,2,1.0
386,bottle hair hazelnut cappuccino peach wine squeeze shampoo conditioner kit sparkle mio cost cola squirt,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,2,1.0
387,bottle hair hazelnut cappuccino wine squeeze shampoo conditioner kit sparkle cost mio cola squirt san,amazon_food,"['bad', 'rather_good', 'rather_bad']",0.3,0,-2,0.0
388,bottle hair hazelnut cappuccino wine squeeze shampoo conditioner kit sparkle mio cost cola carbonate squirt,amazon_food,"['rather_bad', 'rather_good', 'rather_bad']",0.7,-1,-2,0.0
389,bottle hazelnut delivery cappuccino peach wine squeeze kit cost sparkle selection mio cola carbonate squirt,amazon_food,"['rather_bad', 'good', 'good']",0.7,2,0,0.5
390,bottle local shipping excellent grocery cost deal available cheaper save fast carry pay per online,amazon_food,"['bad', 'rather_good', 'good', 'good', 'rather_bad', 'rather_good']",0.3,1,-2,0.0
391,bottle plastic glass lemon delivery peach forward wine squeeze shampoo conditioner spring kit refresh mio,amazon_food,"['bad', 'rather_bad', 'bad']",0.7,-2,1,0.75
392,bottle shipping available plastic everyone offer pleased delivery glass lemon seller mint sample purchasing peach,amazon_food,"['good', 'good', 'rather_good']",0.7,2,1,0.75
393,bottle shipping delivery subscribe hazelnut prime peach charge wine cost gallon kit sparkle mio cola,amazon_food,"['rather_bad', 'rather_bad', 'rather_bad']",1.0,-1,2,1.0
394,bottle shipping excellent available everyone plastic pleased delivery offer glass lemon seller mint travel sample,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,-1,0.25
395,bottle shipping excellent available plastic everyone offer pleased delivery glass lemon seller mint travel sample,amazon_food,"['good', 'good', 'good', 'good', 'bad', 'bad']",0.7,2,2,1.0
396,bottle shipping excellent local grocery cost available cheaper carry pay ship per delivery subscribe online,amazon_food,"['rather_good', 'good', 'good']",0.7,2,1,0.75
397,bottle shipping grocery cost carry available pay subscribe delivery local pleased per free cheaper seller,amazon_food,"['rather_good', 'good', 'good']",0.7,2,1,0.75
398,bottle shipping grocery cost subscribe delivery pay carry available per seller hazelnut prime charge free,amazon_food,"['good', 'good', 'good']",1.0,2,1,0.75
399,bottle shipping grocery subscribe delivery prime charge wine cost gallon kit hazelnut mio walmart club,amazon_food,"['good', 'rather_good', 'bad']",0.3,1,2,1.0
400,bottle shipping plastic iced delivery glass lemon seller mint lime peach forward drinking count gallon,amazon_food,"['good', 'good', 'rather_bad']",0.7,2,0,0.5
401,bottle shipping plastic iced delivery glass lemon seller mint lime peach forward drinking count tip,amazon_food,"['good', 'rather_bad', 'bad', 'good', 'good', 'bad', 'good', 'bad', 'bad']",0.4,0,-1,0.25
402,bottle shipping plastic iced delivery glass lemon seller mint lime peach forward prime drinking count,amazon_food,"['rather_bad', 'good', 'good']",0.7,2,0,0.5
403,bottle shipping plastic offer iced delivery glass lemon broken seller mint peach forward handle cent,amazon_food,"['bad', 'good', 'bad']",0.7,-2,0,0.5
404,bottle shipping subscribe delivery grocery prime charge wine cost gallon kit hazelnut mio club cola,amazon_food,"['good', 'good', 'good']",1.0,2,-1,0.25
405,bottle usually sale glass lemon delivery offer mint broken peach forward plastic half iced mio,amazon_food,"['bad', 'rather_bad', 'good']",0.3,-1,1,0.75
406,bought arrive jar pretty still gift tin could crack shell four fancy otherwise enough think,amazon_food,"['rather_bad', 'rather_bad', 'bad']",0.7,-1,1,0.75
407,bought arrive jar pretty still tin could crack four shell otherwise fancy gift second think,amazon_food,"['rather_bad', 'rather_bad', 'rather_bad', 'bad', 'bad', 'bad']",0.5,-1,2,1.0
408,bought arrive jar pretty still tin could gift crack shell four otherwise fancy think second,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,2,1.0
409,bought buying local grocery cost able carry deliver stop cheaper plant supermarket shelf trip door,amazon_food,"['rather_good', 'rather_bad', 'bad']",0.3,0,0,0.5
410,bought buying local grocery cost able way carry cheaper stop deliver supermarket shelf trip office,amazon_food,"['rather_good', 'bad', 'good']",0.3,0,-1,0.25
411,bought free cooky butter peanut gluten cookie original sale shipping super mom addict reasonable prime,amazon_food,"['good', 'good', 'rather_bad']",0.7,2,-1,0.25
412,bought free cooky butter peanut gluten cookie original sale super mom addict reasonable vegan prime,amazon_food,"['good', 'good', 'bad', 'rather_good', 'bad', 'good']",0.5,2,-2,0.0
413,bought free cooky shipping butter peanut gluten cookie original sale melt mom reasonable prime party,amazon_food,"['good', 'rather_good', 'bad']",0.3,1,-2,0.0
414,bought local grocery buying cost cheaper able carry live deliver stop run plant supermarket shelf,amazon_food,"['rather_bad', 'rather_good', 'good']",0.3,0,0,0.5
415,bought local grocery cost able buying deliver cheaper plant live run carry shelf trip stop,amazon_food,"['good', 'good', 'good']",1.0,2,2,1.0
416,bought local grocery cost buying cheaper able carry deliver live run plant stop shelf supermarket,amazon_food,"['good', 'good', 'rather_good']",0.7,2,1,0.75
417,bought local grocery cost cheaper able buying carry deliver live run plant stop shelf trip,amazon_food,"['good', 'good', 'bad']",0.7,2,1,0.75
418,bought pretty arrive still jar four otherwise tin could crack fancy shell second think surprisingly,amazon_food,"['bad', 'rather_bad', 'bad']",0.7,-2,0,0.5
419,bought still enough arrive amaze jar pretty fine could everyone think another tin tree crack,amazon_food,"['rather_bad', 'bad', 'bad', 'good', 'bad', 'rather_bad']",0.5,-2,-1,0.25
420,bought still enough arrive amaze jar pretty fine everyone could think another tin tree otherwise,amazon_food,"['bad', 'rather_bad', 'bad']",0.7,-2,-2,0.0
421,bought still enough pretty arrive amaze fine could jar everyone another think tree tin otherwise,amazon_food,"['bad', 'rather_bad', 'bad']",0.7,-2,2,1.0
422,bought still pretty arrive jar four second otherwise fancy crack shell feast surprisingly chest wedding,amazon_food,"['bad', 'rather_bad', 'bad']",0.7,-2,-1,0.25
423,box package shipping receive item purchase arrive pack candy packaging deal company open ship look,amazon_food,"['good', 'good', 'bad']",0.7,2,2,1.0
424,bpa water g<br glutamate msg monosodium mio glutamic electrolyte coconut zico free hydrolyze essentia gatorade,amazon_food,"['bad', 'good', 'bad']",0.7,-2,2,1.0
425,bpa water g<br glutamate msg monosodium mio glutamic electrolyte coconut zico free hydrolyze essentia pineapple,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,0,0.5
426,bread flour cereal pancake baking pizza gluten-free mill crust cake wheat gluten dough pretzel bob's,amazon_food,"['good', 'rather_bad', 'good']",0.7,2,-2,0.0
427,bread flour toast traditional member celiac mustard recipe disease yeast baking needle dough chinese loaf,amazon_food,"['rather_bad', 'good', 'rather_bad']",0.7,-1,-2,0.0
428,bread flour toast traditional member mustard celiac recipe baking disease yeast needle dough chinese loaf,amazon_food,"['rather_good', 'good', 'good']",0.7,2,1,0.75
429,bread flour traditional toast baking mustard member recipe celiac disease yeast needle dough chinese rise,amazon_food,"['rather_good', 'good', 'rather_bad', 'rather_good', 'rather_bad', 'good']",0.3,1,-1,0.25
430,bread flour traditional toast baking recipe mustard member celiac disease yeast needle rise dough chinese,amazon_food,"['good', 'good', 'rather_bad']",0.7,2,-1,0.25
431,bread recipe flour baking simple traditional toast sandwich mustard member celiac pizza disease rise yeast,amazon_food,"['good', 'good', 'good']",1.0,2,-2,0.0
432,breakfast packet indiv convenient wrap pour control ual afternoon ually deep enjoy morning way relax,amazon_food,"['rather_bad', 'bad', 'bad']",0.7,-2,2,1.0
433,breakfast packet indiv convenient wrap pour control ual afternoon ually morning deep enjoy way relax,amazon_food,"['rather_bad', 'bad', 'rather_bad', 'rather_bad', 'bad', 'rather_bad']",0.7,-1,1,0.75
434,breakfast packet indiv pour convenient wrap control ual afternoon ually deep enjoy worry english portion,amazon_food,"['bad', 'rather_bad', 'bad']",0.7,-2,1,0.75
435,breakfast packet indiv pour convenient wrap control ual portion afternoon ually worry deep since english,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,2,1.0
436,breakfast packet indiv pour convenient wrap portion control ual afternoon worry ually deep since english,amazon_food,"['rather_bad', 'rather_good', 'bad']",0.3,0,1,0.75
437,breakfast packet indiv wrap convenient pour ual control afternoon ually morning deep enjoy stevia way,amazon_food,"['rather_bad', 'bad', 'rather_good']",0.3,-1,2,1.0
438,breakfast packet indiv wrap convenient pour ual control afternoon ually morning enjoy deep stevia way,amazon_food,"['bad', 'bad', 'bad', 'rather_good', 'bad', 'rather_bad']",0.7,-2,1,0.75
439,brew bitter bold starbucks decaf instant drinker weak via smooth mocha peppermint yet strong ground,amazon_food,"['bad', 'bad', 'good']",0.7,-2,-2,0.0
440,brew bitter bold starbucks decaf instant drinker weak via smooth mocha strong peppermint magic yet,amazon_food,"['good', 'rather_good', 'good']",0.7,2,1,0.75
441,brew bitter bold starbucks decaf instant drinker weak via smooth mocha strong peppermint yet ground,amazon_food,"['good', 'good', 'rather_bad']",0.7,2,1,0.75
442,brew bitter bold starbucks decaf instant via weak strong drinker smooth mocha peppermint magic yet,amazon_food,"['good', 'bad', 'good']",0.7,2,-1,0.25
443,brew bitter bold yet starbucks decaf instant drinker weak smooth brewing via mocha peppermint magic,amazon_food,"['rather_good', 'good', 'rather_bad']",0.3,1,1,0.75
444,brew bitter yet bold starbucks instant drinker ground weak brewing via grind mocha bitterness peppermint,amazon_food,"['good', 'good', 'rather_bad']",0.7,2,2,1.0
445,butter peanut apple orange aware jelly poor grape choke formula risk belly possibly watch and<br,amazon_food,"['rather_good', 'bad', 'good']",0.3,0,-2,0.0
446,butter peanut apple orange aware jelly poor grape choke possibly risk formula belly watch and<br,amazon_food,"['bad', 'rather_good', 'bad']",0.7,-2,1,0.75
447,butter peanut apple orange aware poor jelly grape choke possibly risk formula belly and<br twenty,amazon_food,"['good', 'rather_bad', 'good']",0.7,2,-2,0.0
448,butter peanut apple orange jelly aware grape poor choke formula belly risk watch fact transition,amazon_food,"['good', 'good', 'rather_bad']",0.7,2,-2,0.0
449,butter peanut apple orange jelly grape aware poor choke formula fact belly watch risk transition,amazon_food,"['bad', 'good', 'bad']",0.7,-2,1,0.75
450,butter peanut apple orange jelly grape choke aware poor fact formula belly watch risk large,amazon_food,"['rather_good', 'bad', 'rather_bad', 'rather_good', 'rather_bad', 'good']",0.3,0,-1,0.25
451,butter peanut apple orange jelly grape choke aware poor fact formula belly watch risk transition,amazon_food,"['rather_bad', 'good', 'bad']",0.3,0,0,0.5
452,butter peanut illy mate exact ginger palm compromise newman's flowery toddler moth cooky blackcurrant tin,amazon_food,"['bad', 'bad', 'good']",0.7,-2,1,0.75
453,buying money cheaper bulk dont compare save costco finger spend personally waste hate range pull,amazon_food,"['rather_good', 'bad', 'bad']",0.7,-2,0,0.5
454,buying money cheaper compare bulk dont costco save personally finger hate spend waste cent range,amazon_food,"['good', 'bad', 'good', 'good', 'good', 'good']",0.8,2,1,0.75
455,buying money cheaper compare bulk dont hate costco personally finger cent spend retail range pull,amazon_food,"['rather_good', 'rather_good', 'good']",0.7,1,-2,0.0
456,buying money cheaper compare bulk dont hate costco personally finger spend cent retail however range,amazon_food,"['good', 'rather_good', 'rather_good']",0.7,1,1,0.75
457,buying sauce regular serve per save cost cheaper red spicy pepper pay subscribe bulk option,amazon_food,"['bad', 'rather_good', 'rather_bad', 'bad', 'rather_good', 'rather_good']",0.5,1,0,0.5
458,buying sauce serve per save regular cost cheaper red spicy pepper pay subscribe option heat,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,-2,0.0
459,by-product cat meat tassimo unit ingredient pad real poop friskies temperature harvest chicken keurig breeze,amazon_food,"['rather_bad', 'good', 'rather_bad']",0.7,-1,1,0.75
460,calorie low fat protein coconut serve juice diet fiber per sodium weight gram vitamin carbs,amazon_food,"['good', 'good', 'good']",1.0,2,-1,0.25
461,calorie low fat protein fiber weight serve sodium gram high per carbs diet nutrition carb,amazon_food,"['good', 'good', 'good']",1.0,2,2,1.0
462,calorie low fat protein sodium gram serve high carbs diet carb weight nutrition per watch,amazon_food,"['good', 'good', 'good', 'good', 'good', 'good']",1.0,2,1,0.75
463,calorie low fat protein weight fiber content high sodium gram diet substitute carbs lose lower,amazon_food,"['good', 'good', 'good']",1.0,2,-1,0.25
464,calorie low fat protein weight sodium fiber high gram diet content carbs lose substitute carb,amazon_food,"['good', 'good', 'good']",1.0,2,0,0.5
465,calorie low fat protein weight sodium gram high fiber diet content carbs lose substitute carb,amazon_food,"['good', 'good', 'good']",1.0,2,-1,0.25
466,calorie low fat protein weight sodium high fiber gram diet content carbs lose substitute carb,amazon_food,"['good', 'rather_good', 'good']",0.7,2,2,1.0
467,calorie low protein fat coconut diet juice serve fiber sodium gram weight vitamin per carbs,amazon_food,"['rather_good', 'good', 'rather_good']",0.7,1,-1,0.25
468,calorie low protein fat sodium gram serve carbs high diet carb weight nutrition per amount,amazon_food,"['good', 'good', 'good', 'good', 'good', 'bad']",0.8,2,1,0.75
469,calorie protein fat coconut low fiber sodium gram vitamin carbs splenda msg bpa ant nutritional,amazon_food,"['rather_good', 'good', 'rather_good']",0.7,1,-1,0.25
470,calorie protein fat low coconut diet fiber sodium gram vitamin soda carbs splenda pretzel msg,amazon_food,"['good', 'good', 'good']",1.0,2,1,0.75
471,calorie protein low amount fat i'd sodium gram weight carbs carb daily msg diabetic lose,amazon_food,"['good', 'good', 'good']",1.0,2,0,0.5
472,calorie protein low amount fat sodium weight gram carbs meal fiber carb msg daily diabetic,amazon_food,"['bad', 'rather_good', 'good']",0.3,0,2,1.0
473,calorie protein low fat coconut diet fiber sodium gram vitamin soda carbs splenda pretzel msg,amazon_food,"['good', 'rather_good', 'good']",0.7,2,-1,0.25
474,calorie protein low fat content fiber weight sodium gram substitute high diet carbs lose msg,amazon_food,"['good', 'good', 'good']",1.0,2,2,1.0
475,calorie protein low fat sodium carbs high gram diet carb nutrition watch amount farm diabetic,amazon_food,"['good', 'good', 'good']",1.0,2,-1,0.25
476,calorie protein low fat sodium fiber gram diet carbs carb nutrition high watch intake farm,amazon_food,"['rather_bad', 'rather_good', 'good']",0.3,0,2,1.0
477,calorie protein low fat sodium gram high carbs diet carb nutrition watch farm amount reduce,amazon_food,"['bad', 'good', 'good']",0.7,2,-1,0.25
478,calorie protein low fat weight sodium fiber gram high content diet carbs lose substitute carb,amazon_food,"['good', 'good', 'good']",1.0,2,0,0.5
479,calorie serve low fat protein coconut diet juice per fiber weight sodium gram vitamin carbs,amazon_food,"['good', 'good', 'good']",1.0,2,0,0.5
480,calorie serve low fat protein coconut diet juice per powder health fiber weight sodium gram,amazon_food,"['good', 'rather_good', 'good', 'good', 'good', 'good']",0.8,2,1,0.75
481,can't almond blue ounce wait cocoa magnesium beat diamond blood reminds cause nutrient alot rda,amazon_food,"['bad', 'good', 'bad']",0.7,-2,-1,0.25
482,can't almond blue ounce wait cocoa magnesium beat diamond say blood reminds nutrient alot rda,amazon_food,"['bad', 'bad', 'rather_good']",0.7,-2,0,0.5
483,can't almond blue wait iced cocoa magnesium beat diamond reminds alot wasabi nutrient rda bowel,amazon_food,"['rather_good', 'rather_bad', 'rather_bad']",0.7,-1,0,0.5
484,can't almond blue wait ounce cocoa magnesium say beat diamond blood reminds nutrient rda alot,amazon_food,"['rather_bad', 'bad', 'bad']",0.7,-2,2,1.0
485,can't almond ounce blue wait cocoa magnesium beat cause diamond blood reminds alot nutrient rda,amazon_food,"['rather_good', 'rather_bad', 'bad']",0.3,0,0,0.5
486,can't almond ounce blue wait cocoa magnesium cause beat diamond blood reminds alot nutrient rda,amazon_food,"['bad', 'rather_bad', 'rather_bad']",0.7,-1,0,0.5
487,can't run wait cocoa iced bone beat steep alot mug least say house watery sure,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,1,0.75
488,can't run wait cocoa iced bone beat steep alot mug least watery house sure say,amazon_food,"['bad', 'bad', 'bad', 'rather_bad', 'rather_bad', 'bad', 'bad', 'bad', 'bad', 'bad', 'bad', 'rather_bad']",0.8,-2,-2,0.0
489,can't run wait cocoa iced bone beat steep alot mug watery canister sure house meaty,amazon_food,"['rather_bad', 'rather_bad', 'bad']",0.7,-1,2,1.0
490,can't run wait iced cocoa bone beat steep alot watery mug canister hear one's everytime,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,0,0.5
491,can't say almond blue wait cocoa magnesium ounce beat diamond blood reminds nutrient rda bowel,amazon_food,"['rather_bad', 'good', 'bad']",0.3,0,-2,0.0
492,canada ryan wave stephen indiana funny ontario blue ottawa danny smoke story sticker afford jonathan,20newsgroups,"['bad', 'rather_bad', 'bad', 'bad', 'bad']",0.8,-2,-2,0.0
493,cancer word health center application higgins research increase fnal science resource national internet field randy,20newsgroups,"['bad', 'bad', 'rather_bad', 'bad', 'rather_good']",0.6,-2,0,0.5
494,cand doctor suck treatment anti infection vitamin body cause quack medical pilot yeast bias antibiotic,20newsgroups,"['good', 'rather_good', 'good', 'good', 'good']",0.8,2,1,0.75
495,cand doctor treatment anti suck cause yeast disease infection body medical vitamin blood quack physician,20newsgroups,"['good', 'good', 'good', 'rather_good', 'rather_bad']",0.6,2,-1,0.25
496,cand doctor treatment suck anti infection body cause yeast vitamin medical quack disease blood pilot,20newsgroups,"['rather_good', 'good', 'good', 'good', 'rather_good']",0.6,2,1,0.75
497,cand palestinian israel suck nasa cause west israeli infection astronaut stup anti bank bias degree,20newsgroups,"['rather_bad', 'good', 'good', 'bad', 'rather_bad']",0.4,0,0,0.5
498,cand suck infection anti palestinian cause vitamin west doctor body astronaut bias treatment pilot bank,20newsgroups,"['bad', 'bad', 'bad', 'bad', 'good', 'rather_bad', 'rather_bad', 'rather_bad', 'bad', 'bad']",0.6,-2,2,1.0
499,candy soup gift rice pasta noodle item thanks awesome customer service christmas contact tuna hol,amazon_food,"['good', 'good', 'good']",1.0,2,-1,0.25
500,candy soup gift rice pasta thanks noodle awesome customer service christmas contact tuna item hol,amazon_food,"['rather_bad', 'rather_good', 'rather_bad']",0.7,-1,-1,0.25
