able amaze fill glad stop daily fantastic move prime plenty empty subtle job strongly litter	-1	 neutral</s>
card driver memory simms cards crash gateway battery backup diamond tower accelerator tape boot color	-1	 neutral</s>
card driver memory simms cards crash gateway battery backup diamond tower tape accelerator boot color	2	 neutral</s>
card driver sound copy light mark machine left running free disk following memory water else	-2	 neutral</s>
card driver sound light copy running machine crash mark gateway anybody left hardware speaker backup	2	 rather yes</s>
card driver sound light running gateway machine crash copy mark anybody diamond latest hardware memory	-2	 rather yes</s>
card driver sound machine light running copy gateway mark crash memory left anybody hardware option	-2	 rather yes. This word set can be related to
care health country market america company money gary perry columbia drug liberal somalia germany german	-1	 rather yes</s>
care mark couple marriage poor married insurance abortion coverage rent live speech child free money	0	 rather yes</s>
care mark marriage poor child couple live deserve free together services deliver choose parent health	-1	 rather yes. The words "marriage," "
care marriage couple poor child mark health package live public together commitment congress free immunization	-2	 rather yes. The words "marriage," "
care marriage couple public insurance child kind poor live health congress whether ever mark free	0	 rather yes</s>
care marriage couple public kind congress live mark poor ever together whether output technology package	-2	 neutral</s>
care marriage insurance couple child mark poor money coverage live abortion public free rent parent	0	 rather yes</s>
care marriage insurance couple child poor mark public abortion money coverage live free health rent	1	 rather yes. The words can be grouped into
care marriage insurance couple child poor public health mark abortion money coverage free live congress	-2	 rather yes. The words "marriage," "
care marriage insurance couple mark poor child money coverage abortion live rent public free married	1	 rather yes. The words "marriage," "
care marriage insurance couple poor mark child money abortion coverage public live rent free health	2	 rather yes. The words "marriage," "
care marriage insurance health public couple child poor congress kind free package whether live commitment	0	 rather yes</s>
care marriage mark couple poor insurance child live abortion coverage married money rent free speech	1	 rather yes. The words "marriage," "
case market salty live suggest sour hooked crispy cheddar tangy heaven regret smallest mayo bland	-2	 neutral</s>
case salty live sour suggest hooked crispy cheddar tangy less heaven since smallest regret mayo	0	 rather yes. The words can be grouped into
case salty live suggest sour hooked crispy cheddar tangy garbage heaven ahead regret mayo neighborhood	-2	 rather yes</s>
case salty live suggest sour hooked crispy cheddar tangy garbage heaven ahead regret smallest mayo	0	 rather yes. The words can be grouped into
case salty live suggest sour hooked crispy cheddar tangy garbage heaven ahead regret smallest since	-2	 neutral</s>
case salty live suggest sour hooked crispy cheddar tangy heaven regret less garbage since smallest	-1	 neutral</s>
case salty sour live hooked suggest crispy cheddar tangy less since heaven market smallest new	0	 neutral</s>
cat brand ingredient feed quality chicken meat natural diet corn organic dry list switch pet	0	 rather yes. This word set can be related to
cat fancy chicken recall photo feast petite cuisine purina cupcake island smiley pig color frost	-2	 neutral</s>
cat feed meat ingredient pet chicken wellness vet diet salmon dry corn switch kibble filler	2	 rather yes. The words can be generally grouped
cat meat ingredient corn dog vitamin calcium feed cat's human ground expensive finicky bone beef	2	 rather yes. The words can be loosely
cat pet wellness feed meat ingredient science vet kitty kibble filler kitten purina cat's by-product	2	 rather yes. The words can be generally grouped
cat wellness feed pet science ingredient meat kitten vet kitty by-product purina kibble filler cat's	2	 rather yes. The words primarily relate to the topic
cause father message view user whole bill white head check code appear begin attack within	-2	 neutral</s>
cause food medical disease health patient doctor report cand cancer treatment steve body blood infection	2	 rather yes</s>
cause launch cand report military face charge anti fire knife woman infection weapon police health	-1	 rather yes</s>
cause medical health report disease food cand face infection doctor charge steve military body knife	1	 rather no.</s>
cause report cand health medical face military charge disease food infection knife dangerous anti among	0	 rather yes. The words "health," "med
cause report health food study disease medical doctor steve increase patient center among body treatment	2	 rather yes. The words can be generally grouped
center nasa research image internet graphics cancer virginia health medical contact april email mike archive	-1	 rather yes</s>
center research internet virginia office conference phone computing national department north film address campus australia	-2	 rather yes. The words "research," "
center research internet virginia office phone nasa north email computing film contact national maine harvard	-2	 rather yes. The words can be grouped into
center research internet virginia phone office nasa email north computing film contact national maine harvard	1	 rather yes. The words can be grouped into
center research nasa medical april health cancer internet virginia report national volume page newsletter contact	2	 rather yes. The words "research," "
center research nasa medical april health report cancer national virginia page volume internet newsletter office	0	 rather yes. The words "research," "
center research virginia internet nasa office phone north film email computing contact maine national tiff	-2	 rather yes. The words "research," "
center research virginia nasa internet tiff film contact image maine graphics mike news north conference	-2	 neutral</s>
center research virginia nasa internet tiff film contact maine mike image graphics news north conference	-2	 rather yes. The words "research," "
center virginia research internet nasa film office maine national north contact conference phone computing campus	-1	 rather yes. The words can be grouped into
center virginia research nasa internet film maine contact national office conference north news phone report	1	 rather yes. The words "research," "
center virginia research nasa internet film maine contact office national conference north news report phone	-2	 rather yes. The words "research," "
cereal sell chewy hop unfortunately truly pancake vendor surprised raisin packaging fudge muffin understand bran	0	 rather yes</s>
cereal sell grain hop surprised unfortunately chewy truly nearly pancake raisin vendor understand appreciate book	1	 neutral</s>
cereal sell truly stale vendor appreciate unfortunately understand allow fell never think threw longer regular	-2	 neutral</s>
cereal sell truly stale vendor unfortunately appreciate understand allow fell threw never think longer basis	-2	 neutral</s>
cereal sell truly unfortunately stale vendor appreciate understand allow fell threw longer fail basis never	-2	 neutral</s>
cereal sell unfortunately truly stale vendor appreciate understand allow fell threw fail longer basis pronounce	-1	 neutral</s>
cereal sell unfortunately truly stale vendor appreciate understand allow threw fell meant fail basis pronounce	-2	 neutral</s>
cereal sell unfortunately truly stale vendor understand appreciate allow threw fell fail basis pronounce macadamia	-2	 neutral</s>
change feed diet wellness crazy formula eats vet whatever kibble switch science year old start	-2	 neutral</s>
change feed diet wellness formula crazy vet eats whatever switch kibble science year fed start	-1	 neutral</s>
change feed vet switch diet formula wellness crazy eats whatever kibble pet science kitten fed	-1	 rather yes. The words can be generally grouped
change feed vet switch diet formula wellness crazy eats whatever kibble pet science kitten gobble	-1	 rather yes. The words can be generally related to
character font printer print vice page cell code bill beauchaine bobbe thought deskjet beep blow	2	 neutral</s>
cheese bake could homemade fry slice spoon onion spread style cardboard sandwich oven contact put	2	 rather yes. The words can be generally grouped
cheese bake could homemade fry slice spoon onion spread style put sandwich contact cardboard oven	2	 rather yes. The words can be generally grouped
cheese bake homemade could fry slice onion spoon put contact spread sandwich oven somewhere cardboard	2	 neutral</s>
cheese bread bake follow homemade spread slice spoon toast direction fry sandwich usual mustard oven	2	 rather yes. The words can be generally grouped
cheese bread bake homemade spread slice spoon toast fry onion direction sandwich oven follow usual	1	 rather yes. The words can be generally grouped
cheese bread bake homemade spread slice toast spoon onion put fry sandwich oven direction could	2	 rather yes. The words can be generally grouped
cheese bread chili garlic sauce thai pan pizza curry crust whip dip chef boil rub	2	 rather yes. The words can be generally grouped
cheese bread sauce chili stir garlic pizza waffle thai pan curry crust jalapeno dip whip	2	 rather yes. The words can be generally grouped
cheese bread sauce flour chili stir garlic pork pizza waffle thai pan curry crust oven	2	 rather yes. The words can be grouped into
chew honey hair toy skin sleep boost play calm rawh busy wash workout gel joint	-2	 rather yes</s>
chew minute gum mouth cinnamon special piece third bubble xylitol two swallow three however soothe	-1	 rather yes</s>
chew minute gum mouth special cinnamon third bubble xylitol swallow crumble second soothe however piece	-2	 neutral</s>
chew minute three gum mouth special cinnamon four third bubble xylitol swallow adore jump crumble	1	 neutral</s>
chew minute three gum mouth special cinnamon third bubble xylitol swallow crumble soothe adore jump	-2	 neutral</s>
chew mouth pod pound bone toy ball puppy minute play last two around teeth rawh	-2	 rather yes</s>
chew pod bone pound toy mouth puppy play last creamer around minute rawh senseo two	-1	 neutral</s>
chew pod mouth bone pound toy puppy last play around minute two size creamer rawh	0	 neutral</s>
chew pod pound bone toy ball puppy teeth play minute he's rawh senseo two busy	-1	 neutral</s>
chew pod pound bone toy caramel larger play puppy two minute pet rawh senseo safe	-2	 rather yes</s>
chew pod pound bone toy caramel larger puppy play two minute rawh senseo pet safe	-2	 rather yes</s>
chew pod pound bone toy larger caramel puppy play two minute rawh senseo ear safe	-2	 neutral</s>
chew pod pound toy bone caramel larger play pet two minute rawh puppy target german	0	 rather yes. The words "chew," "
chew pod pound toy bone caramel larger play two minute puppy pet rawh safe target	-2	 rather yes</s>
chew pod toy pound caramel bone larger play pet two minute rawh puppy target seem	-2	 neutral</s>
chicken meat vegetable purchasing hazelnut filler test ingredient we're steak vegetarian by-product duck grill gloria	0	 neutral</s>
chicken meat vegetable purchasing hazelnut ingredient filler test steak we're vegetarian by-product duck grill real	2	 rather yes. The words can be generally grouped
chicken meat vegetable purchasing hazelnut ingredient filler test steak we're vegetarian by-product real duck know	2	 neutral</s>
chicken meat vegetable purchasing hazelnut ingredient filler test we're steak vegetarian by-product duck know grill	2	 rather yes. The words can be grouped into
chicken meat vegetable purchasing hazelnut test filler ingredient we're steak vegetarian by-product grill duck know	-2	 rather yes. The words can be grouped into
chicken meat vegetable purchasing hazelnut test filler we're ingredient steak vegetarian by-product grill duck gloria	2	 neutral</s>
chicken meat vegetable purchasing hazelnut test we're steak real vegetarian grill enjoy gloria rub exception	2	 rather yes. The words can be generally grouped
chicken meat vegetable purchasing test hazelnut filler we're steak exception vegetarian completely grill breast by-product	2	 rather yes</s>
chicken meat vegetable purchasing test hazelnut filler we're steak vegetarian by-product exception ingredient grill supplier	2	 rather yes</s>
chicken meat vegetable purchasing test hazelnut filler we're steak vegetarian exception by-product grill breast supplier	2	 rather yes. The words can be generally grouped
chicken meat vegetable purchasing test hazelnut we're steak vegetarian real exception grill gloria rub plate	2	 rather yes. The words can be generally grouped
chicken meat vegetable purchasing test hazelnut we're steak vegetarian real grill exception gloria rub enjoy	2	 rather yes. The words can be generally grouped
chicken meat vegetable purchasing test hazelnut we're vegetarian steak exception breast real grill gloria rub	1	 rather yes. The words can be generally grouped
chicken meat vegetable purchasing test hazelnut we're vegetarian steak exception grill breast concern gloria rub	-1	 rather yes. The words can be generally grouped
chicken meat vegetable purchasing test hazelnut we're vegetarian steak exception real grill breast gloria rub	2	 rather yes. The words can be generally grouped
child body woman dead town army massacre azerbaijan azeri kill attack three destroy terrorist soviet	2	 rather yes. The words "child," "woman
child drug care country society party insurance freedom medium germany difference political german social suggest	2	 rather yes</s>
child kill food woman cause fire disease left doctor live body health patient home friend	-2	 rather yes</s>
child koresh rutgers rock kaldis michael doctor georgia injury trial radio germany witness society easter	-2	 neutral</s>
child michael koresh rutgers phil radio rock witness trial kaldis judge georgia ence ians covington	-2	 neutral</s>
child michael koresh rutgers phil radio witness rock trial judge ence kaldis georgia ians kill	-2	 rather no.</s>
child remember duke chip maybe risc email away center sell turn monitor color argument nasa	-2	 neutral</s>
child report picture kaldis ence word news nothing whether send rutgers phone homosexual home today	-2	 neutral</s>
child rutgers kaldis koresh doctor rock easter germany injury society michael trial radio ence report	-2	 rather yes</s>
child rutgers kaldis report easter homosexual rock ence society germany picture word doctor injury koresh	-2	 neutral</s>
child turkish woman turkey armenia turk greek military russian army weapon live village today plane	-2	 rather yes. The words "child," "woman
child woman body dead massacre army village muslim russian azerbaijan attack turkish town minority report	-1	 rather yes. The words "child," "woman
chip blend roast com favorite www http href dark keurig k-cups brew bold rich pod	-1	 rather yes</s>
chip blend roast com www http href dark brew keurig k-cups bold rich pod smooth	0	 rather yes</s>
chip blend roast com www http href dark brew keurig k-cups rich bold pod machine	-1	 rather yes. The words can be generally grouped
chip blend roast com www http href dark keurig brew k-cups bold rich smooth pod	-2	 rather yes</s>
chip blend roast com www http href keurig brew k-cups bold pod french starbucks k-cup	-2	 rather yes</s>
chip blend roast com www http href keurig k-cups brew bold pod french starbucks k-cup	-2	 rather yes</s>
chip encryption clipper escrow security secure agency technology enforcement privacy encrypt algorithm protect crypto secret	2	 rather yes. The majority of the words in the
chip encryption clipper phone escrow security secure technology agency privacy protect enforcement algorithm encrypt crypto	2	 rather yes. The majority of the words in the
chip encryption clipper security escrow privacy encrypt technology agency enforcement message phone algorithm protect secret	2	 rather yes. The words in this set are primarily
chip encryption clipper security privacy escrow technology encrypt agency phone enforcement message algorithm protect secure	2	 rather yes. The words in the given list are
chip encryption clipper security privacy phone escrow technology agency secure encrypt algorithm message enforcement protect	2	 rather yes. The words have some connection to the
chip encryption phone public security clipper access message algorithm technology privacy product protect agency secure	2	 rather yes. The words in the given list are
chip healthy snack tasty excellent lunch crave healthier fiber salty dip satisfy alternative crunch cheddar	2	 rather yes. The words can be generally grouped
chip healthy tasty excellent fiber healthier lunch crave dip alternative satisfy crunch cheddar vinegar market	2	 rather yes. The words can be generally grouped
chip potato vinegar kettle corn garden addictive tortilla trap blue starch bbq lucky think salt	2	 rather yes. The words can be generally grouped
chip potato vinegar kettle corn garden addictive trap salt blue tortilla think lucky starch whole	2	 rather yes. The words can be generally grouped
chip potato vinegar kettle corn garden addictive trap tortilla blue salt starch think lucky bbq	2	 rather yes. The words can be generally grouped
chip potato vinegar kettle garden bbq popchips greasy corn addictive tortilla somehow trap blue starch	2	 neutral</s>
chip sauce www http href com cheese potato chili garlic vinegar dip pie bbq kettle	2	 rather yes. The words can be grouped into
chip snack healthy tasty excellent lunch crave healthier fiber salty dip satisfy alternative crunch cheddar	2	 rather yes. The words can be generally grouped
chip star potato corn kettle vinegar yellow addictive blue garden whole trap carrot think reason	-1	 neutral</s>
chip star potato corn kettle vinegar yellow blue addictive garden whole trap carrot think reason	-1	 neutral</s>
chip star potato corn reason yellow kettle rating vinegar blue addictive garden tortilla trap starch	-2	 rather yes. The words "chip," "pot
chip star potato corn reason yellow kettle rating vinegar blue garden addictive tortilla trap starch	0	 rather yes. The words "chip," "pot
chip star potato corn reason yellow kettle vinegar blue rating addictive garden tortilla trap think	-1	 neutral</s>
chip star potato corn vinegar kettle yellow blue addictive garden trap tortilla reason think whole	-2	 neutral</s>
chip star potato reason salty corn veggie thin rating kettle rate garden addictive greasy sesame	2	 rather yes. The words have some connection to the
chip star potato salty corn veggie reason vinegar kettle rating think still whole addictive garden	2	 rather yes. The words can be grouped into
chip star potato salty corn veggie reason vinegar kettle rating think whole addictive garden still	-1	 rather yes. The words have some connection to the
chocolate chip sauce hot com www http href cheese pack spicy pepper salt potato cocoa	2	 neutral</s>
chocolate http www href com pie pack dark variety melt cherry truffle roast fudge caviar	-2	 neutral  These words do not have a clear
church bible christ catholic faith matthew lord scripture father word spirit paul holy passage interpretation	2	 rather yes. This word set primarily relates to
church bible christ catholic matthew faith lord scripture father word spirit holy paul passage interpretation	2	 rather yes. This word set is primarily related to
church bible christ faith catholic matthew lord scripture father word spirit holy heaven interpretation teach	2	 rather yes. The words primarily relate to religious themes
church bible christ faith catholic matthew lord scripture father word spirit holy teach interpretation heaven	2	 Yes. This word set is related to the topic
church bible christ faith catholic matthew lord scripture father word spirit holy teach interpretation passage	2	 Yes. This word set is related to the topic
church catholic authority pope bible public country belief live strong child religion love regard always	2	 rather yes. The words primarily revolve around the
church catholic authority pope matter member bishop faith involve schism command teaching situation public bible	2	 rather yes. The words primarily revolve around religious
church catholic authority pope matter member bishop tradition teaching priest involve doctrine schism command faith	2	 rather yes. This word set primarily relates to
church catholic pope authority tradition doctrine priest orthodox teaching bishop divine nature matter revelation schism	2	 rather yes. The words primarily relate to religious themes
church catholic pope authority tradition doctrine priest orthodox teaching bishop nature divine matter revelation schism	2	 rather yes. The words primarily relate to religious topics
church truth absolute doug symbol borland bible libxmu scripture paradox matter reading error interpretation exercise	2	 neutral</s>
church truth absolute doug symbol borland bible scripture libxmu paradox catholic matter darren error certain	2	 neutral</s>
church truth absolute doug symbol borland libxmu scripture bible paradox matter reading interpretation exercise error	1	 neutral</s>
church truth catholic absolute pope bible matter scripture symbol revelation borland interpretation faith libxmu certain	2	 neutral</s>
city judas young hanging acts present sdsu move election money bill thousand office tree decenso	-2	 neutral</s>
city judas young hanging present sdsu election acts move bill thousand office money babb among	-1	 neutral</s>
city matthew young hang word judas greek hanging fall tree acts hearing sdsu present thus	-2	 neutral</s>
city word matthew young hang judas greek hanging tree acts hearing fall sdsu specifically present	-2	 neutral</s>
city word matthew young hang judas greek hanging tree hearing acts fall sdsu specifically present	-1	 neutral</s>
city young judas hanging acts present money sdsu tree bill thousand move election fall create	1	 neutral</s>
city young judas hanging acts present sdsu money tree thousand move election fall bill decenso	-2	 neutral</s>
clinton class charles movie stup regard within plan frame bill sean supposedly success raise bush	-2	 rather yes</s>
clinton class movie bill charles frame within plan sean regard bush quicktime animation administration stup	-1	 neutral</s>
clinton class movie charles frame bill within plan sean regard bush quicktime animation administration mike	-2	 rather yes. The words "clinton," "
clinton mike batf class bill within proper waco administration bush plan equipment unknown protect charles	-1	 neutral</s>
clinton mike batf class within bill proper administration equipment bush plan waco country working unknown	-2	 neutral</s>
clinton mike public bill fast package administration working drug batf general trade protect hunting firearm	-1	 rather yes. The words "clinton," "
clinton mike within bill batf class administration equipment proper working country unknown bush plan fear	-1	 neutral</s>
clinton movie bill class within frame plan charles sean animation regard mike administration bush full	-2	 neutral</s>
clinton movie class bill frame plan within animation sean administration charles mike bush quicktime regard	-2	 neutral</s>
clipper access division industry build married care email hockey error library company price phone routine	-2	 neutral</s>
clipper access encryption chip player email hockey build price industry technology error phone care division	-2	 rather yes</s>
clipper married access industry care division marriage email routine library technology encryption chip become phone	-1	 rather yes. The words "married," "
coconut help difference everyday benefit cannot pleasant tell told improve health munch many skin along	2	 rather yes</s>
coconut tell benefit wow face bpa jelly choke everyday america zico belly friend erably blah	-2	 neutral</s>
coconut tell difference cannot benefit along told pleasant everyday pure level improve temperature munch admit	-2	 neutral</s>
coconut water protein bottle calorie soda syrup fat vitamin gram splenda sugar juice carbs msg	-1	 rather yes. The words can be generally grouped
code function message reference algorithm text method random cipher null crypt attack ripem cryptography length	2	 rather yes. This word set is related to the
code function muslim text subject null islam error output application research reference open date unix	-2	 rather yes</s>
code function reference text message algorithm method character random cipher null crypt ripem cryptography length	2	 rather yes. This word set is related to computer
code function subject muslim application null text research output jewish error build open islam reference	-2	 rather yes</s>
code function text cipher null reference crypt random char error cryptography algorithm define message following	2	 rather yes. This word set is related to the
code function text null cipher reference crypt char error muslim random cryptography define character gregg	-2	 rather yes. The words "code," "function
code object event method register routine generate algorithm simple easy public expose function polygon allow	-1	 neutral</s>
code user event public register algorithm generate send window expose object patent drawing implementation export	-2	 rather yes. These words can be associated with the
code user event public register algorithm generate window expose send export patent object graphics implementation	2	 rather yes. This word set is related to computer
code user public event register algorithm generate send object expose patent drawing implementation domain contain	0	 rather yes. These words can generally be associated with
colorado music letter flame argument conclusion fallacy motorcycle bruce therefore japanese letters club denizen japan	-1	 neutral</s>
command dealer deal price saturn newsreader ford loss sales small cycle arizona deep ering customer	-2	 rather yes</s>
command dealer saturn ford cycle loss deal arizona price duty deep newsreader small prof profit	-2	 neutral</s>
command dealer saturn newsreader loss ford deal price sales cycle small arizona deep ering customer	-2	 rather yes</s>
command religious cycle atheism ford religion saturn prof dealer atheist duty response profit finally boot	-1	 neutral</s>
company available awesome care sent search licorice email send affordable business since premium beyond back	-2	 rather yes</s>
company available awesome sent care licorice search email send affordable business since premium back beyond	-2	 rather yes</s>
company available awesome sent care licorice search email send affordable business since premium back coupon	-2	 rather yes</s>
company available awesome sent licorice care email search affordable business since send premium back prompt	-2	 rather yes</s>
company available care awesome search sent licorice send call contact email finally business affordable amazon's	0	 rather yes. The words can be grouped into
company available care awesome search sent licorice send contact email business affordable amazon's beyond coupon	1	 rather yes</s>
company available care awesome search sent licorice send contact email since business call affordable amazon's	0	 rather yes. The words can be grouped into
company available care awesome search sent licorice send email contact since business affordable beyond premium	0	 rather yes</s>
company insurance happy money private health america canadian liberal proposal perry care policy canada spend	0	 rather yes. The words can be generally grouped
company treat bell positive larc negative worry patient recent current lyme carl complaint strength reaction	-2	 rather yes</s>
company treat bell positive larc negative worry patient recent lyme current carl complaint strength reaction	-1	 rather yes</s>
company treat positive larc negative patient current bell worry carl lyme chen nasa nova culture	-2	 neutral</s>
compare market difference mean pasta sometimes stomach soda hold brown sour coat upset nicely folk	-1	 neutral</s>
container easily place soft melt hold together mess chewy shape stuck work open cool room	-2	 rather yes</s>
container easily place soft melt hold together mess shape stuck chewy open cool somewhat room	-2	 neutral</s>
container easily soft melt work place chewy mess together shape stuck hold room open cool	-2	 rather yes</s>
container pet teeth vet clean result research cheap basically issue breath greenies major manufacturer junk	-2	 neutral</s>
container place easily soft melt hold together mess shape open stuck chewy somewhat cool room	-2	 rather yes</s>
container teeth vet clean pet result research cheap issue basically breath greenies major manufacturer junk	-2	 neutral</s>
container teeth vet clean result pet research cheap basically breath issue greenies junk major manufacturer	-1	 neutral</s>
context quote agree umich taking relay maybe death learn engin james kind ence feel argument	-2	 neutral</s>
controller scsi disk card bios interface feature jumper floppy speed fast transfer port board rate	1	 rather yes. This word set is related to computer
controller scsi disk card bios interface feature jumper speed floppy fast transfer pope port mode	2	 rather yes. This word set is related to computer
cookie cooky microwave package chewy chocolate soft annie newton garbage bad toilet plastic bowl put	2	 neutral</s>
cooky butter free peanut gluten cookie sale we've reasonable walmart newman's allergy jam raisin consistency	2	 rather yes. The words can be generally grouped
cooky butter peanut cookie sale we've newman's moist spread reasonable biscuit crumb walmart fabulous sandwich	2	 rather yes. The words can be generally grouped
cooky butter peanut cookie sale we've reasonable newman's reviewer website agree walmart supermarket blow similar	-1	 rather yes. The words "cooky," "
cooky butter peanut cookie sale we've website newman's spread reasonable biscuit crumb walmart fudge allergic	-1	 rather yes. The words can be generally grouped
cooky butter peanut gluten cookie free sale we've reasonable walmart newman's consistency jam blow website	0	 rather yes. The words "cooky," "
cooky butter peanut gluten cookie free we've reasonable walmart wheat allergic sale celiac allergy soy	0	 rather yes. The words can be generally grouped
cooky butter peanut gluten cookie sale we've reasonable newman's walmart consistency celiac jam blow pamela's	-1	 rather yes. The words "cooky," "
cooky butter peanut gluten cookie sale we've reasonable walmart newman's consistency jam blow raisin allergy	-2	 rather yes. The words "cooky," "
cooky cookie mouth bite raspberry thin brownie fudge crumb xylitol oreo creme soft gooey chewy	2	 rather yes. The words mainly revolve around the
cooky cookie mouth bite raspberry thin brownie fudge xylitol crumb oreo creme gooey pan soft	2	 rather yes. The words can be generally grouped
cooky cookie mouth raspberry thin brownie fudge xylitol bite oreo creme think pan gooey soft	-2	 rather yes. The words mainly revolve around the
cooky cookie mouth raspberry thin brownie fudge xylitol oreo bite creme think pan gooey soft	2	 rather yes. The words can be generally grouped
cooky cookie mouth raspberry thin brownie fudge xylitol oreo creme gooey pan think package soft	0	 rather yes. The words can be generally grouped
cooky cookie mouth raspberry thin brownie fudge xylitol oreo creme package gooey pan think soft	1	 rather yes. The words can be generally grouped
cooky cookie mouth raspberry thin brownie fudge xylitol oreo package creme gooey think pan soft	2	 rather yes. The words can be generally grouped
cooky cookie raspberry mouth thin brownie fudge xylitol package oreo think gooey creme pan soft	2	 rather yes. The words mainly revolve around the
cooky cookie raspberry thin agree brownie oreo fudge gooey think soft crumbly overprice enough ruin	2	 rather yes  These words can be generally group
cooky cookie raspberry thin agree brownie oreo fudge think gooey crumbly soft enough overprice ruin	0	 rather no.</s>
cooky cookie raspberry thin agree brownie oreo fudge think gooey crumbly soft texture package enough	-2	 rather yes. The words "cooky," "
cooky cookie raspberry thin brownie agree oreo fudge think gooey crumbly texture package soft enough	1	 rather yes. The words can be generally grouped
cooky cookie raspberry thin brownie agree oreo fudge think gooey texture package crumbly soft enough	2	 rather yes. The words can be generally grouped
cooky rice soup pasta season noodle cookie tomato tuna fudge hol wasabi bubble steak pea	2	 rather yes. The words can be grouped into
cooky rice soup pasta season noodle cookie tomato tuna fudge hol wasabi steak bubble broth	2	 rather yes. The words can be grouped into
copy machine persian free sound anyway current public address easy company general several fast able	-2	 neutral</s>
copy offer monitor excellent manual asking sale title condition tape email trade original cover distribution	-2	 rather yes</s>
copy offer monitor excellent manual asking sale title tape condition trade original email cover distribution	1	 rather yes. This word set is related to the
copy steve electronics thor libertarian bell steveh measure hendricks thanx fail regulation protection tamu limited	-2	 neutral</s>
copy steve thor electronics libertarian steveh hendricks eliminate tamu fail limited regulation failure snow swiss	-2	 neutral</s>
copy thor electronics libertarian steve bell steveh hendricks current measure fail free persian regulation limited	-2	 neutral</s>
copy thor electronics libertarian steveh bell steve hendricks keyboard current persian free fail measure company	-2	 neutral</s>
copy thor electronics libertarian steveh bell steve hendricks keyboard persian current free fail measure cluster	-2	 neutral</s>
copy thor persian libertarian steveh electronics keyboard free current company machine cluster anyway bell fail	-2	 neutral</s>
copy thor steve electronics libertarian bell steveh hendricks measure current fail regulation protection persian limited	-2	 neutral</s>
corn pet ingredient feed wellness vet chicken meat filler diet science liver flour fructose kitten	1	 neutral</s>
cost bpa general consumer drive refill effective woman liter per sadly sodastream tomato synthetic rate	2	 neutral</s>
cost bpa general consumer drive refill effective woman rate liter per sadly particularly sodastream tomato	-2	 neutral</s>
cost bpa general drive consumer refill woman liter effective per sadly sodastream tomato synthetic drug	-2	 neutral</s>
cost bpa general rate consumer particularly drive refill effective woman liter discount per sadly sodastream	-1	 neutral</s>
could cheese bake finally homemade fry slice spoon spread onion stand cardboard oven somewhere kraft	1	 neutral</s>
could cheese bake homemade fry spread slice spoon onion stand style paper cardboard effort oven	1	 rather yes. The words "could," "che
could cheese bake homemade slice spoon fry spread onion style finally stand cardboard paper oven	2	 rather yes. The words "could," "che
could ever local piece grocery sell deal wish carry market glad gum whole online hop	-1	 neutral</s>
could local piece grocery sell deal wish carry market glad gum online whole break hop	1	 neutral</s>
could local piece grocery sell deal wish carry market glad online break hop surprised unfortunately	-1	 neutral</s>
could n't money new fine juice either least color guess wrong end waste throw show	-2	 neutral</s>
country action land force iran citizen house bosnia weapon majority federal constitution civil nation adam	0	 rather yes. The words "country," "land
country federal house iran civil bosnia force action majority constitution nation minority senate constitutional hallam	2	 rather yes. The words "country," "n
country federal house iran civil force bosnia action majority constitution senate constitutional minority nation iranian	2	 rather yes. The words "country," "n
country germany land german nazi money happy europe european waste race spend political canadian party	2	 rather yes. The words "country," "G
country iran house federal force constitution bosnia clinton action weapon majority civil senate center iranian	0	 rather yes. The words "country," "const
country iran house weapon force kill clinton action sphere arms amendment constitution public pres nuclear	-2	 rather yes. The words "country," "I
country iran nation house bosnia europe political majority federal civil minority hallam revolution social senate	-2	 rather yes. The words "country," "n
country kill weapon force iran action house religion land clinton citizen public arab arms nuclear	1	 rather yes</s>
country land care germany happy money waste german health company proposal europe race european spend	2	 rather yes. The words "country," "land
country land citizen action adam force iran house civil majority nation bosnia minority federal freedom	0	 rather yes. The words "country," "land
country land germany german happy money care waste europe proposal european race health company spend	-1	 rather yes. The words "country," "land
country land germany german happy money waste nazi europe european race spend canadian proposal care	-1	 rather yes. The words "country," "land
country land germany german nazi money happy europe waste european race spend canadian care political	0	 rather yes. The words can be broadly group
country land germany happy german care money waste health europe proposal company race european spend	-1	 rather yes. The words "country," "land
country nation iran political europe house bosnia majority hallam minority civil revolution democratic federal social	2	 rather yes. The words "country," "n
country nazi german germany land europe money party political european happy spend race waste history	2	 rather yes. The words "country," "G
country nazi germany german land europe money party european happy political race waste spend history	2	 rather yes. The words "country," "G
country nazi germany german land europe money party european happy political spend race waste history	2	 rather yes. The words "country," "G
court berkeley charge anti judge francisco lawyer legal copyright jacket property dangerous california museum police	0	 rather yes. The words "court," "jud
cracker mouth please mountain care substitute color pork table wine surprise present puff kit describe	-2	 neutral</s>
cracker please mouth mountain care substitute color pork wine table puff kit present surprise weak	-2	 neutral</s>
cramer clayton free station uunet tool optilink image price service email mine option consent contact	-2	 rather yes</s>
cramer clayton station uunet optilink mine consent free price pyram option service relations operator contact	-2	 rather yes</s>
cramer image free clayton user email price incoming station optilink contact uunet design large cost	-2	 neutral</s>
cramer station clayton tool uunet mine optilink phone free option module consent plot service design	-2	 rather yes</s>
cramer station clayton uunet tool mine optilink free phone module option consent service plot design	-2	 neutral</s>
crime criminal indiv self citizen public commit defense knife violent cause firearm abuse uals protect	2	 rather yes. The words can be generally grouped
