,text,topic,true_topic,cos_sim,cos_sim_class
546,size baby quickly daughter thanks night child today formula move start bed pump soon since,['growth'],['enfant care'],0.4741511344909668,M
550,bar cereal butter peanut nut cracker almond granola yogurt oat raisin brownie quaker cashew walnut,[' snacks'],"['breakfast', 'food', 'nut', 'nutrition', 'eatable']",0.6906304240226746,H
551,drinking mild espresso aftertaste brewing latte sip weird enjoy way guest might machine still appeal,['coffee'],"['coffee', 'cofee', 'coffee']",0.8667168815930685,VH
552,review smell bad know i'll since disappointed people read open think reviewer seal thought reading,['disappointment'],['reading review by people'],0.27207452058792114,L
553,cooky cookie mouth raspberry thin brownie fudge xylitol oreo package creme gooey think pan soft,['desserts'],"['sweet', 'desert']",0.4832746684551239,M
554,chew pod pound bone toy caramel larger play puppy two minute pet rawh senseo safe,['playtime'],['pet'],0.5273084044456482,M
561,package fresh item receive rice arrive gift white disappointed fast noodle awesome return customer service,['delivery'],['deliver service'],0.7608176469802856,H
564,oil popcorn spice olive pop christmas worst garlic italian cooking kernel smoke sister regularly coconut,['food'],['cooking'],0.7952097654342651,H
566,thing quite expect probably i'd seem n't either wish stock certainly stir kind though end,['uncertainty'],['afirmations'],0.7227545380592346,H
567,problem away less pay leave never switch crystal heavy mate spray solution stool kong trash,['problem'],['financial'],0.5963624119758606,M
568,oil energy olive skin magnesium blue body salt blood diamond take supplement help heart bowel,['health'],['energy supplement'],0.6608529090881348,H
569,chip healthy tasty excellent fiber healthier lunch crave dip alternative satisfy crunch cheddar vinegar market,['snack'],"['food', 'nutrition', 'good food']",0.7256525158882141,H
570,candy soup gift rice pasta noodle item thanks awesome customer service christmas contact tuna hol,['gift'],"['food', 'candy', 'christmas boxing day gift']",0.5311420361200968,M
571,item several friend deal smooth gift glad black shop machine amaze licorice christmas espresso anymore,['gift'],['christmas gift'],0.670004665851593,H
572,drinking brew bitter smooth machine ground mild maker aftertaste espresso filter pot brewing weak grind,['coffee'],"['coffee', 'brew drink with machine', 'drinking']",0.7515645027160645,H
577,cost bpa general rate consumer particularly drive refill effective woman liter discount per sadly sodastream,['discount'],['cookware'],0.4926319122314453,M
579,quality chicken meat ingredient vegetable purchasing salmon hazelnut pricey base turkey tuna filler steak actually,['food'],"['dinner', 'food']",0.8583538234233856,VH
580,dry due liver freeze chunk walk gravy movie style cube lick frozen trick freezer tub,['chill'],['ice cold'],0.7435163259506226,H
582,calorie protein low fat sodium fiber gram diet carbs carb nutrition high watch intake farm,['nutrition'],['nutrition'],1.0,VH
588,snack chip healthy tasty family they're cheese potato apple alternative lunch salty crave satisfy enjoy,['snack'],['snack'],1.000000238418579,VH
591,sauce cheese bread salad flour chili garlic pancake stir dress baking pork pizza mill waffle,['food'],"['food', 'italian food']",0.7675616145133972,H
597,review see disappointed read reviewer call similar base label write another reading saw comment note,['disappointment'],['comunication'],0.5269286632537842,M
598,big nut plus extra fan etc mixed hit microwave dessert flavour cashew thats walnut car,['nutty'],"['baking', 'kitchen']",0.39280785620212555,M
600,local grocery cost home able deliver run available trip shelf visit door realize carry cheaper,['convenience'],"['delivery', 'purchase delivery']",0.5094620585441589,M
603,green protein powder blue body vitamin soy daily magnesium normal fiber blood source splenda supplement,['healthy'],"['supplement', 'vitamin']",0.516910195350647,M
606,sweet delicious bar milk cereal texture nut almond yummy cinnamon fill oatmeal cocoa granola strawberry,['sweetness'],"['milk', 'food dditives']",0.5163682401180267,M
608,syrup artificial sweetener high chemical sweeten splenda sometimes maple stevia natural agave corn extract fructose,['sweetener'],"['ingredient', 'sweet', 'syrup']",0.7507153352101644,H
610,morning breakfast indiv convenient wrap portion control ual afternoon ually deep worry early since anytime,['healthy'],['time'],0.5000162124633789,M
611,sweet bar milk cereal texture yummy kind cinnamon granola strawberry chewy soft whole crunch blueberry,['indulgence'],['breakfast'],0.4805056154727936,M
615,cooky rice soup pasta season noodle cookie tomato tuna fudge hol wasabi steak bubble broth,['soup'],"['soupe', 'soup', 'cooking']",0.8842977484067281,VH
616,popcorn baby pill he's movie pump kernel puff gerber popper earth's fussy theater hour pocket,['popcorn'],['motherhood'],0.3406340181827545,M
617,sauce spicy noodle heat kick chili restaurant lime pepper wasabi asian hot soy taco ramen,['spicy'],"['food', 'asain food']",0.5408378839492798,M
619,health fact normal lower person particular issue trouble consume possible gummy bear crisp adult system,['health'],['health'],1.0000001192092896,VH
621,snack chip healthy tasty family they're cheese potato apple alternative salty satisfy lunch enjoy crave,['snack'],"['food', 'diet']",0.7781657874584198,H
622,star caffeine child sometimes five hop office gelatin calm help program terrific golden heck carbonate,['caffeine'],['health'],0.5588608980178833,M
624,quality chicken meat vegetable base ingredient purchasing salmon pricey hazelnut etc turkey tuna steak higher,['premium'],"['food', 'shopping']",0.5459693372249603,M
627,snack bar cooky cereal butter fruit peanut nut cookie cracker sweet almond apple crunchy oatmeal,['snacks'],"['breakfast', 'food', 'oatmeal']",0.6785240173339844,H
631,local piece grocery sell deal whole carry market glad online break hop surprised unfortunately flour,['grocery'],['market'],0.7102774381637573,H
632,work package receive surprised sample recipe future description party careful damage pleasantly n't sure think,['surprise'],['surprise party'],0.6743735074996948,H
634,bread flour toast traditional member celiac mustard recipe disease yeast baking needle dough chinese loaf,['baking'],['ingredient'],0.6434136033058167,H
637,buying money cheaper compare bulk dont costco save personally finger hate spend waste cent range,['bulk buying'],"['compare deal', 'money', 'retail', 'trade', 'costco save']",0.621114194393158,H
638,bar crunchy yummy cinnamon granola crunch yogurt blueberry cereal combination addict raisin sweet almond flake,['crunchy'],"['food', 'desert']",0.5189914107322693,M
641,box package shipping receive item purchase arrive pack candy packaging deal company open ship look,['shipping'],"['shipping', 'package']",0.8804020881652832,VH
644,bottle shipping grocery cost subscribe delivery pay carry available per seller hazelnut prime charge free,['grocery'],"['shipping', 'shipping', 'grocery']",0.7224105993906657,H
646,open place container easily soft hold melt together close mess shape stuck somewhat cool chewy,['glue'],['container'],0.7066088914871216,H
647,rice meal content ginger contain dinner sprinkle cooked thai fairly snap they've firm palm stew,['thai cuisine'],"['cooking', 'rice']",0.5468612313270569,M
654,blend morning breakfast packet brew indiv mild wrap stevia ual convenient afternoon liqu ually pour,['convenience'],['morning'],0.555207371711731,M
656,green wonderful bean vanilla black drinking honey ice orange cold iced indiv lemon caffeine refresh,[' refreshment'],"['food', 'drinking', 'drink']",0.6513275504112244,H
661,packaging free big value available con hair difficult damage shipping clear ering prime search bacon,['convenience'],['delivery'],0.5409570932388306,M
664,bar crunchy yummy cinnamon granola crunch sweet yogurt cereal blueberry combination raisin addict flake almond,['snack'],"['yougurt', 'dessert']",0.7694703936576843,H
666,mix cream ice pour strawberry pancake waffle stir muffin pomegranate frozen whip grainy instead lollipop,['dessert'],['food'],0.7563474178314209,H
667,bar almond granola nut oat cluster omega- chia yogurt flaxseed clif flax cereal shiitake mar,['nutrition'],['breakfast'],0.6392391920089722,H
668,rice meal ginger content contain picky sprinkle dinner label eater cooked thai fairly serve snap,['thai rice'],"['food', 'thai food', 'meal', 'rice', 'cooking']",0.6036872446537018,H
674,butter peanut illy mate exact ginger palm compromise newman's flowery toddler moth cooky blackcurrant tin,['food'],['butter'],0.5854796767234802,M
675,company available care awesome search sent licorice send call contact email finally business affordable amazon's,['amazon'],['company business'],0.36222121119499207,M
680,star corn potato reason veggie often salty kettle rating garden addictive carrot rate sesame earth's,['vegetables'],"['kitchen', 'food']",0.7166998088359833,H
681,bought local grocery cost buying cheaper able carry deliver live run plant stop shelf supermarket,['shopping'],"['grocery store', 'buying']",0.812070906162262,VH
685,sauce cheese bread recipe spicy season cake salad egg flour chili tomato baking fry stir,['baking'],['cooking'],0.8271106481552124,VH
686,item deal shop anymore guy supply disappoint donut sampler go lavazza recieved settle cheapest cornbread,['disappointment'],['cafe restaurant'],0.24435386061668396,L
690,always case salty live awesome sour hooked tuna suggest cheddar crispy pantry since tangy heaven,['flavor'],['taste'],0.9172159433364868,VH
692,snack chip healthy tasty family they're cheese potato apple alternative salty enjoy satisfy lunch crave,['snacking'],"['culinary', 'snack', 'healthy snack']",0.7647093137105306,H
693,nice salt hard color cracker kind smaller dish bite broken shape sea hit different vinegar,['snacks'],"['sea food', 'salt']",0.5924279093742371,M
695,nice hard kind never back please mountain overpower describe puff surprise lighter bring compare rarely,['pleasant'],['character'],0.5198101997375488,M
696,calorie low fat protein weight fiber content high sodium gram diet substitute carbs lose lower,['healthy diet'],"['weight', 'nutrition', 'diet']",0.5941651662190756,M
701,green powder vitamin supplement form teaspoon tablespoon nutritional protein outstanding smoothie grass calcium hemp mineral,['superfood'],"['supplement', 'nutritional supplement']",0.5907721221446991,M
703,pretty especially often set mind instant decent total starbucks five roll point oat plenty via,['convenience'],"['starbucks', 'pretty']",0.6220661997795105,H
704,rice meal ginger content contain sprinkle dinner cooked thai snap they've fairly breast palm brown,['thai cuisine'],"['food', 'cooking']",0.5611449182033539,M
707,organic natural real expensive high syrup artificial sweetener pleased flour wheat corn chemical maple preservative,['healthy'],"['food industry', 'organic food']",0.423449844121933,M
711,review see disappointed read value another reviewer similar base call label write reading comment note,['evaluation'],"['book publishing', 'product review']",0.6387632191181183,H
712,cut actually wheat texture miss oat biscuit seriously unlike quaker winner country absolute whole oatmeal,['grain'],"['whateat', 'food']",0.5974622070789337,M
717,purchase happy ship offer website wonder impressed chance directly mother elsewhere enjoys promptly refund express,['shopping'],"['online purchase', 'purchase']",0.6966661214828491,H
720,chew minute three gum mouth special cinnamon four third bubble xylitol swallow adore jump crumble,['spice'],['mouth'],0.755029559135437,H
724,rice meal ginger content contain sprinkle dinner cooked thai snap breast brown they've fairly chicken,['meal'],['food'],0.9369831085205078,VH
726,oil popcorn spice everything pop season olive chai cooking christmas garlic fish movie worst mustard,['spice'],"['cooking', 'movie ’ s']",0.5717657804489136,M
729,cooky butter peanut gluten cookie free we've reasonable walmart wheat allergic sale celiac allergy soy,['allergy-friendly'],['alimentation'],0.4400483965873718,M
735,vanilla light keurig k-cups french k-cup aroma medium chai mountain starbucks smooth brewer matcha hint,['coffee'],['drink'],0.6800295114517212,H
736,free gluten salmon wet bpa turkey balance higher sol fussy cancer allergy tomato ocean diet,['healthy eating'],['gluten allergy'],0.2420138120651245,L
737,pretty star fruit juice cut orange mind soda exactly instant substitute raspberry five decent sour,['fruit'],['fruit'],1.0,VH
740,mix cream ice strawberry pour pancake waffle pomegranate recipe muffin frozen margarita lollipop baking fluffy,['dessert'],"['food', 'dessert', 'kitchen', 'make dessert', 'food', 'sweet']",0.7814394136269888,H
741,purchase happy item company ship see bulk exactly sent condition offer packed website impressed chance,['bulk purchasing'],"['website', 'purchase']",0.5511710047721863,M
743,sauce spicy noodle heat kick chili restaurant pepper lime wasabi asian hot soy taco indian,['spicy'],"['restaurant', 'food']",0.5141727775335312,M
745,ingredient honey list label contain special prov contains process raw test splenda berry site china,['ingredient'],['cooking'],0.7057843804359436,H
747,drinking brew bitter machine ground mild maker aftertaste espresso filter brewing weak grind pot cappuccino,['coffee'],['coffee'],1.0,VH
749,salt bean dish sea cooking pork kitchen gourmet rind table grinder basic amount cook process,['cuisine'],"['cooking', 'recipe']",0.8096526861190796,VH
752,dog treat chew toy bone teeth ball puppy training liver piece bread pet play vet,['pet care'],"['pet', 'dog', 'pet supplement']",0.7990854978561401,H
753,sauce spicy noodle heat kick chili restaurant lime pepper hot wasabi asian bbq ramen salsa,['spicy'],"['asian food', 'cooking', 'asían food', 'sauce']",0.6060830950737,H
754,oil energy gum bone hair toy olive skin magnesium diamond body boost blue supplement truffle,['health'],['body'],0.6310311555862427,H
756,arrive second gum hope date online however original past finish last today stale broken shipment,['delivery'],['second'],0.7534956932067871,H
757,flour egg grain large boy mill disease poor celiac kibble recipe choke allergy formula risk,['food'],"['recipe', 'bread']",0.6964157223701477,H
758,rice soup pasta noodle service customer tuna vendor country hol wasabi usa pea bubble birthday,['food'],"['restaurant', 'shop']",0.7021860480308533,H
759,perfect fresh honey packaging cracker plastic condition lover fit convenience packed sit package described mini,['convenience'],['bake good'],0.663314938545227,H
763,hair thick clear heard wash head scent shampoo conditioner oily scalp apply shiny manufacturer shower,['grooming'],"['shampoo and conditioner instruction', 'hair', 'hair product']",0.7017608086268107,H
764,rice meal bowl ginger content picky label dinner sprinkle brown eater fairly cooked contain thai,['thai rice bowl'],"['thai food', 'bowl']",0.6428664028644562,H
767,green protein powder vitamin meal mixed soy pouch shake contains fiber splenda nutrition matcha form,['healthy drink'],['food'],0.5003481507301331,M
769,rice meal ginger content picky contain dinner label sprinkle eater bowl fairly cooked thai brown,['thai rice'],"['rice meal', 'rice']",0.7887424826622009,H
770,snack chip healthy tasty family they're cheese potato apple alternative meal quick salty satisfy gram,['snacking'],"['speed meal', 'healthy']",0.48241522908210754,M
778,purchase happy company see ship website impressed call chance directly email send contact mother gold,['purchase'],['company'],0.8081338405609131,VH
783,sweet right candy quick amount enjoy refresh sweetness cold mango summer think plain ant chunk,['refreshment'],"['candy', 'food']",0.5376016795635223,M
792,per red spicy pepper heat option ounce brownie kick alone single mill alternative popchips jalapeno,['spicy'],['cooking'],0.5606808066368103,M
795,chew pod mouth bone pound toy puppy last play around minute two size creamer rawh,['plaything'],['dog toy'],0.5046428442001343,M
799,brew bitter bold starbucks decaf instant drinker weak via smooth mocha peppermint yet strong ground,['coffee'],['starbucks'],0.8427362442016602,VH
800,wish recipe cake n't bake melt baking stuck toast moist cover direction freezer pan barely,['baking'],['baking'],1.000000238418579,VH
802,sauce spicy noodle kick heat lime restaurant hot pepper chili asian ramen jasmine wasabi bbq,['spicy'],['food and restaurant'],0.4372882843017578,M
808,snack healthy tasty excellent fiber lunch healthier satisfy enjoy something crave dip yum without terrific,['healthy snack'],"['healthy food', 'food', 'snack', 'snack']",0.7669286727905273,H
810,calorie protein low fat weight sodium fiber gram high content diet carbs lose substitute carb,['diet'],"['nutrition', 'diet']",0.9254242777824402,VH
813,definitely regular red serve less cheaper alternative option buying ounce alone however lack twice light,['alternative'],['buy'],0.6912137866020203,H
818,rice meal ginger content contain picky sprinkle dinner label eater cooked fairly thai snap serve,['thai rice'],"['food', 'meal']",0.47950221598148346,M
822,chip blend roast com www http href keurig k-cups brew bold pod french starbucks k-cup,['coffee'],['coffee'],1.0,VH
827,hot milk cold stomach diet substitute shake warm sensitive soy nasty dissolve upset pain dairy,['digestion'],"['milk', 'cold']",0.5614508092403412,M
832,enjoy strong morning brew blend bitter smooth packet machine starbucks perfect aftertaste prefer iced cold,['coffee'],['coffee starbucks'],0.8482440710067749,VH
833,absolutely grain there's process terrible experience satisfied replace sticky wild anyway disgust lol freshness average,['disgust'],['comment'],0.5822148323059082,M
834,cat meat ingredient corn dog vitamin calcium feed cat's human ground expensive finicky bone beef,['cat food'],"['cat meat', 'meat']",0.5824220031499863,M
835,bitter almond blue cocoa iced magnesium wait grey diamond earl beat rda bowel nutrient blood,['healthy'],['nutrition'],0.5900941491127014,M
836,item deal shop anymore supply donut sampler many lavazza buck recieved disappoint cornbread dunkin kill,['disappointment'],['donut shop'],0.24142566323280334,L
837,ingredient natural list special contains raw prov label berry china preservative contain site usa book,['natural'],['natural'],1.000000238418579,VH
838,piece beef jerky bowl turn break picky pill training dont two gravy eater bite cut,['snack'],['training'],0.47023409605026245,M
850,end hair felt clear heard opening thick wash scent job shampoo major conditioner trust oily,['hair care'],"['hair treatment', 'salon']",0.8138598203659058,VH
853,chip potato vinegar kettle garden bbq popchips greasy corn addictive tortilla somehow trap blue starch,['snacks'],"['food', 'chip']",0.66371750831604,H
854,ingredient corn chicken gluten feed meat pet grain vet wheat allergy wellness liver animal salmon,['nutrition'],['rear animal'],0.508280873298645,M
858,year old save soup awesome subscribe ago carry area chili discover tomato stock bpa since,['sustainability'],['save'],0.706432580947876,H
860,bread recipe flour baking simple traditional toast sandwich mustard member celiac pizza disease rise yeast,['baking'],"['pizza', 'food', 'cooking pizza']",0.6126069823900858,H
861,bar cereal nut almond granola snack sweet cinnamon blueberry banana raisin oat crunchy cake cashew,['snack'],"['fruit cake', 'food', 'bar cereal']",0.6569437781969706,H
866,always several powder usually chai gold replacement scoop meal living tablespoon since nature authentic orgain,['spices'],"['chai', 'powder']",0.633022278547287,H
867,bread flour cereal pancake baking pizza gluten-free mill crust cake wheat gluten dough pretzel bob's,['bakery'],"['cake', 'baking']",0.7480708956718445,H
870,dry liver due freeze chunk walk gravy movie lick style cube frozen tub reward beg,['cold'],['liver'],0.3820444345474243,M
880,rice absolutely grain there's process soon terrible satisfied experience replace wild sticky disgust lol freshness,['food'],['grain'],0.5595817565917969,M
881,delicious small anyone smaller locally six comment tire handy broke trader definately inch joe's interested,['food'],['sale'],0.5657655596733093,M
882,enjoy strong morning brew bitter blend packet perfect aftertaste starbucks regular cold iced mild indiv,['coffee'],['coffee'],1.0,VH
884,sauce rice meal cook soy dish thick dinner cooked brown simple sprinkle consistency restaurant slice,['sauce'],"['dinner', 'sauce', 'cooking process']",0.6876107354958853,H
885,bread flour traditional toast baking recipe mustard member celiac disease yeast needle rise dough chinese,[' baking'],"['baking', 'cooking']",0.9135553240776062,VH
890,sweet bar crunchy granola crunch yogurt combination raisin flake almond cranberry nutritious overly tooth sugary,['healthy snack'],"['food', 'snack']",0.6892995238304138,H
891,ingredient organic natural corn free gluten chicken syrup feed pet list meat wheat grain diet,['natural'],"['pet food', 'organic', 'healthy food']",0.5983766118685404,M
893,stuff coconut cream ice health cannot tell benefit told wow everyday jelly must admit pomegranate,['healthy'],['sugar free ice cream'],0.5546827912330627,M
900,dry feel worth pasta brown stomach money extremely pill waste coat liver dont freeze wet,['health'],"['cooking', 'food']",0.5130481719970703,M
901,buying money cheaper compare bulk dont hate costco personally finger cent spend retail range pull,['bulk buying'],['buying'],0.7731249928474426,H
902,grocery cost able home deliver run trip shelf visit plant door ask realize live gallon,['convenience'],['deliver'],0.6509734988212585,H
903,perfect easy shipping con fast quick delivery seller ering pro reach reasonably bonus tad pick-me-up,['fast'],"['courier', 'shipping', 'delivery']",0.6029995083808899,H
904,pasta turn brown cook coat crave mean dollar nicely folk worse awhile kitty throat tongue,['food'],"['cooking', 'pasta']",0.7336596250534058,H
905,feed corn gluten pet vet ingredient wellness liver chicken meat filler science diet kibble fructose,['nutrition'],"['science', 'gluten']",0.5373198240995407,M
906,every month week two family friend gift ago life already lose grow plant none weight,['change'],['sport diet'],0.3980078101158142,M
912,oil salt chew energy help gum bone hair body toy olive skin blue magnesium night,['health'],['nutrition growth energy'],0.6199634075164795,H
916,enjoy right bean candy amount quick cold refresh sweetness mango summer warm quantity hint beverage,['summer'],['refresh'],0.5783891677856445,M
918,brew bitter bold starbucks decaf instant drinker weak via smooth mocha strong peppermint magic yet,['coffee'],"['coffee', 'mocha']",0.7872240841388702,H
919,bottle excellent available plastic everyone pleased delivery glass lemon offer mint sample travel clear lime,['convenience'],['bottle'],0.6171716451644897,H
921,calorie protein low fat sodium gram high carbs diet carb nutrition watch farm amount reduce,['diet'],"['nutrient', 'diet']",0.8425675928592682,VH
923,ingredient chicken meat include label vegetable purchasing salmon pricey hazelnut fish filler gravy turkey premium,['food'],"['culinary', 'shop', 'cooking']",0.7422224879264832,H
924,dog treat training liver greenies ball dog's pup puppy beneful teeth owner reward beagle pet,['dog training'],['animal'],0.5227417945861816,M
927,calorie low fat protein sodium gram serve high carbs diet carb weight nutrition per watch,['diet'],"['diet', 'diet', 'nutrition', 'nutrition', 'health and nutrition']",0.8850231885910034,VH
928,mix sauce cheese recipe bread spicy pepper cook season cake meal chicken salad bake egg,['recipe'],"['burger', 'recipe', 'cock']",0.6744591196378072,H
929,big nut plus extra fan etc mixed hit dessert flavour car cashew thats walnut soooo,['nutty dessert'],['flavour'],0.6212462782859802,H
931,chip star potato reason salty corn veggie thin rating kettle rate garden addictive greasy sesame,['snacks'],"['food', 'snack']",0.86648890376091,VH
932,item candy soup gift rice pasta noodle awesome customer thanks sent christmas service stock contact,['gift'],"['shopping', 'christmas gift', 'cooking']",0.6159326036771139,H
936,quality meat vegetable hazelnut base purchasing turkey tuna hooked pricey steak we're burnt thick grill,[' grill'],"['quality of food be purchase and cooked', 'food', 'cooking']",0.6753687858581543,H
937,able amaze fill stop glad daily fantastic move plenty prime empty job subtle strongly litter,['amazement'],['feeling'],0.7945316433906555,H
940,bread flour toast traditional member mustard celiac recipe baking disease yeast needle dough chinese loaf,['bread'],"['baking', 'ingredient']",0.6871917545795441,H
946,chicken meat vegetable purchasing test hazelnut filler we're steak vegetarian by-product exception ingredient grill supplier,['food'],"['shop', 'steak']",0.5863698124885559,M
947,protein fat coconut fiber sodium gram calorie carbs splenda msg bpa ant grape antiox g<br,['healthy'],"['ingredient', 'ingrudents']",0.3951474130153656,M
949,chicken meat vegetable purchasing hazelnut filler test ingredient we're steak vegetarian by-product duck grill gloria,['food'],['ingredient'],0.630787193775177,H
961,container teeth vet clean pet result research cheap issue basically breath greenies major manufacturer junk,['dental'],['teeth'],0.8059486150741577,VH
963,green powder amaze vitamin grow aroma matcha form teaspoon supplement tablespoon leaf extract protein milk,['matcha'],"['matcha', 'vitamin']",0.7559748888015747,H
968,oil popcorn olive pop movie wasabi kernel sardine popped popper coconut truffle formula theater virgin,['popcorn'],"['food', 'movie night']",0.47166702151298523,M
973,right bean candy quick refresh grind mango beverage sweetness ant pineapple cold antiox unique grinder,['sweetness'],"['refresh beverage', 'drink']",0.63840252161026,H
974,strong prefer people bold orange ginger medium weak cherry shake twice stronger subtle bitterness still,['spice'],"['people', 'taste']",0.7140985429286957,H
975,oil popcorn spice pop olive christmas worst italian garlic microwave regularly kernel smoke sister cooking,['cooking'],['cooking'],1.0000001192092896,VH
976,absolutely fast white super service customer return terrible satisfied horrible replace sticky process package disgust,['customer service'],"['online shopping', 'express expedition', 'review']",0.5426426728566488,M
977,cheese bake could homemade fry slice spoon onion spread style cardboard sandwich oven contact put,['baking'],"['food', 'cooking']",0.7182536125183105,H
979,vanilla keurig k-cups light french k-cup aroma medium chai matcha brewer starbucks hint blend mountain,['coffee'],"['coffee', 'drink tea', 'cappuccino']",0.7390192747116089,H
980,need keep hand clean teeth around seem longer high basically issue breath vet greenies help,['oral hygiene'],['cleaning product'],0.7434419393539429,H
983,oil help salt energy coconut take feel hair olive body work magnesium hour skin health,['wellness'],"['oil', 'health']",0.6983562409877777,H
985,local grocery cost able deliver buying shelf trip stop realize door visit way ask half,['grocery'],"['grocery', 'shopping']",0.8787988722324371,VH
986,different bottle excellent available plastic everyone glass lemon sample refresh mint travel value clear hazelnut,['travel'],['drink'],0.7519237995147705,H
988,bottle shipping grocery cost carry available pay subscribe delivery local pleased per free cheaper seller,['grocery'],"['delivery', 'shopping online']",0.5697466135025024,M
989,chip healthy snack tasty excellent lunch crave healthier fiber salty dip satisfy alternative crunch cheddar,[' snack'],"['snack', 'food', 'snack']",0.9315479397773743,VH
990,always case salty awesome live sour hooked tuna cheddar crispy pantry since tangy new suggest,['salty'],"['tuna', 'food']",0.5910487174987793,M
991,snack healthy tasty excellent lunch healthier satisfy crave fiber something enjoy dip yum terrific world,['satisfy'],"['snack', 'junk food', 'lunch']",0.43675098816553753,M
993,local piece grocery sell deal carry market glad online break hop surprised unfortunately whole flour,['grocery'],"['shopping local grocery online', 'commerce', 'shopping']",0.65977942943573,H
996,feel hour energy effect work shot pizza boost felt lack crust favor faster ent stay,['energize'],['energy drink'],0.6960902214050293,H
997,chip star potato corn vinegar kettle yellow blue addictive garden trap tortilla reason think whole,['snacks'],['chip'],0.5432937145233154,M
999,feed corn gluten pet vet ingredient wellness liver animal chicken meat filler science diet kibble,['nutrition'],"['diet', 'nutrition']",0.9254242479801178,VH
1001,package item receive fresh rice soup absolutely disappointed white fast anyone wrong noodle awesome return,['disappointment'],['food'],0.38866162300109863,M
1003,bottle glass lemon plastic prov mint peach sparkle mio tip squirt tap grab iced electrolyte,['drink'],['beverage'],0.8877449631690979,VH
1007,item deal shop anymore supply donut disappoint buck guy sampler lavazza go recieved kill cornbread,['disappointment'],['shopping'],0.3720574378967285,M
1011,baby jerky broken ready veggie pump increase fall tender barely carrot freezer previously gerber earth's,['snacks'],['mother and child'],0.344110369682312,M
1012,oil popcorn spice everything pop olive season chai cooking christmas garlic fish worst italian movie,['spice'],"['food', 'cooking']",0.5971592664718628,M
1022,bar sweet crunchy granola yogurt crunch cereal snack raisin flake combination almond texture cranberry nutritious,['snack'],"['snack', 'snack']",1.0000001192092896,VH
1024,mix ice cream strawberry pour pancake waffle pomegranate recipe muffin baking margarita milk fluffy lollipop,['desserts'],"['sweeten', 'sweetener', 'dessert']",0.7888675729433695,H
1036,drinking brew bitter machine ground mild maker aftertaste espresso pot filter brewing weak grind smooth,['coffee'],['smoothie'],0.6398345232009888,H
1037,say way without though fine think yes still ton warn doubt felt people meant either,['uncertainty'],['conversation'],0.5622533559799194,M
1038,free gluten balance salmon wet turkey diet since fussy kitten ocean limit grain-free smelly important,['diet'],['diet'],1.0000001192092896,VH
1045,ingredient natural corn free gluten chicken syrup feed pet meat wheat grain vet diet allergy,['natural'],"['animal food', 'pet food']",0.4118288904428482,M
1047,oil spice olive cooking christmas garlic worst smoke italian sister recipe virgin canola extra regularly,['cooking'],"['italian dinner', 'virgin canola']",0.4043959081172943,M
1049,green protein powder vitamin body soy normal fiber source mixed contains shake daily con meal,['healthy'],"['health benefit', 'protein powder', 'nutrition']",0.5540749529997507,M
1053,sauce rice meal cook soy dish thick brown dinner cooked simple sprinkle cooking restaurant kitchen,['cooking'],"['food', 'cooking']",0.8976047933101654,VH
1054,old buying easy save soup carry subscribe awesome chili tomato son cheaper area daughter prepare,['convenience'],"['soup', 'cooking']",0.4842815697193146,M
1055,fruit top plus nut fan cake mixed hit banana dessert microwave big flavour car etc,['flavor'],['food'],0.699975848197937,H
1063,work hour energy husband minute feel effect boost pizza shot ent caffeine actually crust sleep,['energy'],['food'],0.5505493879318237,M
1065,rice add soup gum cook pasta brown chicken stuff noodle wish review dish beef recipe,['food'],"['food', 'cooking', 'cooking a meal']",0.8402703603108724,VH
1067,regular serve light red ounce single option alone typically enjoyable combine popchips however least tend,['snack'],['single'],0.5117369890213013,M
1072,work hour minute actually energy husband cheese amaze everyone shot effect boost pizza felt drinking,['amazement'],['boost energy'],0.6084984540939331,H
1077,local grocery home deliver half ask realize trip shelf door brought picked reorder shopping across,['grocery'],"['buy', 'order']",0.5851412415504456,M
1079,sweet bar perfect milk fruit texture granola yummy crunchy cinnamon blueberry strawberry yogurt flake soft,['sweetness'],"['fruit cake', 'food', 'for breakfast', 'breakfast bowl']",0.4663643464446068,M
1084,green powder vitamin supplement form teaspoon tablespoon nutritional protein smoothie outstanding grass calcium hemp mineral,['superfood'],"['vitamin', 'suplements']",0.6271005868911743,H
1087,something put sure thought anything nothing end else stick let know everything turn there's course,['thought'],['thought'],1.0000001192092896,VH
1088,bitter brew bold starbucks instant decaf strong via weak smooth mocha drinker peppermint magic yet,['coffee'],"['starbucks', 'coffeelate']",0.8893289268016815,VH
1095,salt bean dish cooking sea kitchen gourmet table pork basic additional grinder rind learn palate,['cuisine'],"['dish', 'food', 'food']",0.8219356934229533,VH
1097,fruit top plus nut fan cake mixed hit huge banana dessert etc microwave car flavour,['dessert'],"['food', 'dessert', 'cake']",0.85183717807134,VH
1100,juice wrong waste throw soda show strawberry money guess drop could immediately bottle concentrate squeeze,['juice'],"['soda', 'juice']",0.8682196140289307,VH
1106,every two month week family friend gift ago life already lose grow plant none ready,['change'],['growth'],0.6835878491401672,H
1109,money value bulk difficult okay quantity msg bacon number unique what's jasmine spent glutamate monosodium,['value'],['msg'],0.6618665456771851,H
1111,thing kind though quite seem expect i'd way wish bread probably recipe rather melt bake,['baking'],['study class'],0.3549990653991699,M
