,task,true,model,model_extracted,true_num,classification_metric
1121,pres paul homic study kill drug firearm sabbath city laws risk handgun rule death rates,good, YES</s>,2,2,1
1122,command dealer saturn newsreader loss ford deal price sales cycle small arizona deep ering customer,bad, NO</s>,-2,-2,0
1123,oil ever popcorn spice jar pop season cooking olive salad top christmas cook sprinkle garlic,good, YES</s>,2,2,1
1124,ingredient organic quality natural real corn meat syrup list label grain artificial ginger pet wheat,good, YES</s>,2,2,1
1125,thor vice jake george informatik fail libertarian steve employer bony hamburg replace steveh hendricks carter,bad, YES</s>,2,-2,1
1126,science objective frank values morality truth scientific value result wrong word basis body scientist explain,good, YES</s>,2,2,1
1127,drug libertarian curve choice result reading dollar fantasy hold free rational mark centaur spend create,bad, YES</s>,2,-2,1
1128,back wonderful new highly drinking home change amaze next issue thank left set excite share,bad, YES</s>,2,-2,1
1129,purchase item happy receive arrive company around ship see place date throw exactly call sent,good, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESpurchase item happy receive arrive company around ship see place date throw exactly call sent - NO</s>,2,2,1
1130,cheese bake could homemade fry slice spoon onion spread style cardboard sandwich oven contact put,good, NO</s>,-2,2,0
1131,bike speed mile turn front tire road motorcycle wheel driving rear brake fast honda left,good, YES</s>,2,2,1
1132,chicken meat vegetable purchasing test hazelnut we're vegetarian steak exception breast real grill gloria rub,good," bike, firearm, knife, criminal, carry, death, weapon, scsi, murder, smith, handgun, moral, child, defense, tape - YESappreciate, advance, anybody, info, thank, experience, hello, greatly, suggestion, wonder, edge, able, email, recently, thanx - NObible, christ, matthew, heaven, scripture, lord, father, word, passage, teach, mary, spirit, doctrine, verse, faith - YESchicken, meat, vegetable, purchasing, test, hazelnut, we're, vegetarian, steak, exception, breast, real, grill, gloria, rub - NO</s>",2,2,1
1133,bar crunchy yummy sweet cinnamon granola crunch yogurt cereal raisin combination flake almond blueberry addict,good, YES</s>,2,2,1
1134,especially starbucks mind oat total instant roll via flower mocha gummy illy bear description plenty,bad, YES</s>,2,-2,1
1135,turkish turkey turk armenia greek nazi soviet german azeri genoc trade pass azerbaijan escape history,good, NO</s>,-2,2,0
1136,science scientific theory dseg experiment result lady scientist hypothesis rational russell organization pyron process research,good, YES</s>,2,2,1
1137,pres money clinton bill koresh business today house administration talk country press working stratus rule,bad, YES</s>,2,-2,1
1138,apple mouse robert fast processor speed move slow clock week pretty microsoft music chicago jason,bad, NO</s>,-2,-2,0
1139,nice hard kind back never please mountain overpower bring surprise describe puff lighter compare pa,bad, NO</s>,-2,-2,0
1140,ence food study natural language effects animal cause rochester humans disease effect brain nothing theory,bad, YES</s>,2,-2,1
1141,pres administration official congress secretary russian press russia working house continue package summer senator talk,good, YES</s>,2,2,1
1142,packaging big value con available hair free difficult damage clear ering prime bacon seem search,bad, YES</s>,2,-2,1
1143,ever cereal sell unfortunately pancake vendor truly stale never appreciate think threw understand fell muffin,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESever cereal sell unfortunately pancake vendor truly stale never appreciate think threw understand fell muffin - NO</s>,2,-2,1
1144,firearm bill weapon crime vote handgun public laws defense criminal news member washington federal kent,good, YES</s>,2,2,1
1145,calorie protein low amount fat sodium weight gram carbs meal fiber carb msg daily diabetic,good, YES</s>,2,2,1
1146,medium tank ticket buffalo liberal limbaugh fire dean white electric irvine hitler black shit stove,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESmedium tank ticket buffalo liberal limbaugh fire dean white electric irvine hitler black shit stove - NO</s>,2,-2,1
1147,review see disappointed read reviewer call similar base label write another reading saw comment note,good, YES</s>,2,2,1
1148,paul homic crime laws worship rate sabbath study risk handgun rates death vancouver seattle black,bad, NO</s>,-2,-2,0
1149,entry launch rule build european commercial satellite remark market contest output size canadian contract section,bad, NO</s>,-2,-2,0
1150,israel israeli kill arab palestinian innocent human country civilian trial peace murder killing lebanon lebanese,good," bike, firearm, knife, criminal, carry, death, weapon, scsi, murder, smith, handgun, moral, child, defense, tape - YESappreciate, advance, anybody, info, thank, experience, hello, greatly, suggestion, wonder, edge, able, email, recently, thanx - NObible, christ, matthew, heaven, scripture, lord, father, word, passage, teach, mary, spirit, doctrine, verse, faith - YESisrael, israeli, kill, arab, palestinian, innocent, human, country, civilian, trial, peace, murder, killing, lebanon, lebanese - YES</s>",2,2,1
1151,blend morning breakfast packet indiv mild wrap stevia ual liqu pour afternoon convenient ually brew,good, NO</s>,-2,2,0
1152,appreciate info keyboard advance anybody greatly motherboard access error upgrade experience test thank setup graphics,bad, YES</s>,2,-2,1
1153,engine modem rocket model phone level cable flight angmar wave foot short cosmo head stage,bad, YES</s>,2,-2,1
1154,enjoy strong blend morning brew bitter smooth light packet ice machine prefer leaf starbucks aftertaste,bad, YES</s>,2,-2,1
1155,old easy save soup carry version awesome subscribe area discover chili tomato portion vegan buck,bad, YES</s>,2,-2,1
1156,dry feel worth pasta brown stomach money extremely pill waste liver coat dont freeze wet,bad, NO</s>,-2,-2,0
1157,size baby quickly daughter thanks night work start month since formula pump child move lab,bad, YES</s>,2,-2,1
1158,access appear digex henry toronto informatik phone hamburg mass intercon amanda spencer hole bontchev walker,bad, NO</s>,-2,-2,0
1159,israel israeli jewish arab policy peace research center citizen palestinian gaza east authorities jerusalem movement,good, YES</s>,2,2,1
1160,package item receive fresh rice soup absolutely disappointed white fast anyone wrong noodle awesome return,good, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESpackage item receive fresh rice soup absolutely disappointed white fast anyone wrong noodle awesome return - NO</s>,2,2,1
1161,guess wave roger wrong tape ryan story previous indiana cleveland ottawa coming freenet udel ever,bad," bike, firearm, knife, criminal, carry, death, weapon, scsi, murder, smith, handgun, moral, child, defense, tape - YESappreciate, advance, anybody, info, thank, experience, hello, greatly, suggestion, wonder, edge, able, email, recently, thanx - NObible, christ, matthew, heaven, scripture, lord, father, word, passage, teach, mary, spirit, doctrine, verse, faith - YESguess, wave, roger, wrong, tape, ryan, story, previous, indiana, cleveland, ottawa, coming, freenet, udel, ever - NO</s>",2,-2,1
1162,command dealer deal price saturn newsreader ford loss sales small cycle arizona deep ering customer,bad, YES</s>,2,-2,1
1163,bought still enough arrive amaze jar pretty fine everyone could think another tin tree otherwise,bad, YES</s>,2,-2,1
1164,science holland probe study earth orbit mission cult clinton lunar methodology scientific star pres tempest,good, YES</s>,2,2,1
1165,calorie low fat protein coconut serve juice diet fiber per sodium weight gram vitamin carbs,good, NO</s>,-2,2,0
1166,dry liver training freeze walk gravy cube due tub reward beg movie group she'll powdery,bad, NO</s>,-2,-2,0
1167,anonymous private public news crime server conference internet privacy carry bill paul congress pretty abuse,good, YES</s>,2,2,1
1168,bible religion turkish church belief truth argument faith christ ence muslim greek human word atheist,good, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESbible religion turkish church belief truth argument faith christ ence muslim greek human word atheist - YES</s>,2,2,1
1169,research center washington april national report institute health medical department among virginia page child study,good, YES</s>,2,2,1
1170,favorite blend black bitter perfect k-cups enough wife drinking keurig k-cup aftertaste decaf choice caffeine,bad, NO</s>,-2,-2,0
1171,keep container easily hold melt shape mess stuck together room worry busy separate expectation fence,bad, YES</s>,2,-2,1
1172,weapon firearm auto semi safety police revolver self house handgun child action live citizen bill,good, YES</s>,2,2,1
1173,woman face home city wife child left kill building helmet dead mother apartment live father,bad, NO</s>,-2,-2,0
1174,delicious small dry hard smaller surprised liver freeze locally larger six large tire pleasantly cube,bad, YES</s>,2,-2,1
1175,cat wellness feed pet science ingredient meat kitten vet kitty by-product purina kibble filler cat's,good, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YEScat wellness feed pet science ingredient meat kitten vet kitty by-product purina kibble filler cat's - YES</s>,2,2,1
1176,scsi controller fast interface transfer bios speed jumper card feature devices mode standard disk pope,good, YES</s>,2,2,1
1177,picture pain gain stone blah multiple beach dark thread precision safe sleeve path integer alex,bad, NO</s>,-2,-2,0
1178,keyboard player roger forward nick maynard scroll gainey richard always finger greg typing hand business,bad, YES</s>,2,-2,1
1179,roast dark full bit away long rich half flavorful miss person noodle extremely lover ground,bad, YES</s>,2,-2,1
1180,sauce spicy noodle heat kick chili restaurant lime pepper hot wasabi asian bbq ramen salsa,good, NO</s>,-2,2,0
1181,price apple sell offer monitor sale shipping asking condition model keyboard selling pitt manual original,good, YES</s>,2,2,1
1182,offer monitor sale copy excellent condition machine sell xterm option price running distribution cover title,good, YES</s>,2,2,1
1183,wonderful home next issue thank left short word thrill empty brought post eye fabulous goodness,bad, YES</s>,2,-2,1
1184,price bike sell phone offer company email sale cheap looking cost send shipping money market,good, YES</s>,2,2,1
1185,religion atheist argument religious atheism ence belief existence faith universe statement christianity islam risc theist,good, YES</s>,2,2,1
1186,food study ence language natural animal humans effects revelation rochester understand gatech double theory nothing,bad, YES</s>,2,-2,1
1187,without help morning son oatmeal result warm daily skin fall gas mom truffle early fix,bad, NO</s>,-2,-2,0
1188,science theory scientific scientist experiment knowledge dseg study result psychology methodology discover hypothesis lady process,good, YES</s>,2,2,1
1189,disk scsi speed card fast controller port chip driver board modem floppy machine sound cable,good, NO</s>,-2,2,0
1190,window display screen color manager event create application server pixel draw visual colors size mask,good, YES</s>,2,2,1
1191,trade berkeley married care division rick seattle become custom forsale stop rwing uucp scores email,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YEStrade berkeley married care division rick seattle become custom forsale stop rwing uucp scores email - NO</s>,2,-2,1
1192,per red spicy pepper heat option ounce brownie kick alone single mill alternative popchips jalapeno,bad, NO</s>,-2,-2,0
1193,market pasta difference stomach noodle brown hold mean sour cook soda coat upset nicely folk,bad, YES</s>,2,-2,1
1194,directory unix email comp package export user workstation graphics library distribution info hardware keyboard cview,bad, YES</s>,2,-2,1
1195,price phone sell bike email technology offer company cost internet sale radio send design distribution,good, YES</s>,2,2,1
1196,code function muslim text subject null islam error output application research reference open date unix,bad, YES</s>,2,-2,1
1197,oil ever popcorn spice jar pop season cooking olive salad christmas top everything sprinkle garlic,bad, YES</s>,2,-2,1
1198,bought free cooky shipping butter peanut gluten cookie original sale melt mom reasonable prime party,good, YES</s>,2,2,1
1199,cramer clayton free station uunet tool optilink image price service email mine option consent contact,bad, YES</s>,2,-2,1
1200,woman building helmet apartment left fire city child azerbaijani water home face charge live later,bad, YES</s>,2,-2,1
1201,free cooky butter peanut gluten cookie we've sale reasonable walmart newman's allergy jam blow pamela's,bad, NO</s>,-2,-2,0
1202,item several friend black bitter deal smooth gift glad machine pot shop sample espresso set,bad, YES</s>,2,-2,1
1203,thing work seem n't quite expect bit probably i'd recipe bread wish could way either,bad, YES</s>,2,-2,1
1204,launch project next cost commercial week baseball aerospace build column money smoke venture market pretty,bad, YES</s>,2,-2,1
1205,mix pay easily ball except convenience crystal scoop waffle lab fancy measure min unpleasant litter,bad, NO</s>,-2,-2,0
1206,bible church christ truth faith lord catholic scripture father belief christianity heaven hell holy interpretation,good, YES</s>,2,2,1
1207,insurance texas magazine austin coverage motorola indiana miller rent fault total company owner temple flor,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESinsurance texas magazine austin coverage motorola indiana miller rent fault total company owner temple flor - NO</s>,2,-2,1
1208,case market salty live suggest sour hooked crispy cheddar tangy heaven regret smallest mayo bland,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YEScase market salty live suggest sour hooked crispy cheddar tangy heaven regret smallest mayo bland - NO</s>,2,-2,1
1209,case salty live sour suggest hooked crispy cheddar tangy less heaven since smallest regret mayo,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YEScase salty live sour suggest hooked crispy cheddar tangy less heaven since smallest regret mayo - NO</s>,2,-2,1
1210,jerky dog owner fence report fda yard associate apply chicken consumer mold consumption animal complaint,good, YES</s>,2,2,1
1211,bit roast dark full away long rich half flavorful miss person extremely lover ground noodle,bad, YES</s>,2,-2,1
1212,hell alaska fool eternal jack motto crazy forever acad liar gene heaven watch adams nsmca,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YEShell alaska fool eternal jack motto crazy forever acad liar gene heaven watch adams nsmca - NO</s>,2,-2,1
1213,israel land adam lebanese peace attack pitching lebanon brave catcher arab lopez agree staff average,bad," bike, firearm, knife, criminal, carry, death, weapon, scsi, murder, smith, handgun, moral, child, defense, tape - YESappreciate, advance, anybody, info, thank, experience, hello, greatly, suggestion, wonder, edge, able, email, recently, thanx - NObible, christ, matthew, heaven, scripture, lord, father, word, passage, teach, mary, spirit, doctrine, verse, faith - YESisrael, land, adam, lebanese, peace, attack, pitching, lebanon, brave, catcher, arab, lopez, agree, staff, average - NO</s>",2,-2,1
1214,right calorie bean low amount fat candy high light content sodium weight lower carbs mango,good, NO</s>,-2,2,0
1215,ground water food wire engine disease cause light test current patient science study hole henry,bad, YES</s>,2,-2,1
1216,church bible christ faith catholic matthew lord scripture father word spirit holy teach interpretation passage,good, YES</s>,2,2,1
1217,ingredient natural corn free gluten chicken syrup feed organic pet wheat meat grain vet diet,good, YES</s>,2,2,1
1218,station cramer uunet mine clayton option optilink consent service phone relations homosexual oracle pyram mutual,bad, NO</s>,-2,-2,0
1219,uiuc cwru frank love uucp homosexual chris james thought white hell disclaimer andrew guess cleveland,bad, NO</s>,-2,-2,0
1220,sauce cheese bread salad flour chili garlic pancake stir dress baking pork pizza mill waffle,bad, NO</s>,-2,-2,0
1221,mouse doctor hamburg sean symptom informatik sinus quicktime bontchev movie virus test keyboard typing vesselin,bad, NO</s>,-2,-2,0
1222,market pasta difference stomach brown mean hold sour cook soda coat upset folk nicely finger,bad, YES</s>,2,-2,1
1223,objective science values frank morality truth dwyer value subjective word body wrong uucp wonder command,bad, YES</s>,2,-2,1
1224,arrive second gum hope date online however original past finish last today stale broken shipment,bad, NO</s>,-2,-2,0
1225,unit soon font cross pitt gordon banks link surrender skepticism intellect cadre shameful chastity allocation,bad," bike, firearm, knife, criminal, carry, death, weapon, scsi, murder, smith, handgun, moral, child, defense, tape - YESappreciate, advance, anybody, info, thank, experience, hello, greatly, suggestion, wonder, edge, able, email, recently, thanx - NObible, christ, matthew, heaven, scripture, lord, father, word, passage, teach, mary, spirit, doctrine, verse, faith - YESunit, soon, font, cross, pitt, gordon, banks, link, surrender, skepticism, intellect, cadre, shameful, chastity, allocation - NO</s>",2,-2,1
1226,doctor disease patient treatment cand medical blood medicine treat cause test yeast physician symptom infection,good, YES</s>,2,2,1
1227,disk scsi speed controller fast port card mode floppy chip switch board standard modem interface,good, NO</s>,-2,2,0
1228,calorie low fat protein sodium gram serve high carbs diet carb weight nutrition per watch,good, YES</s>,2,2,1
1229,internet water uucp uunet bitnet dept paul corp marc tower heat fnal steven plant nuclear,bad, NO</s>,-2,-2,0
1230,bill distribution port modem serial stratus connect special several packet keywords william rocket interrupt baud,good, YES</s>,2,2,1
1231,henry appear toronto trade digex hole cover black access light level captain star company theory,bad, YES</s>,2,-2,1
1232,nasa earth orbit science mission library launch moon code news access reference shuttle general satellite,good, YES</s>,2,2,1
1233,bone bubble rawh slim gum chewer steel mushroom miso noodle oat shrimp bulldog dubble reply,bad, NO</s>,-2,-2,0
1234,steve thor vice libertarian uucp steveh cell benefit hendricks beauchaine bobbe print blow fail regulation,bad, NO</s>,-2,-2,0
1235,religion belief atheist atheism faith existence ence religious christianity argument cannot statement universe strong prove,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESreligion belief atheist atheism faith existence ence religious christianity argument cannot statement universe strong prove - YES</s>,2,-2,1
1236,moral objective science morality keith animal frank values scientific humans livesey natural behavior pain south,good, YES</s>,2,2,1
1237,love hell uiuc thought frank objective keith mine ever sorry guess uucp nothing wrong james,bad, YES</s>,2,-2,1
1238,country iran house federal force constitution bosnia clinton action weapon majority civil senate center iranian,good, YES</s>,2,2,1
1239,work package receive surprised sample description future careful party damage pleasantly chef co-worker correct fault,good, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESwork package receive surprised sample description future careful party damage pleasantly chef co-worker correct fault - NO</s>,2,2,1
1240,technology project station development market product services billion commercial cost launch georgia management research produce,good, YES</s>,2,2,1
1241,salt bean dish cooking sea kitchen gourmet table pork basic additional grinder rind learn palate,good, YES</s>,2,2,1
1242,cand suck infection anti palestinian cause vitamin west doctor body astronaut bias treatment pilot bank,bad, NO</s>,-2,-2,0
1243,favorite blend enough black fuel jet fruity robust herbal second hibiscus drawer tazo kona wake,bad, NO</s>,-2,-2,0
1244,science truth objective absolute frank values knowledge scientific theory value experience agree wrong basis understanding,good, YES</s>,2,2,1
1245,breakfast packet indiv pour convenient wrap control ual portion afternoon ually worry deep since english,bad, NO</s>,-2,-2,0
1246,body town dead duke kill mountain azeri azerbaijan soviet massacre child shot road azerbaijani force,bad, NO</s>,-2,-2,0
1247,weapon firearm police carry safety auto semi handgun license automatic revolver fire bill section dangerous,good, YES</s>,2,2,1
1248,bible religion turkish church belief truth argument faith christ atheist greek human ence word muslim,good, YES</s>,2,2,1
1249,picture gain pain thread stone blah beach multiple dark precision safe sleeve thomas alex watson,bad, NO</s>,-2,-2,0
1250,purchase happy ship website impressed directly wonder chance mother see offer elsewhere promptly enjoys open,bad," bike, firearm, knife, criminal, carry, death, weapon, scsi, murder, smith, handgun, moral, child, defense, tape - YESappreciate, advance, anybody, info, thank, experience, hello, greatly, suggestion, wonder, edge, able, email, recently, thanx - NObible, christ, matthew, heaven, scripture, lord, father, word, passage, teach, mary, spirit, doctrine, verse, faith - YESpurchase, happy, ship, website, impressed, directly, wonder, chance, mother, see, offer, elsewhere, promptly, enjoys, open - NO</s>",2,-2,1
1251,hot different many others gift salad name filter keurig kind creamy dress way perfect choose,bad, YES</s>,2,-2,1
1252,bought arrive jar pretty still tin could crack four shell otherwise fancy gift second think,bad, YES</s>,2,-2,1
1253,window display server application memory driver image screen color apple user running monitor mouse machine,good, YES</s>,2,2,1
1254,moral keith animal livesey morality goal solntze imply behavior school community murder saying whether talking,bad, YES</s>,2,-2,1
1255,oil popcorn spice pop olive christmas worst italian garlic microwave regularly kernel smoke sister cooking,good, YES</s>,2,2,1
1256,dec maybe online hope date original continue past suppose shipment plan anywhere expiration previous hol,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESdec maybe online hope date original continue past suppose shipment plan anywhere expiration previous hol - NO</s>,2,-2,1
1257,jeff curve phil scott curious dollar choice rich free integra money create spend bound corp,bad, NO</s>,-2,-2,0
1258,free gluten balance salmon wet turkey diet since fussy limit ocean important kitten grain-free forever,bad, YES</s>,2,-2,1
1259,marriage care couple married public gainey child ever business administration release technology congress kind live,good, YES</s>,2,2,1
1260,ingredient corn chicken gluten feed meat pet grain vet wheat allergy wellness liver animal salmon,bad, YES</s>,2,-2,1
1261,put something thought anything nothing else stick course house cover burn boil almost head air,bad, YES</s>,2,-2,1
1262,homosexual cramer male sexual clayton gatech prism hell houston navy rose behanna atlanta optilink homosexuality,bad, NO</s>,-2,-2,0
1263,salt bean dish sea cooking pork kitchen gourmet rind table grinder basic amount cook process,good, NO</s>,-2,2,0
1264,pack variety com www http href fill stash pie grey earl gourmet twinings selection bigelow,bad, NO</s>,-2,-2,0
1265,delicious small anyone smaller pricey six except somewhat near tire handy trader definately jam experienced,bad, YES</s>,2,-2,1
1266,year friend healthy month weight husband gift lose week already family ago two none old,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESyear friend healthy month weight husband gift lose week already family ago two none old - NO</s>,2,-2,1
1267,andrew lost disclaimer james chris columbia navy behanna callison houston bird pack init uoknor gary,bad, NO</s>,-2,-2,0
1268,disk scsi speed controller fast port card mode floppy chip board switch modem standard interface,good, YES</s>,2,2,1
1269,baby jerky broken veggie fall ready pump increase freezer tender barely carrot older previously parent,bad, NO</s>,-2,-2,0
1270,news email anonymous service usenet message network internet newsgroup discussion electronic colorado member conference user,good, YES</s>,2,2,1
1271,hell alaska eternal liar motto main acad crazy camera watch create nsmca able lunatic oakland,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YEShell alaska eternal liar motto main acad crazy camera watch create nsmca able lunatic oakland - NO</s>,2,-2,1
1272,crime criminal public commit self knife indiv defense violent kill murder firearm parent death drink,good, YES</s>,2,2,1
1273,objective values science frank truth morality email body word talk wonder dwyer looking child left,bad, YES</s>,2,-2,1
1274,ingredient organic natural corn free gluten chicken syrup feed pet list meat wheat grain diet,good, YES</s>,2,2,1
1275,woman child fire left kill building home dead away father azerbaijani tank apartment azeri live,good, NO</s>,-2,2,0
1276,bar crunchy yummy cinnamon granola crunch yogurt blueberry cereal combination addict raisin sweet almond flake,good, YES</s>,2,2,1
1277,hot different others keurig k-cups ground k-cup salad name filter brewer dress totally choose standard,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YEShot different others keurig k-cups ground k-cup salad name filter brewer dress totally choose standard - NO</s>,2,-2,1
1278,nice never hard kind please heard surprise overpower bring describe lighter present rock puff pa,bad, YES</s>,2,-2,1
1279,population israeli arab bullet thousand border policy daughter slaughter wife switzerland child authorities kill muslim,bad, NO</s>,-2,-2,0
1280,per let must choice seed fish totally simply sit age vegan wine kit sesame sprout,bad, NO</s>,-2,-2,0
1281,nasa earth anonymous code orbit mission science library moon news access reference graphics command general,good, YES</s>,2,2,1
1282,strong highly prefer cherry stronger replacement intense slight there's chamomile san kona weak people clam,bad, YES</s>,2,-2,1
1283,snack far fruit cake rest bite banana moist reason bacon broke apart however consistency inch,good, NO</s>,-2,2,0
1284,israel israeli arab jewish peace attack civilian palestinian lebanese lebanon occupy village soldier human kill,good, YES</s>,2,2,1
1285,weapon kill fire child crime firearm woman carry death police bill criminal cause city doctor,good, YES</s>,2,2,1
1286,enjoy right bean candy amount quick cold refresh sweetness mango quantity summer warm beverage hint,bad, YES</s>,2,-2,1
1287,switch signal radio audio input helmet level output receiver local noise relay circuit paint east,good, YES</s>,2,2,1
1288,attack tank lebanese brad village ncsu lebanon limbaugh hernlem stop fight civilian cover hawk guerilla,good, NO</s>,-2,2,0
1289,appear access hole henry toronto digex star light captain harris theory spencer black energy weaver,bad," bike, firearm, knife, criminal, carry, death, weapon, scsi, murder, smith, handgun, moral, child, defense, tape - YESappreciate, advance, anybody, info, thank, experience, hello, greatly, suggestion, wonder, edge, able, email, recently, thanx - NObible, christ, matthew, heaven, scripture, lord, father, word, passage, teach, mary, spirit, doctrine, verse, faith - YESappear, access, hole, henry, toronto, digex, star, light, captain, harris, theory, spencer, black, energy, weaver - NO</s>",2,-2,1
1290,request address militia bear amendment send arms constitution shall mailing organize regulate receive expo free,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESrequest address militia bear amendment send arms constitution shall mailing organize regulate receive expo free - NO</s>,2,-2,1
1291,israel israeli country encryption arab drug pres attack chip clipper policy security administration health secret,bad, YES</s>,2,-2,1
1292,morning breakfast indiv convenient wrap portion control ual afternoon ually deep enjoy anytime worry since,bad, NO</s>,-2,-2,0
1293,insurance care business mark ohio marriage school parent child couple married money greg magnus prince,bad, YES</s>,2,-2,1
1294,help chew hour honey energy hair bone toy skin night minute keep work need oatmeal,bad, NO</s>,-2,-2,0
1295,sweet right enjoy candy amount quick cold refresh sweetness summer plain mango beverage think ant,good, NO</s>,-2,2,0
1296,project station technology development market product launch services commercial billion cost management byte japanese remote,bad, YES</s>,2,-2,1
1297,green protein powder meal vitamin mixed soy pouch shake contains fiber nutrition matcha form teaspoon,good, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESgreen protein powder meal vitamin mixed soy pouch shake contains fiber nutrition matcha form teaspoon - YES</s>,2,2,1
1298,research center april medical health national report nasa washington cancer institute virginia page among disease,bad, YES</s>,2,-2,1
1299,old buying easy save soup carry subscribe awesome chili tomato son cheaper area daughter prepare,good, NO</s>,-2,2,0
1300,mix cream ice strawberry pour pancake waffle pomegranate recipe muffin frozen margarita lollipop baking fluffy,good, NO</s>,-2,2,0
1301,nice salt hard color container cracker mouth smaller bite dish hit broken sea simple vinegar,bad, YES</s>,2,-2,1
1302,offer sale copy monitor sell xterm price machine sequence client title upgrade option asking running,good, YES</s>,2,2,1
1303,juice wrong waste throw soda show strawberry money guess drop could bottle immediately concentrate squeeze,good, YES</s>,2,2,1
1304,without fine yes felt generally ton lab warn burn doubt personal parent let's claim exercise,bad, YES</s>,2,-2,1
1305,vanilla chew pod toy bone pound chai caramel french maker creamer rawh senseo drip target,bad, NO</s>,-2,-2,0
1306,help chew hour honey energy night hair minute toy bone skin drop trip effect gas,bad, NO</s>,-2,-2,0
1307,weapon firearm carry license handgun police semi safety auto automatic revolver section rifle bill dangerous,good, YES</s>,2,2,1
1308,driver card memory sound running machine mode cards instal utexas crash gateway backup diamond latest,good, YES</s>,2,2,1
1309,calorie low fat protein weight sodium fiber high gram diet content carbs lose substitute carb,good, YES</s>,2,2,1
