,Human,Model,wordset
694,rather_bad,bad,colorado music letter flame argument conclusion fallacy motorcycle bruce therefore japanese letters club denizen japan
695,bad,bad,command dealer deal price saturn newsreader ford loss sales small cycle arizona deep ering customer
696,bad,good,command dealer saturn ford cycle loss deal arizona price duty deep newsreader small prof profit
697,bad,bad,command dealer saturn newsreader loss ford deal price sales cycle small arizona deep ering customer
698,rather_bad,good,command religious cycle atheism ford religion saturn prof dealer atheist duty response profit finally boot
699,bad,bad,company available awesome care sent search licorice email send affordable business since premium beyond back
700,bad,bad,company available awesome sent care licorice search email send affordable business since premium back beyond
701,bad,bad,company available awesome sent care licorice search email send affordable business since premium back coupon
702,bad,bad,company available awesome sent licorice care email search affordable business since send premium back prompt
703,bad,bad,company available care awesome search sent licorice send call contact email finally business affordable amazon's
704,rather_good,bad,company available care awesome search sent licorice send contact email business affordable amazon's beyond coupon
705,bad,bad,company available care awesome search sent licorice send contact email since business call affordable amazon's
706,bad,bad,company available care awesome search sent licorice send email contact since business affordable beyond premium
707,bad,bad,company insurance happy money private health america canadian liberal proposal perry care policy canada spend
708,bad,bad,company treat bell positive larc negative worry patient recent current lyme carl complaint strength reaction
709,bad,bad,company treat bell positive larc negative worry patient recent lyme current carl complaint strength reaction
710,bad,bad,company treat positive larc negative patient current bell worry carl lyme chen nasa nova culture
711,rather_bad,bad,compare market difference mean pasta sometimes stomach soda hold brown sour coat upset nicely folk
712,bad,bad,container easily place soft melt hold together mess chewy shape stuck work open cool room
713,bad,bad,container easily place soft melt hold together mess shape stuck chewy open cool somewhat room
714,bad,bad,container easily soft melt work place chewy mess together shape stuck hold room open cool
715,bad,bad,container pet teeth vet clean result research cheap basically issue breath greenies major manufacturer junk
716,bad,bad,container place easily soft melt hold together mess shape open stuck chewy somewhat cool room
717,bad,bad,container teeth vet clean pet result research cheap issue basically breath greenies major manufacturer junk
718,rather_bad,bad,container teeth vet clean result pet research cheap basically breath issue greenies junk major manufacturer
719,bad,bad,context quote agree umich taking relay maybe death learn engin james kind ence feel argument
720,good,good,controller scsi disk card bios interface feature jumper floppy speed fast transfer port board rate
721,good,good,controller scsi disk card bios interface feature jumper speed floppy fast transfer pope port mode
722,good,good,cookie cooky microwave package chewy chocolate soft annie newton garbage bad toilet plastic bowl put
723,good,bad,cooky butter free peanut gluten cookie sale we've reasonable walmart newman's allergy jam raisin consistency
724,good,bad,cooky butter peanut cookie sale we've newman's moist spread reasonable biscuit crumb walmart fabulous sandwich
725,rather_bad,bad,cooky butter peanut cookie sale we've reasonable newman's reviewer website agree walmart supermarket blow similar
726,rather_bad,bad,cooky butter peanut cookie sale we've website newman's spread reasonable biscuit crumb walmart fudge allergic
727,bad,bad,cooky butter peanut gluten cookie free sale we've reasonable walmart newman's consistency jam blow website
728,good,bad,cooky butter peanut gluten cookie free we've reasonable walmart wheat allergic sale celiac allergy soy
729,bad,bad,cooky butter peanut gluten cookie sale we've reasonable newman's walmart consistency celiac jam blow pamela's
730,bad,bad,cooky butter peanut gluten cookie sale we've reasonable walmart newman's consistency jam blow raisin allergy
731,good,good,cooky cookie mouth bite raspberry thin brownie fudge crumb xylitol oreo creme soft gooey chewy
732,good,bad,cooky cookie mouth bite raspberry thin brownie fudge xylitol crumb oreo creme gooey pan soft
733,bad,bad,cooky cookie mouth raspberry thin brownie fudge xylitol bite oreo creme think pan gooey soft
734,good,bad,cooky cookie mouth raspberry thin brownie fudge xylitol oreo bite creme think pan gooey soft
735,good,bad,cooky cookie mouth raspberry thin brownie fudge xylitol oreo creme gooey pan think package soft
736,bad,bad,cooky cookie mouth raspberry thin brownie fudge xylitol oreo creme package gooey pan think soft
737,good,bad,cooky cookie mouth raspberry thin brownie fudge xylitol oreo package creme gooey think pan soft
738,good,bad,cooky cookie raspberry mouth thin brownie fudge xylitol package oreo think gooey creme pan soft
739,good,bad,cooky cookie raspberry thin agree brownie oreo fudge gooey think soft crumbly overprice enough ruin
740,bad,bad,cooky cookie raspberry thin agree brownie oreo fudge think gooey crumbly soft enough overprice ruin
741,bad,bad,cooky cookie raspberry thin agree brownie oreo fudge think gooey crumbly soft texture package enough
742,good,bad,cooky cookie raspberry thin brownie agree oreo fudge think gooey crumbly texture package soft enough
743,good,bad,cooky cookie raspberry thin brownie agree oreo fudge think gooey texture package crumbly soft enough
744,good,bad,cooky rice soup pasta season noodle cookie tomato tuna fudge hol wasabi bubble steak pea
745,good,bad,cooky rice soup pasta season noodle cookie tomato tuna fudge hol wasabi steak bubble broth
746,bad,bad,copy machine persian free sound anyway current public address easy company general several fast able
747,bad,bad,copy offer monitor excellent manual asking sale title condition tape email trade original cover distribution
748,good,bad,copy offer monitor excellent manual asking sale title tape condition trade original email cover distribution
749,bad,bad,copy steve electronics thor libertarian bell steveh measure hendricks thanx fail regulation protection tamu limited
750,bad,bad,copy steve thor electronics libertarian steveh hendricks eliminate tamu fail limited regulation failure snow swiss
751,bad,bad,copy thor electronics libertarian steve bell steveh hendricks current measure fail free persian regulation limited
752,bad,bad,copy thor electronics libertarian steveh bell steve hendricks keyboard current persian free fail measure company
753,bad,bad,copy thor electronics libertarian steveh bell steve hendricks keyboard persian current free fail measure cluster
754,bad,bad,copy thor persian libertarian steveh electronics keyboard free current company machine cluster anyway bell fail
755,bad,bad,copy thor steve electronics libertarian bell steveh hendricks measure current fail regulation protection persian limited
756,rather_good,bad,corn pet ingredient feed wellness vet chicken meat filler diet science liver flour fructose kitten
757,good,bad,cost bpa general consumer drive refill effective woman liter per sadly sodastream tomato synthetic rate
758,bad,bad,cost bpa general consumer drive refill effective woman rate liter per sadly particularly sodastream tomato
759,bad,bad,cost bpa general drive consumer refill woman liter effective per sadly sodastream tomato synthetic drug
760,rather_bad,bad,cost bpa general rate consumer particularly drive refill effective woman liter discount per sadly sodastream
761,rather_good,bad,could cheese bake finally homemade fry slice spoon spread onion stand cardboard oven somewhere kraft
762,bad,bad,could cheese bake homemade fry spread slice spoon onion stand style paper cardboard effort oven
763,good,bad,could cheese bake homemade slice spoon fry spread onion style finally stand cardboard paper oven
764,rather_bad,bad,could ever local piece grocery sell deal wish carry market glad gum whole online hop
765,rather_good,bad,could local piece grocery sell deal wish carry market glad gum online whole break hop
766,bad,bad,could local piece grocery sell deal wish carry market glad online break hop surprised unfortunately
767,bad,bad,could n't money new fine juice either least color guess wrong end waste throw show
768,bad,bad,country action land force iran citizen house bosnia weapon majority federal constitution civil nation adam
769,good,good,country federal house iran civil bosnia force action majority constitution nation minority senate constitutional hallam
770,good,good,country federal house iran civil force bosnia action majority constitution senate constitutional minority nation iranian
771,good,bad,country germany land german nazi money happy europe european waste race spend political canadian party
772,rather_bad,good,country iran house federal force constitution bosnia clinton action weapon majority civil senate center iranian
773,bad,good,country iran house weapon force kill clinton action sphere arms amendment constitution public pres nuclear
774,bad,bad,country iran nation house bosnia europe political majority federal civil minority hallam revolution social senate
775,good,good,country kill weapon force iran action house religion land clinton citizen public arab arms nuclear
776,good,bad,country land care germany happy money waste german health company proposal europe race european spend
777,bad,bad,country land citizen action adam force iran house civil majority nation bosnia minority federal freedom
778,rather_bad,bad,country land germany german happy money care waste europe proposal european race health company spend
779,rather_bad,bad,country land germany german happy money waste nazi europe european race spend canadian proposal care
780,bad,bad,country land germany german nazi money happy europe waste european race spend canadian care political
781,rather_bad,bad,country land germany happy german care money waste health europe proposal company race european spend
782,good,bad,country nation iran political europe house bosnia majority hallam minority civil revolution democratic federal social
783,good,bad,country nazi german germany land europe money party political european happy spend race waste history
784,good,bad,country nazi germany german land europe money party european happy political race waste spend history
785,good,bad,country nazi germany german land europe money party european happy political spend race waste history
786,bad,good,court berkeley charge anti judge francisco lawyer legal copyright jacket property dangerous california museum police
787,bad,bad,cracker mouth please mountain care substitute color pork table wine surprise present puff kit describe
788,bad,bad,cracker please mouth mountain care substitute color pork wine table puff kit present surprise weak
789,bad,bad,cramer clayton free station uunet tool optilink image price service email mine option consent contact
790,bad,bad,cramer clayton station uunet optilink mine consent free price pyram option service relations operator contact
791,bad,bad,cramer image free clayton user email price incoming station optilink contact uunet design large cost
792,bad,bad,cramer station clayton tool uunet mine optilink phone free option module consent plot service design
793,bad,bad,cramer station clayton uunet tool mine optilink free phone module option consent service plot design
794,good,good,crime criminal indiv self citizen public commit defense knife violent cause firearm abuse uals protect
795,good,good,crime criminal indiv self citizen public commit defense knife violent cause firearm uals abuse protect
796,good,good,crime criminal indiv self citizen public commit defense knife violent cause uals firearm abuse protect
797,good,good,crime criminal kill death self murder commit public defense knife child indiv violent firearm carry
798,good,good,crime criminal kill death self murder public commit defense knife child cause indiv firearm violent
799,good,good,crime criminal kill death self murder public commit defense knife child indiv cause violent firearm
800,good,good,crime criminal kill death self public murder commit defense knife child cause indiv firearm situation
801,good,good,crime criminal public commit self knife indiv defense violent kill murder firearm parent death drink
802,good,bad,crime criminal self indiv public commit defense knife violent firearm kill citizen cause abuse protect
803,good,bad,crime death rate laws paul freedom black homic defense white study majority rates minority handgun
804,good,good,crime firearm weapon defense criminal court federal police handgun bill vote assault public laws citizen
805,rather_good,good,crime kill criminal death self murder public commit defense knife cause child indiv situation firearm
806,bad,bad,crime paul rate laws house pres homic death freedom white study federal risk rates sabbath
807,rather_bad,bad,crime paul rate laws white death black freedom homic federal defense rates study house sabbath
808,bad,bad,crime paul rate laws white death freedom black homic federal study defense house rates sabbath
809,rather_good,bad,crime paul rate laws white freedom death black homic federal house rates study defense sabbath
810,good,good,criminal crime bike knife murder commit death violent indiv firearm kill public defense carry parent
811,good,good,criminal crime kill death knife murder carry self commit defense public violent indiv child firearm
812,good,good,criminal crime kill death self murder commit knife defense public carry violent indiv child firearm
813,rather_bad,bad,crystal biscuit cola bone margarita cleaning diet prone doberman teeth cuervo pepsi light tartar coke
814,rather_bad,good,cup strong blend bean roast vanilla bitter brew keurig k-cups bold smooth dark pod machine
815,bad,bad,curve drug create libertarian email hold graphics looking fulk free fantasy copy block mark reading
816,bad,bad,curve jeff create curious libertarian choice rich fantasy phil dollar integra free scott hold drug
817,good,bad,cut actually wheat texture miss oat biscuit seriously unlike quaker winner country absolute whole oatmeal
818,bad,bad,cut wheat actually miss texture oat biscuit seriously quaker unlike winner country absolute regular family
819,bad,bad,cwru freenet koresh cleveland mike previous stand stephen guess ryan story joke wave nothing tape
820,rather_bad,bad,cwru freenet mike cleveland koresh previous stand stephen ryan story guess joke wave tape nothing
821,bad,bad,cwru koresh freenet cleveland mike guess previous stand stephen story ryan nothing wave joke ever
822,bad,bad,cwru koresh freenet cleveland mike previous guess stand stephen story ryan nothing joke wave ever
823,rather_bad,bad,cwru machine comment cleveland freenet math contact programmer type comp tony xfree anonymous general desktop
824,bad,bad,cwru machine comment math cleveland freenet contact programmer tony type comp xfree previous anonymous dept
825,bad,good,cwru machine math comp cleveland freenet programmer contact comment tony vote type netcom xfree email
826,bad,good,cwru machine math comp cleveland freenet programmer tony contact comment vote type netcom xfree email
827,bad,good,cwru math comp machine freenet cleveland tony programmer contact vote comment type peter netcom xfree
828,bad,good,cwru math machine comp freenet cleveland programmer tony contact vote comment type netcom xfree peter
829,bad,bad,cwru mike freenet cleveland previous stephen stand ryan joke story koresh guess wave tape funny
830,bad,bad,cwru mike freenet cleveland previous stephen stand ryan joke story koresh wave funny student tape
831,bad,bad,cwru peter freenet math comp cleveland tony vote programmer contact machine type comment misc previous
832,bad,bad,cycle command prof arizona duty ering boot bison response derek victor xputimage stan symposium dealership
833,bad,bad,dark away full roast rich flavorful extremely double drinker steep magic rest drank selection half
834,good,bad,dark full away roast rich flavorful extremely double drinker steep magic drank half selection odd
835,bad,bad,dark full roast away rich flavorful extremely long double drinker steep magic drank half odd
836,rather_bad,bad,dark full roast rich flavorful extremely double consistently selection odd count drank away west lover
837,bad,bad,dark full roast rich flavorful extremely double count consistently selection drank odd pick sumatra west
838,bad,bad,dark roast full rich extremely flavorful double away consistently odd selection count drank drinker something
839,good,bad,dead body town duke shot kill mountain azeri soviet azerbaijan child massacre azerbaijani force helicopter
840,good,bad,dead body town shot duke professor mountain azerbaijan soviet massacre azeri kill escape azerbaijani region
841,bad,bad,dec arrive gum date hope original past online maybe stale shipment expiration plant disappointed child
842,bad,bad,dec hope date online past maybe original shipment anywhere expiration previous hol could everywhere disappointment
843,bad,bad,dec maybe hope online date original past shipment anywhere expiration previous continue hol could plan
844,bad,bad,dec maybe online hope date original continue past suppose shipment plan anywhere expiration previous hol
845,rather_bad,bad,dec maybe online hope date original past continue shipment plan suppose anywhere expiration previous hol
846,bad,bad,dec maybe online hope date original past shipment anywhere expiration continue plan previous hol could
847,bad,bad,dec maybe online hope date original past shipment continue anywhere expiration plan previous suppose hol
848,bad,bad,definitely regular red serve cheaper less alternative option buying alone ounce however lack light sweet
849,bad,bad,definitely regular red serve less cheaper alternative option buying ounce alone however lack twice light
850,bad,bad,delicious small anyone smaller locally six comment cheap tire handy handle trader broke definately inch
851,bad,bad,delicious small anyone smaller locally six comment tire handy broke trader definately inch joe's interested
852,bad,bad,delicious small anyone smaller pricey except near six somewhat tire handy trader definately jam joe's
853,bad,bad,delicious small anyone smaller pricey except six near somewhat tire handy trader definately jam joe's
854,bad,bad,delicious small anyone smaller pricey except six somewhat near tire handy trader definately jam joe's
855,bad,bad,delicious small anyone smaller pricey six except somewhat near tire handy trader definately jam experienced
856,bad,bad,delicious small dry hard large smaller surprised larger liver freeze crazy locally six tire pleasantly
857,bad,bad,delicious small dry hard smaller surprised large larger liver size freeze locally six perfect tire
858,rather_good,bad,delicious small dry hard smaller surprised large size larger liver freeze locally six perfect tire
859,rather_bad,bad,delicious small dry hard smaller surprised liver freeze locally larger six large tire pleasantly cube
860,bad,bad,delicious small dry hard smaller surprised liver freeze locally six large larger tire perfect pleasantly
861,rather_bad,bad,delicious small size dry hard large smaller surprised larger perfect liver freeze locally six tire
862,bad,bad,delicious small size dry large smaller surprised larger liver freeze locally somewhat four six longer
863,rather_bad,bad,delicious small smaller anyone locally six comment tire handy trader cheap definately inch though joe's
864,bad,bad,delicious small smaller anyone locally six comment tire handy trader definately cheap inch though joe's
865,bad,good,delicious small smaller locally six comment tire handy trader package definately inch cheap pop though
866,rather_bad,bad,delicious small smaller locally six package comment pop tire handy trader definately know anyone inch
867,rather_bad,bad,delicious small smaller locally six package comment pop tire handy trader know definately anyone inch
868,bad,bad,delicious smaller larger training liver near freeze locally somewhat six appear tire cube frozen freezer
869,rather_bad,bad,delicious smaller training liver near freeze locally somewhat six appear tire cube freezer frozen handy
870,rather_bad,bad,delivery seller service email clam shipping fda chowder bottle cane beauty france chow tahini sweat
871,good,bad,diet feed change pet vet switch formula wellness grain research kibble allergy eats science week
872,bad,bad,diet feed change pet vet switch formula wellness kibble eats crazy dry science allergy grain
873,good,bad,diet feed change pet vet switch wellness formula kibble eats crazy allergy science grain research
874,bad,bad,diet feed change pet vet switch wellness formula kibble eats crazy dry science week old
875,bad,bad,diet feed change three switch wellness formula kibble eats salmon science animal weight kitten pet
876,bad,bad,different bottle excellent available plastic everyone glass lemon sample refresh mint travel value clear hazelnut
877,bad,bad,different bottle excellent available plastic everyone pleased delivery glass lemon sample refresh seller hazelnut value
878,bad,bad,different bottle shipping excellent available plastic everyone pleased delivery glass lemon sample seller hazelnut mint
879,bad,bad,different hot many available others salad name creamy choose dress way curry paste although table
880,rather_bad,bad,different hot many available others salad name creamy dress choose way curry paste table brewer
881,bad,bad,different hot many others available salad k-cups keurig creamy name way curry brewer choose table
882,rather_bad,bad,different hot many others available salad k-cups keurig creamy way name brewer table curry paste
883,rather_bad,bad,different hot many others available salad name creamy way choose dress k-cups curry keurig brewer
884,bad,bad,different many others keurig k-cups name brewer creamy curry k-cup experiment extra paste way although
885,bad,bad,different many others keurig k-cups name brewer creamy curry k-cup experiment paste extra folgers way
886,bad,bad,different many others keurig k-cups name brewer creamy curry k-cup experiment paste extra way folgers
887,bad,bad,directory unix email comp package export user workstation graphics library distribution info hardware keyboard cview
888,bad,bad,disclaimer lost james chris weight behanna navy callison bird pack baby houston uoknor init uniform
889,rather_bad,bad,discussion newsgroup utexas vote topic misc electric ccwf philip uiuc irvine newsgroups appropriate stove brent
890,rather_bad,bad,discussion newsgroup utexas vote topic misc electric ccwf philip uiuc irvine newsgroups appropriate stove followup
891,bad,bad,discussion newsgroup vote topic misc electric uiuc irvine philip creation utexas angry stove newsgroups others
892,bad,bad,discussion newsgroup vote topic misc electric uiuc philip irvine utexas creation newsgroups stove angry brent
893,rather_bad,bad,discussion newsgroup vote topic misc electric utexas philip irvine uiuc newsgroups creation stove brent angry
894,bad,bad,discussion vote newsgroup misc uiuc electric irvine angry creation others topic brent stove suggest mike
895,bad,bad,discussion vote newsgroup uiuc misc electric irvine angry others creation brent stove topic suggest mike
896,bad,bad,discussion vote newsgroup uiuc misc electric irvine others angry creation brent stove suggest topic mike
897,bad,bad,discussion vote newsgroup uiuc misc electric irvine others brent angry ever creation mike suggest else
898,good,good,disease doctor discussion patient cand test treatment yeast infection ence quack body cause sinus others
899,good,good,disease doctor discussion patient cand test treatment yeast infection ence quack body others cause sinus
900,good,good,disease doctor patient treatment cand test discussion yeast cause infection medicine body treat medical symptom
901,good,good,disease food medical doctor patient health treatment cancer cand blood medicine study treat infection symptom
902,good,good,disease food medical doctor patient health treatment cancer cand blood study medicine treat center symptom
903,good,good,disease medical food doctor patient health treatment cancer cand blood study medicine treat center infection
904,good,good,disease patient treatment body medicine doctor study infection cause medical cand vitamin ence yeast cure
905,good,good,disk card scsi driver speed apple memory monitor fast machine controller port mode chip board
906,good,good,disk card scsi driver speed fast apple controller machine memory monitor port chip board sound
907,good,good,disk card scsi driver speed fast apple monitor memory machine controller port chip mode board
908,good,good,disk card scsi speed driver fast controller apple machine memory port chip monitor board sound
909,good,good,disk card scsi speed driver fast controller port chip machine board sound memory apple modem
910,bad,good,disk israeli controller turkish child tape news bios allow village arab type wrong several head
911,bad,good,disk memory tape error floppy boot instal swap backup load install running device adaptec internal
912,good,good,disk memory tape error floppy instal boot internal running swap backup crash install machine works
913,good,good,disk memory tape error instal floppy boot load swap install backup running crash device internal
914,good,good,disk memory tape floppy boot error instal swap backup internal upgrade running install access adaptec
915,good,good,disk memory tape floppy boot error swap apple backup cache upgrade access adaptec install running
916,good,good,disk memory tape floppy boot error swap backup apple upgrade instal access cache install running
917,good,good,disk memory tape scsi floppy error swap boot driver adaptec upgrade access cache cards install
918,good,good,disk scsi card speed controller port fast board chip modem floppy machine upgrade cable switch
919,rather_good,good,disk scsi card speed controller port fast board modem floppy chip image machine upgrade cable
920,good,good,disk scsi card speed driver fast controller port chip board machine sound modem floppy cable
921,good,good,disk scsi card speed fast controller driver port chip board modem sound machine floppy cable
922,good,good,disk scsi card speed fast controller port chip board driver machine modem floppy upgrade cable
923,good,good,disk scsi card speed fast driver controller port chip board machine sound modem floppy cable
924,good,good,disk scsi controller card modem floppy chip port speed interface motherboard serial clock bios board
925,good,good,disk scsi controller card modem floppy port chip speed interface motherboard bios serial fast cache
926,good,good,disk scsi controller card modem floppy port chip speed interface motherboard serial bios fast cache
927,good,good,disk scsi controller card modem floppy port chip speed interface motherboard serial clock bios fast
928,good,good,disk scsi controller port board floppy card modem interface motherboard transfer serial bios boot speed
929,good,good,disk scsi controller port board floppy card modem motherboard interface transfer serial bios boot speed
930,good,good,disk scsi controller port card floppy fast speed board interface bios transfer mode standard chip
931,good,good,disk scsi controller port card floppy speed fast board mode interface bios transfer serial boot
932,good,good,disk scsi controller port card floppy speed fast board mode interface bios transfer serial chip
933,good,good,disk scsi controller port floppy card board speed fast mode interface modem bios serial transfer
934,good,good,disk scsi controller port floppy card fast speed board mode interface bios transfer serial chip
935,good,good,disk scsi controller port floppy card speed board fast mode interface bios transfer serial modem
936,good,good,disk scsi controller speed fast mode card floppy tape switch port board standard chip interface
937,good,good,disk scsi memory tape error swap driver floppy adaptec controller cause aspi islam works directory
938,good,good,disk scsi speed card controller fast port board modem floppy chip cable upgrade switch image
939,good,good,disk scsi speed card fast controller port board chip modem floppy upgrade cable driver switch
940,good,good,disk scsi speed card fast controller port chip board driver modem floppy cable upgrade switch
941,good,good,disk scsi speed card fast controller port chip board modem driver floppy cable upgrade switch
942,good,good,disk scsi speed card fast controller port chip driver board modem floppy machine sound cable
943,good,good,disk scsi speed controller fast port card mode chip floppy board switch modem standard interface
944,good,good,disk scsi speed controller fast port card mode floppy chip board switch modem standard interface
945,good,good,disk scsi speed controller fast port card mode floppy chip switch board standard modem interface
946,good,good,disk scsi speed controller fast port card mode floppy switch board chip standard modem interface
947,good,good,disk scsi tape memory driver swap floppy adaptec error controller aspi cause works boot directory
948,bad,bad,disk season font entry white pick israeli rule child kind april email brad tape nothing
949,good,good,disk tape memory error floppy boot swap backup install adaptec device instal running works config
950,good,good,disk tape memory floppy error swap boot backup adaptec install scsi works driver running device
951,good,good,disk tape scsi memory swap floppy error driver adaptec boot works cause aspi install access
952,good,good,display application server motif window screen resource mouse manager running xterm memory error subject converter
953,bad,bad,distribution bill port modem serial stratus connect keywords special packet dale several william rocket interrupt
954,bad,bad,distribution public several insurance free driver require build internet cause week standard science image found
955,bad,good,division care married clipper company berkeley forsale industry trade build business library access email become
956,good,good,doctor disease cause treatment patient medicine cand symptom effects yeast medical infection body study vitamin
957,good,good,doctor disease cause treatment patient medicine cand symptom yeast effects body medical infection vitamin study
958,good,good,doctor disease patient treatment blood treat cause cand yeast medicine symptom test infection physician pain
959,good,good,doctor disease patient treatment cand cause test treat yeast medicine blood medical body symptom infection
960,good,good,doctor disease patient treatment cand cause test yeast treat medicine discussion body infection medical blood
961,good,good,doctor disease patient treatment cand cause treat test yeast medicine blood medical symptom body ence
962,good,good,doctor disease patient treatment cand medical blood medicine treat cause test yeast physician symptom infection
963,good,good,doctor disease patient treatment cand medical blood medicine treat cause yeast physician body infection symptom
964,good,good,doctor disease patient treatment cand medical medicine blood treat cause test yeast physician body symptom
965,good,good,doctor disease patient treatment cand treat cause test medicine yeast blood symptom medical ence body
966,good,good,doctor disease patient treatment treat blood cause cand medicine yeast pain symptom test infection physician
967,good,good,doctor disease patient treatment treat blood cause cand pain medicine yeast symptom test infection physician
968,good,good,doctor disease patient treatment treat cause cand blood test medicine yeast symptom medical infection ence
969,good,good,doctor patient disease cand treatment medical blood medicine treat cause yeast physician body infection anti
970,good,good,doctor patient disease cand treatment medical blood medicine treat yeast cause physician suck anti infection
971,bad,bad,dog treat chew piece size small take bone toy seem teeth keep smell two last
972,good,good,dog treat chew toy bone teeth ball puppy training liver piece bread pet play vet
973,bad,good,dog treat training liver greenies ball dog's pup puppy beneful teeth owner reward beagle pet
974,good,good,dog treat training liver greenies ball pup dog's puppy owner beneful beagle bully reward lick
975,bad,bad,drinking aftertaste mild espresso might weird beverage sip latte brewing guest appeal however sound mellow
976,good,good,drinking bitter brew machine mild ground espresso maker brewing filter enjoy caffeine aftertaste grind weak
977,good,bad,drinking brew bitter machine ground mild maker aftertaste espresso filter brewing weak grind pot cappuccino
978,bad,good,drinking brew bitter machine ground mild maker aftertaste espresso pot filter brewing weak grind smooth
979,good,good,drinking brew bitter smooth machine ground mild maker aftertaste espresso filter pot brewing weak grind
980,bad,bad,drinking mild aftertaste espresso weird brewing latte sip might guest beverage enjoy appeal however way
981,good,bad,drinking mild espresso aftertaste brewing latte sip weird enjoy way guest might machine still appeal
982,good,bad,driver card memory machine running sound cards error simms instal anybody fine works check wonder
983,good,bad,driver card memory running machine anybody sound tape error instal simms upgrade mouse works cards
984,bad,bad,driver card memory running machine sound anybody error instal simms tape cards fine works upgrade
985,rather_bad,bad,driver card memory running machine sound anybody error instal tape simms cards works fine upgrade
986,bad,bad,driver card memory running machine sound anybody error tape instal simms cards works fine upgrade
987,bad,bad,driver card memory running machine sound anybody tape error instal simms upgrade works cards fine
988,good,bad,driver card memory running machine sound cards error instal simms anybody fine works check utexas
989,rather_bad,bad,driver card memory running machine sound error anybody instal simms cards fine works utexas check
990,rather_bad,good,driver card memory simms cards crash battery gateway backup diamond tower accelerator error boot tape
991,rather_bad,good,driver card memory simms cards crash battery gateway backup diamond tower accelerator tape error boot
992,good,good,driver card memory sound mode running machine cards instal utexas monitor gateway crash backup color
993,rather_bad,good,driver card memory sound running machine cards mode utexas instal crash gateway backup diamond latest
994,good,good,driver card memory sound running machine mode cards instal utexas crash gateway backup diamond latest
995,good,good,driver card memory sound running mode machine cards instal utexas gateway crash backup color monitor
996,bad,bad,driver card picture next week sleeve mode cause nothing today kind small three given maybe
997,good,good,driver card sound cards mode utexas light diamond machine gateway accelerator latest running austin crash
998,bad,good,driver card sound cards mode utexas machine light diamond gateway latest accelerator running austin crash
999,bad,good,driver card sound cards utexas light mode machine diamond gateway latest accelerator running austin crash
1000,bad,good,driver card sound light cards machine utexas diamond gateway mode running latest crash accelerator austin
1001,rather_bad,good,driver card sound light gateway running crash machine mark copy memory else black left disk
1002,bad,good,driver card sound light machine cards utexas diamond gateway mode running latest crash accelerator austin
1003,rather_bad,good,driver card sound memory running cards machine crash light utexas gateway backup diamond latest copy
1004,good,good,driver card sound memory running machine cards crash utexas gateway backup diamond mode instal latest
1005,rather_bad,bad,driver sound card light crash latest gateway running machine diamond channel check stereo speaker quick
1006,bad,bad,driver sound card light crash latest gateway running machine diamond check channel stereo quick speaker
1007,good,bad,driver sound card light crash latest running gateway machine anybody stereo channel check diamond speaker
1008,bad,bad,driver sound card light crash running latest gateway anybody machine stereo channel speaker instal check
1009,rather_bad,bad,driver sound card light latest gateway diamond stealth crash download cica quick check site novell
1010,bad,bad,driver sound card light latest gateway diamond stealth download cica check site quick novell ultra
1011,bad,bad,driver sound card mode cards utexas diamond gateway accelerator latest austin vesa svga cica stealth
1012,bad,bad,driver sound running anybody memory wonder error fine works appreciate check tape machine sorry utexas
1013,bad,bad,drop roast tonic jamaica farm marley cup bottle bean probiotic grape gin central here's strain
1014,bad,bad,drug care health country market company america money columbia somalia bastard gary perry dave send
1015,bad,bad,drug cheap dollar bunch jeff average rich screw crack curve reliable silly curious alcohol production
1016,rather_bad,bad,drug cheap dollar jeff bunch average rich screw crack curve reliable curious silly alcohol production
1017,good,good,drug country land health jewish germany child research political nazi arab care policy german center
1018,rather_good,good,drug country nazi child german anti care germany political party jewish society research policy insurance
1019,bad,good,drug country nazi german anti germany party care society political insurance child freedom jewish hitler
1020,good,good,drug country nazi german anti germany party society insurance political freedom care free child hitler
1021,good,good,drug country nazi german anti germany party society political insurance care child freedom jewish free
1022,good,good,drug country nazi german anti society party germany insurance political freedom care free hitler social
1023,good,good,drug country nazi german freedom political jewish party society hitler anti gene liberal social minority
1024,good,good,drug country nazi german party freedom political society hitler jewish race anti germany gene liberal
1025,good,good,drug country nazi german party freedom political society jewish hitler race anti social gene germany
1026,good,good,drug court legal police illegal laws charge property federal lawyer civil officer francisco arrest anti
1027,good,bad,drug court legal police illegal laws charge property federal lawyer francisco civil hate arrest anti
1028,good,bad,drug court legal police illegal laws charge property hate federal francisco lawyer anti civil angeles
1029,bad,bad,drug court love property hate laws police legal park francisco anti money charge inner wagon
1030,bad,bad,drug dollar jeff curious curve fantasy money result crack extra spend choice split perhaps rich
1031,bad,good,drug dollar money curve choice illegal crack rich libertarian jeff legal alarm screw curious spend
1032,bad,good,drug dollar money rich illegal curve jeff choice crack cheap screw legal average curious spend
1033,bad,bad,drug jeff curious dollar money curve rich fantasy result crack extra split average spend perhaps
1034,bad,bad,drug jeff rich money curious average dollar result thomas split curve fantasy extra crack reliable
1035,bad,good,drug jeff thomas rich average curious money dollar curve fantasy crack result reliable split extra
1036,bad,bad,drug jeff thomas rich curious average money curve dollar fantasy crack result reliable split extra
1037,rather_bad,bad,drug libertarian curve choice result reading dollar fantasy hold free rational mark centaur spend create
