,task,true,model,model_extracted,classification_metric
440,brew bitter bold starbucks decaf instant drinker weak via smooth mocha strong peppermint magic yet,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
441,brew bitter bold starbucks decaf instant drinker weak via smooth mocha strong peppermint yet ground,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
442,brew bitter bold starbucks decaf instant via weak strong drinker smooth mocha peppermint magic yet,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
443,brew bitter bold yet starbucks decaf instant drinker weak smooth brewing via mocha peppermint magic,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
444,brew bitter yet bold starbucks instant drinker ground weak brewing via grind mocha bitterness peppermint,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
445,butter peanut apple orange aware jelly poor grape choke formula risk belly possibly watch and<br,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
446,butter peanut apple orange aware jelly poor grape choke possibly risk formula belly watch and<br,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
447,butter peanut apple orange aware poor jelly grape choke possibly risk formula belly and<br twenty,2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
448,butter peanut apple orange jelly aware grape poor choke formula belly risk watch fact transition,2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
449,butter peanut apple orange jelly grape aware poor choke formula fact belly watch risk transition,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
450,butter peanut apple orange jelly grape choke aware poor fact formula belly watch risk large,0,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
451,butter peanut apple orange jelly grape choke aware poor fact formula belly watch risk transition,0,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
452,butter peanut illy mate exact ginger palm compromise newman's flowery toddler moth cooky blackcurrant tin,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
453,buying money cheaper bulk dont compare save costco finger spend personally waste hate range pull,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
454,buying money cheaper compare bulk dont costco save personally finger hate spend waste cent range,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
455,buying money cheaper compare bulk dont hate costco personally finger cent spend retail range pull,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
456,buying money cheaper compare bulk dont hate costco personally finger spend cent retail however range,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
457,buying sauce regular serve per save cost cheaper red spicy pepper pay subscribe bulk option,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
458,buying sauce serve per save regular cost cheaper red spicy pepper pay subscribe option heat,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
459,by-product cat meat tassimo unit ingredient pad real poop friskies temperature harvest chicken keurig breeze,-1,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
460,calorie low fat protein coconut serve juice diet fiber per sodium weight gram vitamin carbs,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
461,calorie low fat protein fiber weight serve sodium gram high per carbs diet nutrition carb,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
462,calorie low fat protein sodium gram serve high carbs diet carb weight nutrition per watch,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
463,calorie low fat protein weight fiber content high sodium gram diet substitute carbs lose lower,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
464,calorie low fat protein weight sodium fiber high gram diet content carbs lose substitute carb,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
465,calorie low fat protein weight sodium gram high fiber diet content carbs lose substitute carb,2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
466,calorie low fat protein weight sodium high fiber gram diet content carbs lose substitute carb,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
467,calorie low protein fat coconut diet juice serve fiber sodium gram weight vitamin per carbs,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
468,calorie low protein fat sodium gram serve carbs high diet carb weight nutrition per amount,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
469,calorie protein fat coconut low fiber sodium gram vitamin carbs splenda msg bpa ant nutritional,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
470,calorie protein fat low coconut diet fiber sodium gram vitamin soda carbs splenda pretzel msg,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
471,calorie protein low amount fat i'd sodium gram weight carbs carb daily msg diabetic lose,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
472,calorie protein low amount fat sodium weight gram carbs meal fiber carb msg daily diabetic,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
473,calorie protein low fat coconut diet fiber sodium gram vitamin soda carbs splenda pretzel msg,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
474,calorie protein low fat content fiber weight sodium gram substitute high diet carbs lose msg,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
475,calorie protein low fat sodium carbs high gram diet carb nutrition watch amount farm diabetic,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
476,calorie protein low fat sodium fiber gram diet carbs carb nutrition high watch intake farm,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
477,calorie protein low fat sodium gram high carbs diet carb nutrition watch farm amount reduce,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
478,calorie protein low fat weight sodium fiber gram high content diet carbs lose substitute carb,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
479,calorie serve low fat protein coconut diet juice per fiber weight sodium gram vitamin carbs,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
480,calorie serve low fat protein coconut diet juice per powder health fiber weight sodium gram,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
481,can't almond blue ounce wait cocoa magnesium beat diamond blood reminds cause nutrient alot rda,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
482,can't almond blue ounce wait cocoa magnesium beat diamond say blood reminds nutrient alot rda,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
483,can't almond blue wait iced cocoa magnesium beat diamond reminds alot wasabi nutrient rda bowel,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
484,can't almond blue wait ounce cocoa magnesium say beat diamond blood reminds nutrient rda alot,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
485,can't almond ounce blue wait cocoa magnesium beat cause diamond blood reminds alot nutrient rda,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
486,can't almond ounce blue wait cocoa magnesium cause beat diamond blood reminds alot nutrient rda,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
487,can't run wait cocoa iced bone beat steep alot mug least say house watery sure,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
488,can't run wait cocoa iced bone beat steep alot mug least watery house sure say,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
489,can't run wait cocoa iced bone beat steep alot mug watery canister sure house meaty,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
490,can't run wait iced cocoa bone beat steep alot watery mug canister hear one's everytime,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
491,can't say almond blue wait cocoa magnesium ounce beat diamond blood reminds nutrient rda bowel,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
492,canada ryan wave stephen indiana funny ontario blue ottawa danny smoke story sticker afford jonathan,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
493,cancer word health center application higgins research increase fnal science resource national internet field randy,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
494,cand doctor suck treatment anti infection vitamin body cause quack medical pilot yeast bias antibiotic,2,"  Sure, I'd be happy to help!  Class: rather yes</s>",1,0.75
495,cand doctor treatment anti suck cause yeast disease infection body medical vitamin blood quack physician,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
496,cand doctor treatment suck anti infection body cause yeast vitamin medical quack disease blood pilot,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
497,cand palestinian israel suck nasa cause west israeli infection astronaut stup anti bank bias degree,0,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather no</s>",-1,0.25
498,cand suck infection anti palestinian cause vitamin west doctor body astronaut bias treatment pilot bank,-2,"  Sure, I'd be happy to help!  Class: rather no</s>",-1,0.25
499,candy soup gift rice pasta noodle item thanks awesome customer service christmas contact tuna hol,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
500,candy soup gift rice pasta thanks noodle awesome customer service christmas contact tuna item hol,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
501,caramel top sugar cake wine california vanilla drizzle natural mmmm kernel flip monster mmmmm pan,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
502,card driver memory simms cards crash gateway battery backup diamond tower accelerator tape boot color,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
503,card driver memory simms cards crash gateway battery backup diamond tower tape accelerator boot color,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
504,card driver sound copy light mark machine left running free disk following memory water else,-2,"  Sure, I'd be happy to help!  Class: rather yes</s>",1,0.75
505,card driver sound light copy running machine crash mark gateway anybody left hardware speaker backup,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
506,card driver sound light running gateway machine crash copy mark anybody diamond latest hardware memory,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
507,card driver sound machine light running copy gateway mark crash memory left anybody hardware option,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
508,care health country market america company money gary perry columbia drug liberal somalia germany german,-1,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
509,care mark couple marriage poor married insurance abortion coverage rent live speech child free money,0,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather no</s>",-1,0.25
510,care mark marriage poor child couple live deserve free together services deliver choose parent health,-1,"  Sure, I'd be happy to help!  Class: rather yes</s>",1,0.75
511,care marriage couple poor child mark health package live public together commitment congress free immunization,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
512,care marriage couple public insurance child kind poor live health congress whether ever mark free,0,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
513,care marriage couple public kind congress live mark poor ever together whether output technology package,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
514,care marriage insurance couple child mark poor money coverage live abortion public free rent parent,0,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
515,care marriage insurance couple child poor mark public abortion money coverage live free health rent,1,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
516,care marriage insurance couple child poor public health mark abortion money coverage free live congress,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
517,care marriage insurance couple mark poor child money coverage abortion live rent public free married,1,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
518,care marriage insurance couple poor mark child money abortion coverage public live rent free health,2,"  Sure, I'd be happy to help!  Class: rather yes</s>",1,0.75
519,care marriage insurance health public couple child poor congress kind free package whether live commitment,0,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
520,care marriage mark couple poor insurance child live abortion coverage married money rent free speech,1,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather no</s>",-1,0.25
521,case market salty live suggest sour hooked crispy cheddar tangy heaven regret smallest mayo bland,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
522,case salty live sour suggest hooked crispy cheddar tangy less heaven since smallest regret mayo,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
523,case salty live suggest sour hooked crispy cheddar tangy garbage heaven ahead regret mayo neighborhood,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
524,case salty live suggest sour hooked crispy cheddar tangy garbage heaven ahead regret smallest mayo,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
525,case salty live suggest sour hooked crispy cheddar tangy garbage heaven ahead regret smallest since,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
526,case salty live suggest sour hooked crispy cheddar tangy heaven regret less garbage since smallest,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
527,case salty sour live hooked suggest crispy cheddar tangy less since heaven market smallest new,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
528,cat brand ingredient feed quality chicken meat natural diet corn organic dry list switch pet,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
529,cat fancy chicken recall photo feast petite cuisine purina cupcake island smiley pig color frost,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
530,cat feed meat ingredient pet chicken wellness vet diet salmon dry corn switch kibble filler,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
531,cat meat ingredient corn dog vitamin calcium feed cat's human ground expensive finicky bone beef,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
532,cat pet wellness feed meat ingredient science vet kitty kibble filler kitten purina cat's by-product,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
533,cat wellness feed pet science ingredient meat kitten vet kitty by-product purina kibble filler cat's,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
534,cause father message view user whole bill white head check code appear begin attack within,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
535,cause food medical disease health patient doctor report cand cancer treatment steve body blood infection,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
536,cause launch cand report military face charge anti fire knife woman infection weapon police health,-1,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
537,cause medical health report disease food cand face infection doctor charge steve military body knife,1,  No.</s>,-2,0.0
538,cause report cand health medical face military charge disease food infection knife dangerous anti among,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
539,cause report health food study disease medical doctor steve increase patient center among body treatment,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
540,center nasa research image internet graphics cancer virginia health medical contact april email mike archive,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
541,center research internet virginia office conference phone computing national department north film address campus australia,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
542,center research internet virginia office phone nasa north email computing film contact national maine harvard,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
543,center research internet virginia phone office nasa email north computing film contact national maine harvard,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
544,center research nasa medical april health cancer internet virginia report national volume page newsletter contact,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
545,center research nasa medical april health report cancer national virginia page volume internet newsletter office,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
546,center research virginia internet nasa office phone north film email computing contact maine national tiff,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
547,center research virginia nasa internet tiff film contact image maine graphics mike news north conference,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
548,center research virginia nasa internet tiff film contact maine mike image graphics news north conference,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
549,center virginia research internet nasa film office maine national north contact conference phone computing campus,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
550,center virginia research nasa internet film maine contact national office conference north news phone report,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
551,center virginia research nasa internet film maine contact office national conference north news report phone,-2,"  Sure, I'd be happy to help!  Class: rather yes</s>",1,0.75
552,cereal sell chewy hop unfortunately truly pancake vendor surprised raisin packaging fudge muffin understand bran,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
553,cereal sell grain hop surprised unfortunately chewy truly nearly pancake raisin vendor understand appreciate book,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
554,cereal sell truly stale vendor appreciate unfortunately understand allow fell never think threw longer regular,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
555,cereal sell truly stale vendor unfortunately appreciate understand allow fell threw never think longer basis,-2,  No.</s>,-2,0.0
556,cereal sell truly unfortunately stale vendor appreciate understand allow fell threw longer fail basis never,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
557,cereal sell unfortunately truly stale vendor appreciate understand allow fell threw fail longer basis pronounce,-1,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
558,cereal sell unfortunately truly stale vendor appreciate understand allow threw fell meant fail basis pronounce,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
559,cereal sell unfortunately truly stale vendor understand appreciate allow threw fell fail basis pronounce macadamia,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
560,change feed diet wellness crazy formula eats vet whatever kibble switch science year old start,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
561,change feed diet wellness formula crazy vet eats whatever switch kibble science year fed start,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
562,change feed vet switch diet formula wellness crazy eats whatever kibble pet science kitten fed,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
563,change feed vet switch diet formula wellness crazy eats whatever kibble pet science kitten gobble,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
564,character font printer print vice page cell code bill beauchaine bobbe thought deskjet beep blow,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
565,cheese bake could homemade fry slice spoon onion spread style cardboard sandwich oven contact put,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
566,cheese bake could homemade fry slice spoon onion spread style put sandwich contact cardboard oven,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
567,cheese bake homemade could fry slice onion spoon put contact spread sandwich oven somewhere cardboard,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
568,cheese bread bake follow homemade spread slice spoon toast direction fry sandwich usual mustard oven,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
569,cheese bread bake homemade spread slice spoon toast fry onion direction sandwich oven follow usual,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
570,cheese bread bake homemade spread slice toast spoon onion put fry sandwich oven direction could,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
571,cheese bread chili garlic sauce thai pan pizza curry crust whip dip chef boil rub,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
572,cheese bread sauce chili stir garlic pizza waffle thai pan curry crust jalapeno dip whip,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
573,cheese bread sauce flour chili stir garlic pork pizza waffle thai pan curry crust oven,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
574,chew honey hair toy skin sleep boost play calm rawh busy wash workout gel joint,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
575,chew minute gum mouth cinnamon special piece third bubble xylitol two swallow three however soothe,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
576,chew minute gum mouth special cinnamon third bubble xylitol swallow crumble second soothe however piece,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
577,chew minute three gum mouth special cinnamon four third bubble xylitol swallow adore jump crumble,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
578,chew minute three gum mouth special cinnamon third bubble xylitol swallow crumble soothe adore jump,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
579,chew mouth pod pound bone toy ball puppy minute play last two around teeth rawh,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
580,chew pod bone pound toy mouth puppy play last creamer around minute rawh senseo two,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
581,chew pod mouth bone pound toy puppy last play around minute two size creamer rawh,0,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
582,chew pod pound bone toy ball puppy teeth play minute he's rawh senseo two busy,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
583,chew pod pound bone toy caramel larger play puppy two minute pet rawh senseo safe,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
584,chew pod pound bone toy caramel larger puppy play two minute rawh senseo pet safe,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
585,chew pod pound bone toy larger caramel puppy play two minute rawh senseo ear safe,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
586,chew pod pound toy bone caramel larger play pet two minute rawh puppy target german,0,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
587,chew pod pound toy bone caramel larger play two minute puppy pet rawh safe target,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
588,chew pod toy pound caramel bone larger play pet two minute rawh puppy target seem,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
589,chicken meat vegetable purchasing hazelnut filler test ingredient we're steak vegetarian by-product duck grill gloria,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
590,chicken meat vegetable purchasing hazelnut ingredient filler test steak we're vegetarian by-product duck grill real,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
591,chicken meat vegetable purchasing hazelnut ingredient filler test steak we're vegetarian by-product real duck know,2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
592,chicken meat vegetable purchasing hazelnut ingredient filler test we're steak vegetarian by-product duck know grill,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
593,chicken meat vegetable purchasing hazelnut test filler ingredient we're steak vegetarian by-product grill duck know,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
594,chicken meat vegetable purchasing hazelnut test filler we're ingredient steak vegetarian by-product grill duck gloria,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
595,chicken meat vegetable purchasing hazelnut test we're steak real vegetarian grill enjoy gloria rub exception,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
596,chicken meat vegetable purchasing test hazelnut filler we're steak exception vegetarian completely grill breast by-product,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
597,chicken meat vegetable purchasing test hazelnut filler we're steak vegetarian by-product exception ingredient grill supplier,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
598,chicken meat vegetable purchasing test hazelnut filler we're steak vegetarian exception by-product grill breast supplier,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
599,chicken meat vegetable purchasing test hazelnut we're steak vegetarian real exception grill gloria rub plate,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
600,chicken meat vegetable purchasing test hazelnut we're steak vegetarian real grill exception gloria rub enjoy,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
601,chicken meat vegetable purchasing test hazelnut we're vegetarian steak exception breast real grill gloria rub,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
602,chicken meat vegetable purchasing test hazelnut we're vegetarian steak exception grill breast concern gloria rub,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
603,chicken meat vegetable purchasing test hazelnut we're vegetarian steak exception real grill breast gloria rub,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
604,child body woman dead town army massacre azerbaijan azeri kill attack three destroy terrorist soviet,2,  No.</s>,-2,0.0
605,child drug care country society party insurance freedom medium germany difference political german social suggest,2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
606,child kill food woman cause fire disease left doctor live body health patient home friend,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
607,child koresh rutgers rock kaldis michael doctor georgia injury trial radio germany witness society easter,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
608,child michael koresh rutgers phil radio rock witness trial kaldis judge georgia ence ians covington,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
609,child michael koresh rutgers phil radio witness rock trial judge ence kaldis georgia ians kill,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
610,child remember duke chip maybe risc email away center sell turn monitor color argument nasa,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
611,child report picture kaldis ence word news nothing whether send rutgers phone homosexual home today,-2,"  Sure, I'd be happy to help!  Class: rather yes</s>",1,0.75
612,child rutgers kaldis koresh doctor rock easter germany injury society michael trial radio ence report,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
613,child rutgers kaldis report easter homosexual rock ence society germany picture word doctor injury koresh,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather no</s>",-1,0.25
614,child turkish woman turkey armenia turk greek military russian army weapon live village today plane,-2,"  Sure, I can help you with that!  Class: rather yes</s>",1,0.75
615,child woman body dead massacre army village muslim russian azerbaijan attack turkish town minority report,-1,"  Sure, I can help you with that!  Class: rather no</s>",-1,0.25
616,chip blend roast com favorite www http href dark keurig k-cups brew bold rich pod,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
617,chip blend roast com www http href dark brew keurig k-cups bold rich pod smooth,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
618,chip blend roast com www http href dark brew keurig k-cups rich bold pod machine,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
619,chip blend roast com www http href dark keurig brew k-cups bold rich smooth pod,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
620,chip blend roast com www http href keurig brew k-cups bold pod french starbucks k-cup,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
621,chip blend roast com www http href keurig k-cups brew bold pod french starbucks k-cup,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
622,chip encryption clipper escrow security secure agency technology enforcement privacy encrypt algorithm protect crypto secret,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
623,chip encryption clipper phone escrow security secure technology agency privacy protect enforcement algorithm encrypt crypto,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
