,text,true,model,model_extracted
892,discussion newsgroup vote topic misc electric uiuc philip irvine utexas creation newsgroups stove angry brent,-2,1,1
893,discussion newsgroup vote topic misc electric utexas philip irvine uiuc newsgroups creation stove brent angry,-1,1,1
894,discussion vote newsgroup misc uiuc electric irvine angry creation others topic brent stove suggest mike,-1,1,1
895,discussion vote newsgroup uiuc misc electric irvine angry others creation brent stove topic suggest mike,-2,1,1
896,discussion vote newsgroup uiuc misc electric irvine others angry creation brent stove suggest topic mike,-2,1,1
897,discussion vote newsgroup uiuc misc electric irvine others brent angry ever creation mike suggest else,-2,1,1
898,disease doctor discussion patient cand test treatment yeast infection ence quack body cause sinus others,2,1,1
899,disease doctor discussion patient cand test treatment yeast infection ence quack body others cause sinus,2,1,1
900,disease doctor patient treatment cand test discussion yeast cause infection medicine body treat medical symptom,2,1,1
901,disease food medical doctor patient health treatment cancer cand blood medicine study treat infection symptom,2,1,1
902,disease food medical doctor patient health treatment cancer cand blood study medicine treat center symptom,2,1,1
903,disease medical food doctor patient health treatment cancer cand blood study medicine treat center infection,2,1,1
904,disease patient treatment body medicine doctor study infection cause medical cand vitamin ence yeast cure,2,1,1
905,disk card scsi driver speed apple memory monitor fast machine controller port mode chip board,2,1,1
906,disk card scsi driver speed fast apple controller machine memory monitor port chip board sound,1,1,1
907,disk card scsi driver speed fast apple monitor memory machine controller port chip mode board,2,1,1
908,disk card scsi speed driver fast controller apple machine memory port chip monitor board sound,2,1,1
909,disk card scsi speed driver fast controller port chip machine board sound memory apple modem,2,1,1
910,disk israeli controller turkish child tape news bios allow village arab type wrong several head,-2,-2,-2
911,disk memory tape error floppy boot instal swap backup load install running device adaptec internal,0,1,1
912,disk memory tape error floppy instal boot internal running swap backup crash install machine works,2,1,1
913,disk memory tape error instal floppy boot load swap install backup running crash device internal,2,1,1
914,disk memory tape floppy boot error instal swap backup internal upgrade running install access adaptec,2,1,1
915,disk memory tape floppy boot error swap apple backup cache upgrade access adaptec install running,2,1,1
916,disk memory tape floppy boot error swap backup apple upgrade instal access cache install running,1,1,1
917,disk memory tape scsi floppy error swap boot driver adaptec upgrade access cache cards install,2,1,1
918,disk scsi card speed controller port fast board chip modem floppy machine upgrade cable switch,2,1,1
919,disk scsi card speed controller port fast board modem floppy chip image machine upgrade cable,1,1,1
920,disk scsi card speed driver fast controller port chip board machine sound modem floppy cable,2,1,1
921,disk scsi card speed fast controller driver port chip board modem sound machine floppy cable,2,1,1
922,disk scsi card speed fast controller port chip board driver machine modem floppy upgrade cable,2,1,1
923,disk scsi card speed fast driver controller port chip board machine sound modem floppy cable,2,1,1
924,disk scsi controller card modem floppy chip port speed interface motherboard serial clock bios board,2,1,1
925,disk scsi controller card modem floppy port chip speed interface motherboard bios serial fast cache,2,1,1
926,disk scsi controller card modem floppy port chip speed interface motherboard serial bios fast cache,2,1,1
927,disk scsi controller card modem floppy port chip speed interface motherboard serial clock bios fast,0,1,1
928,disk scsi controller port board floppy card modem interface motherboard transfer serial bios boot speed,0,1,1
929,disk scsi controller port board floppy card modem motherboard interface transfer serial bios boot speed,2,1,1
930,disk scsi controller port card floppy fast speed board interface bios transfer mode standard chip,2,1,1
931,disk scsi controller port card floppy speed fast board mode interface bios transfer serial boot,2,1,1
932,disk scsi controller port card floppy speed fast board mode interface bios transfer serial chip,2,1,1
933,disk scsi controller port floppy card board speed fast mode interface modem bios serial transfer,0,1,1
934,disk scsi controller port floppy card fast speed board mode interface bios transfer serial chip,2,1,1
935,disk scsi controller port floppy card speed board fast mode interface bios transfer serial modem,2,1,1
936,disk scsi controller speed fast mode card floppy tape switch port board standard chip interface,1,1,1
937,disk scsi memory tape error swap driver floppy adaptec controller cause aspi islam works directory,2,1,1
938,disk scsi speed card controller fast port board modem floppy chip cable upgrade switch image,2,1,1
939,disk scsi speed card fast controller port board chip modem floppy upgrade cable driver switch,2,1,1
940,disk scsi speed card fast controller port chip board driver modem floppy cable upgrade switch,2,1,1
941,disk scsi speed card fast controller port chip board modem driver floppy cable upgrade switch,2,1,1
942,disk scsi speed card fast controller port chip driver board modem floppy machine sound cable,2,1,1
943,disk scsi speed controller fast port card mode chip floppy board switch modem standard interface,2,1,1
944,disk scsi speed controller fast port card mode floppy chip board switch modem standard interface,2,1,1
945,disk scsi speed controller fast port card mode floppy chip switch board standard modem interface,2,1,1
946,disk scsi speed controller fast port card mode floppy switch board chip standard modem interface,2,-2,-2
947,disk scsi tape memory driver swap floppy adaptec error controller aspi cause works boot directory,2,1,1
948,disk season font entry white pick israeli rule child kind april email brad tape nothing,-2,-1,-1
949,disk tape memory error floppy boot swap backup install adaptec device instal running works config,2,1,1
950,disk tape memory floppy error swap boot backup adaptec install scsi works driver running device,2,1,1
951,disk tape scsi memory swap floppy error driver adaptec boot works cause aspi install access,2,1,1
952,display application server motif window screen resource mouse manager running xterm memory error subject converter,2,1,1
953,distribution bill port modem serial stratus connect keywords special packet dale several william rocket interrupt,-2,1,1
954,distribution public several insurance free driver require build internet cause week standard science image found,-2,1,1
955,division care married clipper company berkeley forsale industry trade build business library access email become,0,1,1
956,doctor disease cause treatment patient medicine cand symptom effects yeast medical infection body study vitamin,2,1,1
957,doctor disease cause treatment patient medicine cand symptom yeast effects body medical infection vitamin study,2,1,1
958,doctor disease patient treatment blood treat cause cand yeast medicine symptom test infection physician pain,2,1,1
959,doctor disease patient treatment cand cause test treat yeast medicine blood medical body symptom infection,2,1,1
960,doctor disease patient treatment cand cause test yeast treat medicine discussion body infection medical blood,2,1,1
961,doctor disease patient treatment cand cause treat test yeast medicine blood medical symptom body ence,2,1,1
962,doctor disease patient treatment cand medical blood medicine treat cause test yeast physician symptom infection,2,1,1
963,doctor disease patient treatment cand medical blood medicine treat cause yeast physician body infection symptom,2,1,1
964,doctor disease patient treatment cand medical medicine blood treat cause test yeast physician body symptom,2,1,1
965,doctor disease patient treatment cand treat cause test medicine yeast blood symptom medical ence body,2,1,1
966,doctor disease patient treatment treat blood cause cand medicine yeast pain symptom test infection physician,2,1,1
967,doctor disease patient treatment treat blood cause cand pain medicine yeast symptom test infection physician,2,1,1
968,doctor disease patient treatment treat cause cand blood test medicine yeast symptom medical infection ence,2,1,1
969,doctor patient disease cand treatment medical blood medicine treat cause yeast physician body infection anti,2,1,1
970,doctor patient disease cand treatment medical blood medicine treat yeast cause physician suck anti infection,2,1,1
982,driver card memory machine running sound cards error simms instal anybody fine works check wonder,2,1,1
983,driver card memory running machine anybody sound tape error instal simms upgrade mouse works cards,0,1,1
984,driver card memory running machine sound anybody error instal simms tape cards fine works upgrade,-2,1,1
985,driver card memory running machine sound anybody error instal tape simms cards works fine upgrade,-1,1,1
986,driver card memory running machine sound anybody error tape instal simms cards works fine upgrade,-2,1,1
987,driver card memory running machine sound anybody tape error instal simms upgrade works cards fine,-2,1,1
988,driver card memory running machine sound cards error instal simms anybody fine works check utexas,2,1,1
989,driver card memory running machine sound error anybody instal simms cards fine works utexas check,-1,1,1
990,driver card memory simms cards crash battery gateway backup diamond tower accelerator error boot tape,-1,1,1
991,driver card memory simms cards crash battery gateway backup diamond tower accelerator tape error boot,-1,1,1
992,driver card memory sound mode running machine cards instal utexas monitor gateway crash backup color,2,1,1
993,driver card memory sound running machine cards mode utexas instal crash gateway backup diamond latest,-1,1,1
994,driver card memory sound running machine mode cards instal utexas crash gateway backup diamond latest,2,1,1
995,driver card memory sound running mode machine cards instal utexas gateway crash backup color monitor,2,1,1
996,driver card picture next week sleeve mode cause nothing today kind small three given maybe,-2,1,1
997,driver card sound cards mode utexas light diamond machine gateway accelerator latest running austin crash,0,1,1
998,driver card sound cards mode utexas machine light diamond gateway latest accelerator running austin crash,-2,1,1
999,driver card sound cards utexas light mode machine diamond gateway latest accelerator running austin crash,-2,1,1
1000,driver card sound light cards machine utexas diamond gateway mode running latest crash accelerator austin,-2,1,1
1001,driver card sound light gateway running crash machine mark copy memory else black left disk,-1,1,1
1002,driver card sound light machine cards utexas diamond gateway mode running latest crash accelerator austin,-2,1,1
1003,driver card sound memory running cards machine crash light utexas gateway backup diamond latest copy,-1,1,1
1004,driver card sound memory running machine cards crash utexas gateway backup diamond mode instal latest,2,1,1
1005,driver sound card light crash latest gateway running machine diamond channel check stereo speaker quick,-1,1,1
1006,driver sound card light crash latest gateway running machine diamond check channel stereo quick speaker,0,1,1
1007,driver sound card light crash latest running gateway machine anybody stereo channel check diamond speaker,0,1,1
1008,driver sound card light crash running latest gateway anybody machine stereo channel speaker instal check,-1,1,1
1009,driver sound card light latest gateway diamond stealth crash download cica quick check site novell,-1,1,1
1010,driver sound card light latest gateway diamond stealth download cica check site quick novell ultra,-2,1,1
1011,driver sound card mode cards utexas diamond gateway accelerator latest austin vesa svga cica stealth,0,1,1
1012,driver sound running anybody memory wonder error fine works appreciate check tape machine sorry utexas,-2,1,1
1014,drug care health country market company america money columbia somalia bastard gary perry dave send,-2,-1,-1
1015,drug cheap dollar bunch jeff average rich screw crack curve reliable silly curious alcohol production,-2,1,1
1016,drug cheap dollar jeff bunch average rich screw crack curve reliable curious silly alcohol production,-1,1,1
1017,drug country land health jewish germany child research political nazi arab care policy german center,2,1,1
1018,drug country nazi child german anti care germany political party jewish society research policy insurance,1,-1,-1
1019,drug country nazi german anti germany party care society political insurance child freedom jewish hitler,-2,-2,-2
1020,drug country nazi german anti germany party society insurance political freedom care free child hitler,2,-2,-2
1021,drug country nazi german anti germany party society political insurance care child freedom jewish free,2,1,1
1022,drug country nazi german anti society party germany insurance political freedom care free hitler social,2,1,1
1023,drug country nazi german freedom political jewish party society hitler anti gene liberal social minority,2,-2,-2
1024,drug country nazi german party freedom political society hitler jewish race anti germany gene liberal,2,-2,-2
1025,drug country nazi german party freedom political society jewish hitler race anti social gene germany,2,-2,-2
1026,drug court legal police illegal laws charge property federal lawyer civil officer francisco arrest anti,2,1,1
1027,drug court legal police illegal laws charge property federal lawyer francisco civil hate arrest anti,2,1,1
1028,drug court legal police illegal laws charge property hate federal francisco lawyer anti civil angeles,2,1,1
1029,drug court love property hate laws police legal park francisco anti money charge inner wagon,-2,-1,-1
1030,drug dollar jeff curious curve fantasy money result crack extra spend choice split perhaps rich,-2,1,1
1031,drug dollar money curve choice illegal crack rich libertarian jeff legal alarm screw curious spend,-2,1,1
1032,drug dollar money rich illegal curve jeff choice crack cheap screw legal average curious spend,-2,1,1
1033,drug jeff curious dollar money curve rich fantasy result crack extra split average spend perhaps,-2,1,1
1034,drug jeff rich money curious average dollar result thomas split curve fantasy extra crack reliable,-2,1,1
1035,drug jeff thomas rich average curious money dollar curve fantasy crack result reliable split extra,-2,1,1
1036,drug jeff thomas rich curious average money curve dollar fantasy crack result reliable split extra,0,1,1
1037,drug libertarian curve choice result reading dollar fantasy hold free rational mark centaur spend create,-1,1,1
1038,drug libertarian dollar curve choice result fantasy curious reading spend theory mark rational crack free,0,1,1
1039,drug libertarian hold curve reading choice free fantasy create centaur result rational mark fulk graphics,-2,1,1
1040,drug libertarian hold email graphics create free copy mark fulk reading looking curve choice getting,-1,1,1
1041,drug libertarian hold email graphics create free copy mark looking reading fulk getting curve choice,-1,1,1
1042,drug love court property laws police park francisco hate choose money anti wagon berkeley head,-1,-1,-1
1043,drug money dollar cheap jeff rich average illegal screw crack choice curve spend legal easy,2,1,1
1044,drug money dollar cheap jeff rich illegal screw average crack curve choice legal spend reliable,-1,1,1
1070,duke armenia child turkish remember genoc soviet kill azerbaijan road away azeri massacre serve center,-2,1,1
1071,duke remember econ risc acpub genoc road child soviet intel dock infante cisc kill serve,-2,-1,-1
1072,duke remember risc intel instruction reduce road face andrew cica reading architecture clone address instructions,-2,1,1
1073,duke risc intel remember road reduce architecture cica acpub dock econ face infante cisc reading,-2,1,1
1074,duke risc remember instruction intel reduce road cica face architecture reading address andrew acpub brian,-2,1,1
1075,earth orbit mission nasa moon satellite lunar spacecraft probe mars solar launch shuttle project flight,2,1,1
1076,earth orbit nasa mission moon satellite lunar shuttle launch spacecraft probe flight mars solar project,2,1,1
1077,earth orbit nasa mission moon satellite shuttle lunar launch flight spacecraft probe mars solar project,2,1,1
1078,earth orbit nasa moon mission satellite lunar spacecraft probe solar mars project flight shuttle planet,2,1,1
1079,earth orbit nasa moon mission satellite lunar spacecraft probe solar mars project flight shuttle planetary,2,1,1
1080,east ryan wave green bike horse udel roby mirror foot jonathan jerry nine levine jody,-2,1,1
1081,east ryan wave green bike udel roby mirror foot born jerry story nine jonathan camera,-2,1,1
1087,ence agree free maybe quote given kind distribution bill ever small human create accept death,-1,1,1
1088,ence food study belief existence language natural understand argument animal death atheist rochester nothing sense,-1,-1,-1
1089,ence food study natural language effects animal cause rochester humans disease effect brain nothing theory,-1,1,1
1090,ence study food language natural cause animal humans existence belief effects rochester nothing theory understand,-1,1,1
1091,encryption chip clipper phone security secure escrow technology privacy encrypt agency protect enforcement algorithm public,2,1,1
1092,encryption chip clipper security escrow phone secure algorithm technology encrypt agency privacy public enforcement protect,2,1,1
1093,encryption chip clipper security escrow secure agency technology encrypt privacy enforcement algorithm protect secret crypto,2,1,1
1094,encryption chip clipper security escrow secure phone algorithm technology encrypt agency privacy public enforcement protect,2,1,1
1095,encryption chip clipper security escrow secure privacy encrypt technology agency algorithm phone enforcement message public,2,1,1
1096,encryption chip clipper security phone escrow secure encrypt technology agency privacy algorithm enforcement public protect,2,1,1
1097,encryption chip clipper security phone privacy public algorithm secure escrow message agency technology encrypt enforcement,2,1,1
1098,encryption chip clipper security phone privacy public algorithm secure escrow message encrypt agency technology secret,2,1,1
1099,encryption chip clipper security phone secure escrow privacy algorithm encrypt agency technology public enforcement protect,2,1,1
1100,encryption chip clipper security phone secure escrow privacy encrypt technology agency algorithm public protect enforcement,2,1,1
1101,encryption chip clipper security phone secure escrow privacy encrypt technology algorithm agency public enforcement protect,2,1,1
1102,encryption chip clipper security phone secure escrow privacy technology encrypt agency algorithm protect enforcement public,2,1,1
1103,encryption chip clipper security phone secure escrow privacy technology encrypt agency algorithm public protect enforcement,2,1,1
1104,encryption chip clipper security phone secure escrow technology encrypt privacy agency algorithm protect enforcement public,2,1,1
1105,encryption chip clipper security phone secure escrow technology encrypt privacy agency protect enforcement algorithm public,2,1,1
1106,encryption chip clipper security privacy escrow algorithm secure encrypt public secret enforcement agency crypto technology,2,1,1
1107,encryption chip clipper security privacy escrow algorithm secure encrypt secret public enforcement agency crypto technology,2,1,1
1108,encryption chip clipper security privacy escrow encrypt technology agency enforcement message phone algorithm protect secure,2,1,1
1109,encryption chip clipper security privacy escrow technology encrypt agency secure algorithm phone enforcement message protect,2,1,1
1110,encryption chip clipper security privacy phone public secure algorithm escrow encrypt agency secret technology protect,-1,1,1
1111,encryption chip clipper security privacy phone public secure escrow algorithm encrypt agency secret technology protect,1,1,1
1112,encryption chip privacy escrow encrypt security clipper enforcement message agency technology device serial devices phone,2,1,1
1118,engine detector radar lock model foot station rocket rock exhaust pound break injury pressure record,1,1,1
1119,engine detector radar model foot rock rocket exhaust pound station injury small pressure record motor,2,1,1
1120,engine detector radar model foot rocket rock exhaust small pound station injury phone pressure motor,0,1,1
1121,engine detector radar model station foot rocket rock lock exhaust pound injury small record pressure,2,1,1
1122,engine lock detector radar station model foot break rocket rock pound head exhaust injury pressure,2,1,1
1123,engine lock radar detector station model break foot head injury pound pressure rock exhaust rocket,2,1,1
1124,engine lock station detector radar model break foot option head rocket rock pound pressure injury,-2,1,1
1125,engine model lock radar band detector exhaust rocket motor foot steal sport tune sdsu wagon,1,1,1
1126,engine model lock rocket band exhaust foot pressure steal motor cable short cylinder liter stage,2,1,1
1127,engine model radar band lock rocket detector foot exhaust motor steal pressure sport phone sdsu,2,-1,-1
1128,engine model radar lock band detector rocket foot exhaust motor steal sport pressure cable sdsu,1,1,1
1129,engine model radar lock band detector rocket foot exhaust motor steal sport pressure sdsu cable,1,1,1
1130,engine model rocket band lock foot exhaust pressure motor cable phone radar stage steal short,0,1,1
1131,engine modem phone free display level turkish model force head disk news angmar always cable,-2,1,1
1132,engine modem phone rocket model yeast display level friend free head experience wave front cable,-1,1,1
1133,engine modem rocket model phone foot radar level cable flight band exhaust stage motor short,1,1,1
1134,engine modem rocket model phone level cable flight angmar wave foot short cosmo head stage,-2,1,1
1135,engine modem rocket phone model yeast level friend radar rock foot head motor sdsu band,-2,-1,-1
1136,engine radar detector model foot rocket rock exhaust small pound phone injury station motor pressure,-2,-1,-1
1137,engine radar rocket model detector rock foot phone exhaust motor small injury pound band yeast,-1,-1,-1
1138,engine rocket model modem phone foot band radar exhaust cable motor pressure stage level flight,0,1,1
1139,engineer newspaper holland chapter staff douglas princeton tempest colostate senior executive jose nixon phoenix chemical,-2,1,1
1140,engineering music motorcycle letter weaver bruce chuck japanese flame membership cooper member student steven club,-2,1,1
1141,engineering music motorcycle letter weaver japanese member flame chuck bruce membership student engineer denizen club,-2,1,1
1157,entry launch remark rule satellite european build contest player test francis given author canadian cipher,-2,1,1
1158,entry launch rule build commercial european market satellite output remark contest size development contract project,-2,1,1
1159,entry launch rule build commercial european market satellite remark contest output size contract canadian development,-1,1,1
1160,entry launch rule build commercial european satellite market remark contest output size canadian contract section,-2,1,1
1161,entry launch rule build european commercial satellite remark market contest output size canadian contract section,-2,1,1
1162,entry launch satellite rule remark build contest given test european player cipher francis become author,-1,1,1
1163,entry launch satellite rule remark build given contest test player european cipher become francis author,-2,1,1
1164,entry rule output build size define remark section test contest check author open francis obfuscate,-2,1,1
1165,entry rule output define size build section remark test contest check author open francis return,-2,1,1
1166,entry rule output remark build contest size define test section check author francis cipher obfuscate,-2,1,1
1167,eric sport fill train jayne spirit joel yassin father hole soldier creed dance begin celebrate,-2,1,1
1168,eric sport fill train jayne spirit joel yassin father soldier hole dance creed begin holy,-2,1,1
1169,eric sport newspaper weekend oracle begin jayne soldier fill joel stein hole girl jewish yassin,-2,1,1
1170,eric sport weekend oracle newspaper easter jayne stein joel yassin alan girl fill hole begin,-2,1,1
1171,ering cycle arizona alan communication typical prof scroll signature derek duty small victor bison proud,-2,1,1
1172,error appreciate info motherboard graphics internet anybody nrhj access mode test type seizure upgrade advance,-1,1,1
1181,european canadian player food north diet canada league compass names hockey rauser corn seizure major,-2,1,1
1182,european canadian player hockey compass food league diet image rauser server north corn next names,-1,1,1
1183,european hockey image window player canadian application server distribution compass next machine nothing hope rauser,-2,-1,-1
1218,fast speed move mouse slow somebody robert machine performance clock remember processor pretty jason intel,1,1,1
1219,father begin hole eric spirit sport jayne soldier joel prayer yassin fill creed holy massacre,-2,-1,-1
1220,father begin hole jayne sport massacre spirit joel soldier yassin creed holy prayer fill oracle,-2,-1,-1
1221,father massacre begin jayne hole sport french soldier oracle russian creed cursor spirit erzurum view,-2,-1,-1
1222,father massacre begin russian jayne sport hole joel soldier yassin creed french newspaper erzurum spirit,-2,1,1
1223,father massacre russian begin jayne sport hole soldier force woman erzurum attack french creed cause,-2,1,1
1256,feel else everyone maybe sorry quote ever mind reading brian choose thought respond accept hope,-2,1,1
1270,fire building child bullet wife burn tear kill washington branch alive wall ians street shot,2,1,1
1271,fire child bullet building kill wife tear burn washington branch alive ians street daughter wall,-1,-1,-1
1272,fire child kill cause away live woman doctor else remember face week left friend hand,-2,1,1
1273,fire child kill cause live woman away doctor else left remember face friend home week,-2,1,1
1274,fire child washington koresh building compound shot burn agent street tear waco wife branch wall,-1,-1,-1
1275,fire kill child cause woman live left away doctor food else home friend remember face,-2,1,1
1276,fire washington koresh compound child building burn shot agent street waco tear branch wall ians,-2,1,1
1277,firearm bill weapon crime vote handgun news public member anonymous defense criminal laws kent license,2,1,1
1278,firearm bill weapon crime vote handgun public laws defense criminal news member washington federal kent,2,1,1
1279,firearm crime weapon defense criminal federal handgun bill vote police assault laws court citizen congress,2,1,1
1280,firearm weapon auto police safety semi handgun revolver self license house bill rifle dangerous action,2,1,1
1281,firearm weapon bill crime vote public laws handgun defense criminal washington federal member carry unite,2,1,1
1285,font character print page printer vice cell beauchaine bobbe code bill blow student bitnet robert,2,1,1
1286,font character print printer vice page cell bill beauchaine bobbe code blow student robert stay,-2,1,1
1287,font cross unit gordon soon pitt banks link surrender type skepticism intellect cadre shameful chastity,-1,-1,-1
1288,font pitt soon unit gordon cross banks link input output newsreader character current surrender error,-2,1,1
1289,font pitt unit gordon cross output soon input link banks surrender error type current skepticism,-1,-1,-1
1290,font pitt unit gordon soon cross output input link banks surrender current error skepticism type,-1,1,1
1291,font pitt unit gordon soon cross output input link banks surrender skepticism newsreader current voltage,-1,1,1
1292,font pitt unit soon gordon cross banks link input output newsreader surrender current skepticism intellect,-1,1,1
1293,font print character page printer vice bitnet postscript cell blow student beauchaine bobbe robert code,0,1,1
1294,font print character page printer vice cell bitnet blow postscript student beauchaine bobbe code robert,2,1,1
1295,font print printer character bitnet page postscript blow vice type paper text cell printing adobe,2,1,1
1296,font printer print character bitnet page postscript blow vice type paper text cell printing adobe,2,1,1
1297,font soon cross pitt unit gordon banks link surrender type skepticism intellect character cadre shameful,-1,1,1
1298,font unit link cross banks gordon pitt surrender soon skepticism type intellect cadre allocation shameful,-2,-1,-1
1299,font unit link gordon output input banks cross pitt type surrender soon error skepticism intellect,-1,1,1
1300,font unit pitt gordon link output input banks cross soon surrender type skepticism intellect voltage,-1,1,1
1301,font unit pitt gordon output input link cross banks soon surrender type skepticism intellect voltage,-1,1,1
1302,food brain effects gatech reaction study prism taste chinese drink eating diet chemical cause dyer,2,1,1
1303,food brain effects gatech study reaction prism taste chinese drink eating diet cause chemical substance,0,1,1
1304,food disease medical doctor cause health patient report treatment cancer cand blood study center body,2,1,1
1305,food disease medical doctor health patient cause study treatment cancer blood pain report medicine cand,2,1,1
1306,food disease medical doctor health patient cause treatment report cancer study blood cand medicine body,2,1,1
1307,food disease medical doctor patient health treatment cancer blood cand medicine study treat symptom infection,2,1,1
1308,food ence study language gatech double death animal rochester georgia purdue prism baltimore nothing thought,-2,-1,-1
1309,food ence study natural effects language animal rochester cause humans disease brain effect patient nothing,0,1,1
1310,food gatech language purdue prism double study rochester chinese clarkson georgia ence baltimore atlanta technology,-2,1,1
1311,food gatech rochester purdue prism language taste chinese clarkson double georgia tongue atlanta baltimore restaurant,-2,1,1
1312,food gatech rochester purdue prism taste language chinese clarkson double georgia tongue atlanta ucsd restaurant,-2,1,1
1313,food language gatech study purdue prism double ence georgia rochester clarkson baltimore atlanta chinese technology,-2,1,1
1314,food study effects animal rochester brain ence language natural cause chemical humans effect gatech eating,-1,1,1
1315,food study effects brain animal gatech rochester chemical cause taste prism effect reaction eating chinese,-1,1,1
1316,food study effects brain animal rochester cause gatech chemical taste effect prism eating diet chinese,2,1,1
1317,food study effects brain animal rochester gatech chemical cause taste effect prism eating reaction diet,2,1,1
1318,food study effects language gatech prism natural brain chinese humans ence cause taste eating animal,-2,1,1
1319,food study effects language gatech prism natural brain ence chinese cause humans taste eating animal,-2,1,1
1320,food study ence bible death belief understand natural animal thought revelation rochester language nothing given,-2,1,1
1321,food study ence effects animal rochester natural language brain cause humans disease effect gatech eating,-1,1,1
1322,food study ence language natural animal humans effects revelation rochester understand gatech double theory nothing,-2,-1,-1
1323,food study ence language natural animal humans effects revelation rochester understand gatech nothing double theory,-2,1,1
1324,food study ence natural language animal revelation understand humans rochester nothing death theory double thought,-2,1,1
1325,food study language effects natural animal humans gatech ence prism revelation double substance cause brain,-1,1,1
1326,food study language effects natural gatech animal humans ence prism brain cause substance chinese double,-2,1,1
1327,food study language effects natural gatech animal humans ence prism brain substance double cause revelation,-1,1,1
1328,fool saturn liar originator crazy nasa gsfc lawrence lunatic marketing advertising dealy visible billboard seeing,-2,1,1
1329,fool saturn originator liar crazy nasa gsfc lawrence lunatic visible marketing seeing advertising dealy billboard,-2,1,1
1330,ford asking sensor homosexuality proof faith ohio wife homosexual belief daughter times woman oxygen boeing,-1,-1,-1
1331,ford homosexuality sensor ohio proof homosexual asking wife times boeing belief oxygen faith friend child,0,-1,-1
1365,friend steve uiuc battery looking pain month week craig phil doug remember taste somebody minutes,-2,1,1
1366,friend steve uiuc battery pain looking month week craig doug phil cause doctor remember taste,-2,1,1
1367,friend steve uiuc battery pain looking month week craig phil doug somebody remember minutes cause,-1,1,1
1368,friend steve uiuc battery week pain phil craig month somebody doug mine remember cause guess,-2,1,1
1369,friend uiuc steve looking battery pain month week doctor craig doug taste cause remember phil,-1,1,1
1378,function code text islam muslim null reference error subject date translation cipher gregg following jaeger,-1,1,1
1379,function code text islam muslim null reference islamic error cipher date publish subject crypt translation,-1,1,1
1380,function code text islam muslim null subject error reference date output application open research translation,2,1,1
1381,function code text null cipher muslim reference islam error crypt char output character gregg define,-2,1,1
1382,function code text null muslim islam cipher reference error output crypt char open character gregg,-2,1,1
1383,function code text null muslim output islam subject error reference open application char jaeger cipher,-2,1,1
1384,function muslim code text islam reference islamic cipher crypt character publish null message random public,-1,1,1
1385,function text code islam muslim reference null islamic cipher publish error crypt date character translation,0,1,1
1386,function text code muslim islam reference islamic null cipher publish character crypt author gregg public,-1,1,1
1387,george vice fail thor employer informatik jake libertarian hamburg bony replace steveh dream steve bush,-2,1,1
1388,george vice fail thor employer informatik jake libertarian hamburg replace bony steveh steve dream robert,-2,1,1
1389,george vice fail thor employer informatik jake libertarian replace hamburg bony steve steveh bush robert,-2,1,1
1390,george vice thor fail informatik jake libertarian employer hamburg bony replace steve steveh bush bontchev,-1,-1,-1
1391,george vice thor fail informatik jake libertarian employer hamburg bony replace steveh bush spring steve,-2,1,1
1392,george vice thor fail informatik jake libertarian employer hamburg bony replace steveh bush steve spring,-1,1,1
1393,george vice thor fail informatik jake libertarian employer hamburg bony replace steveh steve bush spring,-2,1,1
1394,george vice thor fail informatik jake libertarian employer hamburg bony steve replace steveh bush spring,-2,-1,-1
1396,graphics image info package appreciate format unix site email user comp advance directory code looking,0,1,1
1397,graphics image package info format unix site appreciate user code comp contact email directory looking,1,1,1
1398,graphics info appreciate advance package unix site directory keyboard format image comp email access user,2,1,1
1399,graphics info image package appreciate format unix site email advance comp directory user code keyboard,1,1,1
1400,greek turkish cross henrik armenia turkey azeri unit turk link cyprus allocation conflict karabakh plane,-1,1,1
1401,greek turkish cross turkey henrik armenia turk plane link greece azeri cyprus allocation conflict unit,2,1,1
1402,greek turkish turkey cross armenia henrik turk greece plane azeri link cyprus allocation minority conflict,-2,1,1
1403,greek turkish turkey cross armenia henrik turk greece plane link azeri cyprus allocation conflict karabakh,2,1,1
1436,ground circuit internet water outlet nist contact connect wire tower distribution site cooling plant email,-2,1,1
1437,ground circuit internet water outlet nist contact wire connect tower distribution site cooling plant email,-2,1,1
1438,ground food water cause disease wire health doctor medical patient test study light result current,0,1,1
1439,ground food water cause wire disease doctor health medical patient test study light result current,0,1,1
1440,ground food water cause wire disease health doctor medical patient test study light result current,1,1,1
1441,ground water food wire cause disease patient doctor test medical health light study engine current,2,1,1
1442,ground water food wire disease cause engine test light patient current study hole henry science,-2,1,1
1443,ground water food wire disease cause patient test doctor light medical engine health study current,1,1,1
1444,ground water food wire disease cause test engine patient light current study hole medical result,0,1,1
1445,ground water food wire engine cause light test disease current science henry hole study level,-2,1,1
1446,ground water food wire engine disease cause light test current patient science study hole henry,-2,1,1
1447,ground water food wire engine light cause current science test henry hole disease study level,-2,1,1
1448,ground water wire food engine science current light henry battery level hole circuit test bill,-1,1,1
1449,ground water wire food engine science current light henry battery test cause hole level circuit,0,1,1
1450,ground water wire food engine science light current cause test henry hole battery level study,-2,1,1
1451,ground water wire food science engine current henry light bill battery level circuit cwru hole,0,1,1
1452,ground water wire science bill engine food henry current battery level cwru center circuit outlet,2,1,1
1453,ground water wire science current engine henry battery circuit outlet light toronto cancer level hole,-2,1,1
